         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
         1,   315.874,         1,         1,         3,    103227,       888,     6.858,        17,     2.526,         8,   289.745,        10,       285,         4,         0,         0,         0,         0,     7.031,        10,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   2588.51,         5,         5,        22,    476918,      2269,   137.086,       343,    18.484,       102,   4949.15,        70,      4889,        68,        10,        23,         0,         0,   110.683,       167,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   4213.31,        10,        10,        45,1.28205e+06,      1104,   294.163,      1047,    62.764,       298,   13409.9,       154,     13260,       178,        20,        76,         0,         0,   331.302,       471,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   9351.06,        26,        26,       161,1.59394e+06,      1119,   2719.04,      6930,   1083.74,      4393,    149817,      1309,    148228,      1625,       179,       621,         0,         0,   3283.26,      3816,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   12144.1,        52,        52,       460,1.36893e+06,      1144,   5769.41,     13109,   2654.52,     12030,    491671,      3680,    486311,      5189,       492,      2317,         0,         0,   7601.44,      9201,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   1402.75,         1,         1,         3,   56498.7,       287,    31.624,        90,     3.407,        15,   730.729,        18,       720,         9,         4,         0,         0,         0,     8.799,        16,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3187.47,         7,         7,        24,1.43976e+06,      1097,   165.419,       561,    70.115,       263,   10336.5,       130,     10223,       123,        18,        31,         0,         0,   173.097,       235,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   4339.23,        10,        10,        54,1.34883e+06,      1102,   428.277,      1150,    92.245,       384,   23411.5,       246,     23167,       275,        32,        97,         0,         0,   517.536,       609,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8236.98,        25,        25,       187,1.24309e+06,      1117,   2388.29,      5652,   498.317,      2270,    114576,       985,    113372,      1322,       138,       583,         0,         0,   3257.24,      3528,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   12619.1,        48,        52,       525,1.38948e+06,      1142,   6867.67,     14872,   3095.47,     11915,    521371,      3734,    515689,      5436,       480,      2504,         0,         0,   10085.4,     10187,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,    1816.1,         1,         1,         3,    622362,      1092,     82.99,       136,     7.662,        20,   1054.36,        22,      1040,        12,         5,         0,         0,         0,    15.067,        20,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3562.02,         4,         5,        24,1.0118e+06,      6106,   293.983,       778,    67.135,       304,   14661.7,       133,     14540,       131,        24,        40,         0,         0,   245.121,       286,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   6581.35,        10,        10,        53,1.29537e+06,      1102,   998.948,      2137,   187.295,       702,   51651.3,       351,     51261,       410,        52,       156,         0,         0,   1743.35,      1330,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   10513.4,        25,        26,       173,1.31329e+06,      1117,      1719,      4101,   1208.78,      4154,    213335,      1297,    211429,      1820,       161,       820,         0,         0,   3461.21,      3259,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   16608.1,        51,        51,       493,1.32452e+06,      1142,   4200.02,      9698,   5583.33,     21752,    794197,      4539,    786465,      7107,       559,      3520,         0,         0,   6957.12,      7913,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   2160.99,         1,         1,         5,1.00021e+06,       791,    95.585,       218,    16.624,        21,   1912.68,        24,      1895,        14,         4,         0,         0,         0,      13.7,        22,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,    5795.4,         5,         5,        40,1.29955e+06,      1097,   531.213,      1502,   134.474,       431,   40950.6,       310,     40631,       338,        45,        92,         0,         0,   924.757,       816,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   8513.86,        11,        11,       102,1.29413e+06,      1102,   1298.19,      3355,   600.663,      2308,    117607,       789,    116658,       970,       107,       340,         0,         0,   2127.28,      2159,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   13349.3,        25,        27,       337,1.34353e+06,      1117,   3708.47,      9200,    3256.2,     11058,    474149,      2915,    469714,      4061,       343,      1694,         0,         0,   6499.55,      6538,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   18445.9,        47,        50,       781,1.35544e+06,      1142,   8650.82,     18879,   11551.3,     40146,1.27257e+06,      6751,1.26033e+06,     10926,       772,      5407,         0,         0,   15024.8,     14460,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,      1266,         1,         1,         2,    251954,      1200,    28.078,        62,     2.147,        10,   391.035,        14,       384,         5,         2,         0,         0,         0,     6.356,        14,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,    5291.1,         5,         5,        22,1.28866e+06,      1098,   818.547,      1700,    49.055,       190,   12580.4,       157,     12440,       172,        28,        64,         0,         0,   480.143,       636,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,    7437.6,         9,        10,        61,1.25307e+06,      1103,   1725.69,      3898,   358.519,      1394,   52019.4,       590,     51361,       671,        83,       219,         0,         0,   1485.84,      1788,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
