         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         5,   105.622,         7,         7,        16,         7,         0,         0,   173.027,       573,   233.758,       744,         0,         0,         0,         0,   6666.65,       107,      6544,       127,        23,        61,         0,         0,   282.926,       434,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       172,       156
         5,   121.934,         5,         5,        26,         5,         0,         0,   138.527,       426,    46.336,       224,         0,         0,         0,         0,   7176.13,       121,      7056,       131,        21,        50,         0,         0,   159.939,       247,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       432,        26
         5,   117.333,         5,         5,        18,         6,         0,         0,   245.431,       782,   229.339,       793,         0,         0,         0,         0,   14668.6,       338,     14365,       296,        71,        53,         0,         0,   398.491,       635,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       347,        67
         5,   71.5686,         4,         5,        17,         5,         0,         0,     94.22,       288,    30.826,       202,         0,         0,         0,         0,   5775.78,       120,      5678,       112,        31,        42,         0,         0,   124.955,       212,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       253,       254
         5,   201.002,        13,        13,        24,        13,         0,         0,   286.761,       839,   1022.32,      3882,         0,         0,         0,         0,   17134.7,       366,     16791,       372,        49,        83,         0,         0,   483.697,       652,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       476,       362
         5,   52.6526,         5,         5,        21,         5,         0,         0,    57.282,       238,     18.78,       114,         0,         0,         0,         0,   3897.95,        78,      3843,        72,        17,        27,         0,         0,    78.141,       136,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       248,       288
         5,   34.4093,         5,         5,        11,         5,         0,         0,    34.519,       158,     2.646,        34,         0,         0,         0,         0,   1407.07,        30,      1384,        26,         3,        12,         0,         0,    33.952,        67,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       342,       244
         5,   150.932,        14,        14,        25,        14,         0,         0,   199.602,       749,   3889.26,     13111,         0,         0,         0,         0,   10697.5,       225,     10508,       209,        50,        61,         0,         0,   341.428,       461,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       243,       137
         5,   104.812,         6,         6,        22,         8,         0,         0,   104.527,       445,    156.69,       721,         0,         0,         0,         0,   5814.65,       119,      5716,       112,        24,        33,         0,         0,   173.099,       239,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       458,        94
         5,   131.138,        12,        12,        21,        14,         0,         0,   106.805,       346,   366.898,      1748,         0,         0,         0,         0,   7098.08,       139,      6957,       145,        22,        48,         0,         0,   151.002,       225,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       440,       185
         5,    91.526,         5,         5,        19,         5,         0,         0,    90.204,       313,    26.821,       170,         0,         0,         0,         0,   5091.27,       125,      5003,       109,        32,        37,         0,         0,    95.771,       210,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       475,       201
         5,   35.0143,         5,         5,        15,         5,         0,         0,    70.986,       240,    13.759,       105,         0,         0,         0,         0,   3244.22,        70,      3186,        66,        16,        28,         0,         0,    83.751,       149,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,        73,       157
         5,   124.603,         7,         7,        18,         7,         0,         0,   175.485,       678,    219.27,       983,         0,         0,         0,         0,   7811.43,       166,      7666,       166,        53,        71,         0,         0,   257.753,       459,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       198,       135
         5,   68.9729,         6,         6,        25,         6,         0,         0,    52.072,       200,   130.922,       530,         0,         0,         0,         0,   3077.93,        65,      3026,        63,        10,        26,         0,         0,    61.777,       119,   5770.88,      7703,      6246,      7007,      4220,         0,         0,        41,        75,      4035,       351,       283
