         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         5,   100.344,        11,        11,        13,        11,         0,         0,    21.849,        33,    519.81,      1291,         0,         0,         0,         0,    803.86,        25,       785,        14,         0,         4,         0,         0,      19.1,        30,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       473,       431
         5,   77.6209,        15,        15,        20,        15,         0,         0,   164.711,       222,   1611.31,      4567,         0,         0,         0,         0,   3932.67,        95,      3834,        82,        10,        18,         0,         0,     115.8,       122,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       174,       407
         5,   37.6563,         7,         7,        10,         7,         0,         0,    66.374,       169,   1229.65,      2947,         0,         0,         0,         0,   2220.78,        43,      2196,        27,         6,         5,         0,         0,    38.258,        59,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       352,       187
         5,    75.949,         7,         7,        29,        12,         0,         0,   138.505,       229,   1152.14,      3050,         0,         0,         0,         0,   5435.04,       135,      5327,       108,        23,        23,         0,         0,    82.712,       113,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       321,       110
         5,   77.0642,        11,        12,        16,        13,         0,         0,    57.507,       138,   1704.34,      6118,         0,         0,         0,         0,   4603.54,       104,      4529,        78,        24,        15,         0,         0,    71.564,       109,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       414,       415
         5,   229.932,        39,        39,        62,        47,         0,         0,   204.681,       421,   16287.7,     45066,         0,         0,         0,         0,   22073.2,       340,     21730,       269,        59,        27,         0,         0,   402.471,       355,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,         4,       297
         5,   65.8027,        10,        10,        12,        10,         0,         0,    98.001,       236,   4434.16,     13333,         0,         0,         0,         0,   6153.16,        99,      6094,        65,        35,        17,         0,         0,   121.337,       171,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       301,       264
         5,   109.179,        23,        23,        11,        23,         0,         0,    37.905,       179,   14030.6,     44931,         0,         0,         0,         0,   10938.2,       135,     10846,        94,        44,        20,         0,         0,    83.275,       150,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       244,       198
         5,   93.8501,         5,         7,        22,         8,         0,         0,    61.332,       204,   525.349,      1888,         0,         0,         0,         0,   6016.83,       129,      5918,       109,        30,        30,         0,         0,    87.837,       135,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       478,       287
         5,   76.2955,         5,         5,        10,         5,         0,         0,    23.207,        60,     8.125,        65,         0,         0,         0,         0,   1765.78,        37,      1744,        23,         8,         9,         0,         0,     26.02,        47,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,        21,       350
         5,   71.8679,        12,        12,        18,        12,         0,         0,    94.239,       163,   1056.81,      3154,         0,         0,         0,         0,   2716.43,        71,      2644,        57,         8,        14,         0,         0,    77.652,        94,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       169,       410
         5,   86.3134,        21,        21,        13,        21,         0,         0,    83.523,       319,   7882.69,     25171,         0,         0,         0,         0,   12826.4,       190,     12685,       147,        45,        22,         0,         0,   132.565,       222,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       321,       278
         5,   71.8888,        12,        12,        11,        12,         0,         0,    63.039,       108,   1578.26,      5359,         0,         0,         0,         0,   3759.02,        75,      3714,        48,        21,         8,         0,         0,    46.598,        73,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       428,       415
         5,   69.4708,         8,         8,        12,         8,         0,         0,   127.499,       206,   1072.59,      2093,         0,         0,         0,         0,   4010.17,        71,      3916,        60,         8,        14,         0,         0,   127.249,       123,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       162,       131
         5,   30.0832,         5,         5,        10,         5,         0,         0,    20.248,        47,      0.99,        25,         0,         0,         0,         0,   906.533,        18,       896,        10,         0,         6,         0,         0,    18.143,        29,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       442,       151
         5,   84.7231,        14,        14,        16,        14,         0,         0,   157.315,       237,   1218.18,      2659,         0,         0,         0,         0,    5126.7,       128,      4988,       104,        21,        15,         0,         0,   186.346,       123,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       127,       407
         5,   75.8297,        12,        12,        13,        12,         0,         0,   201.122,       410,   405.165,      1578,         0,         0,         0,         0,   12200.2,       160,     12044,       137,        35,        33,         0,         0,    141.15,       204,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       147,       302
         5,   79.3312,         5,         6,        15,         8,         0,         0,   120.388,       193,   1114.48,      2913,         0,         0,         0,         0,   6438.46,       114,      6348,        92,        32,        25,         0,         0,    90.672,       124,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       456,       246
         5,    51.788,         8,         8,        12,         8,         0,         0,    74.698,       114,   470.659,       997,         0,         0,         0,         0,    3587.3,        65,      3519,        59,         7,        23,         0,         0,    67.089,        86,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,        88,       161
         5,   54.9181,         6,         6,        11,         6,         0,         0,    77.338,       140,   552.529,      1410,         0,         0,         0,         0,   3139.31,        50,      3101,        42,        13,        20,         0,         0,    49.994,        79,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,        47,       245
         5,   45.1786,         5,         5,        18,         5,         0,         0,    76.101,       253,    15.763,        96,         0,         0,         0,         0,   2965.51,        65,      2917,        46,        15,        16,         0,         0,     71.16,       106,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       375,       244
         5,   225.801,        57,        57,        26,        57,         0,         0,   144.943,       457,   12346.3,     45652,         0,         0,         0,         0,   25584.5,       410,     25266,       332,        66,        29,         0,         0,   248.204,       411,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       490,       196
         5,    69.527,        10,        10,        10,        10,         0,         0,    46.206,       113,   104.959,       478,         0,         0,         0,         0,   2401.61,        64,      2362,        44,        17,        11,         0,         0,    42.049,        68,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       190,       426
         5,   65.3489,         3,         5,        13,         9,         0,         0,    66.541,       188,   224.064,       792,         0,         0,         0,         0,   4429.22,        88,      4365,        74,        23,        30,         0,         0,    69.034,       107,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       130,       107
         5,   74.8465,        13,        13,        12,        13,         0,         0,    79.969,       284,    4517.8,     13987,         0,         0,         0,         0,   9164.75,       144,      9060,       106,        40,        19,         0,         0,   126.265,       183,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       311,       270
         5,   53.7122,         9,         9,        10,         9,         0,         0,    37.776,       146,   2091.45,      6935,         0,         0,         0,         0,   2137.26,        33,      2110,        28,         1,         9,         0,         0,    36.921,        60,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       353,       329
         5,   120.395,        14,        14,        11,        14,         0,         0,    52.706,       126,   1921.21,      6609,         0,         0,         0,         0,    4184.3,        94,      4109,        67,        26,        14,         0,         0,    68.041,        92,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       487,       386
         5,   69.0072,         7,         7,        22,         7,         0,         0,    55.034,       112,   150.412,       399,         0,         0,         0,         0,   2338.21,        49,      2290,        35,         5,        12,         0,         0,    75.993,        92,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       337,       470
         5,   73.1386,        10,        10,        17,        10,         0,         0,    78.715,       164,   895.594,      2291,         0,         0,         0,         0,   6361.21,       111,      6262,        90,        31,        26,         0,         0,    96.233,       123,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       222,       125
         5,   113.993,        18,        20,        13,        24,         0,         0,    58.385,       196,   972.963,      3760,         0,         0,         0,         0,    6570.5,       120,      6480,       106,        20,        20,         0,         0,     80.52,       118,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       410,       314
         5,   62.3699,         8,         8,        10,         8,         0,         0,    59.718,       143,   667.964,      1854,         0,         0,         0,         0,      3421,        61,      3364,        55,         1,        12,         0,         0,    57.131,        80,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       131,       154
         5,   70.6045,         9,         9,        10,         9,         0,         0,   117.122,       352,   1115.57,      3408,         0,         0,         0,         0,   8588.51,       159,      8464,       125,        20,        15,         0,         0,    97.651,       153,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       409,       232
         5,    140.46,        39,        39,        18,        38,         0,         0,    84.599,       236,      2352,      8599,         0,         0,         0,         0,   10081.9,       159,      9941,       151,        19,        26,         0,         0,   108.402,       159,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       146,       155
         5,   130.388,        18,        18,        11,        18,         0,         0,    74.926,       165,    2809.7,      7817,         0,         0,         0,         0,    7395.4,       141,      7250,       127,         4,        33,         0,         0,    112.59,       142,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,        19,       203
         5,   121.825,        18,        18,        33,        27,         0,         0,   235.698,       446,   3883.29,     12716,         0,         0,         0,         0,   18247.4,       289,     17976,       254,        41,        35,         0,         0,   165.499,       217,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,        93,       349
         5,   63.0079,        13,        13,        10,        13,         0,         0,    123.78,       337,   5403.45,     17109,         0,         0,         0,         0,   9008.98,       159,      8881,       127,        19,         9,         0,         0,   145.681,       194,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       331,       331
         5,   79.3095,        13,        13,        10,        13,         0,         0,    77.298,       154,   1493.39,      4144,         0,         0,         0,         0,   5542.49,       104,      5444,        91,         6,        18,         0,         0,    76.145,       109,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,        66,       183
         5,   101.208,        13,        13,        32,        13,         0,         0,    85.434,       303,    379.13,      1625,         0,         0,         0,         0,   8769.76,       230,      8611,       148,        53,        14,         0,         0,   175.468,       265,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       148,        36
         5,   70.1648,         8,         8,        12,         8,         0,         0,   148.927,       467,   2072.77,      4418,         0,         0,         0,         0,   21064.9,       300,     20822,       240,        60,        40,         0,         0,   232.091,       313,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       177,       333
         5,   83.4086,        10,        10,        18,        10,         0,         0,    176.58,       206,   392.304,       894,         0,         0,         0,         0,   7206.51,       112,      7069,        83,        23,        13,         0,         0,   146.889,       125,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       162,        54
         5,   62.6259,         7,         7,        10,         7,         0,         0,    51.562,        98,    533.33,      1089,         0,         0,         0,         0,   5580.44,        74,      5509,        49,        11,         6,         0,         0,    80.944,        85,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       502,       167
         5,   76.8505,        11,        11,        11,        11,         0,         0,   168.203,       218,   1040.67,      2181,         0,         0,         0,         0,   10951.7,       142,     10746,       121,        24,        24,         0,         0,   119.518,       104,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       113,        72
         5,   64.3729,         8,         8,        14,         9,         0,         0,   300.391,       374,   243.912,       619,         0,         0,         0,         0,   10689.8,       157,     10502,       128,        19,        16,         0,         0,   158.328,       154,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       408,       241
         5,   108.302,        27,        27,        11,        27,         0,         0,   113.783,       213,   2864.87,      8571,         0,         0,         0,         0,   12411.4,       155,     12258,       123,        31,        26,         0,         0,   114.088,       163,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       371,       177
         5,   124.662,        12,        12,        12,        14,         0,         0,    67.671,       124,   1954.16,      5829,         0,         0,         0,         0,   5415.01,        91,      5317,        70,        25,        18,         0,         0,    79.937,        91,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       490,       363
         5,   80.6138,         4,         8,        17,        14,         0,         0,    46.157,       176,   6134.61,     12180,         0,         0,         0,         0,   7190.54,        96,      7075,        85,        11,        14,         0,         0,    86.651,       101,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       356,       346
         5,   82.1134,         3,         7,        23,        16,         0,         0,   192.736,       388,   5637.46,     15345,         0,         0,         0,         0,   15118.5,       242,     14849,       201,        24,        12,         0,         0,   159.281,       216,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       108,       222
         5,   91.4166,        21,        21,        10,        21,         0,         0,    61.606,       150,   4276.47,     12927,         0,         0,         0,         0,      9133,       104,      9030,        94,        18,        22,         0,         0,   102.895,       115,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       442,       192
         5,   79.0762,        17,        17,        14,        17,         0,         0,   218.868,       444,   5804.48,     16722,         0,         0,         0,         0,   13363.4,       251,     13148,       208,        30,        14,         0,         0,   144.835,       204,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       122,       224
         5,   59.4835,         7,         7,        14,         8,         0,         0,    68.259,       287,   750.043,      2695,         0,         0,         0,         0,   7819.86,       111,      7739,        91,        35,        32,         0,         0,   100.047,       167,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       161,       314
         5,    76.922,        12,        12,        10,        12,         0,         0,    71.376,       142,   202.682,       790,         0,         0,         0,         0,   2545.01,        64,      2502,        47,        17,        14,         0,         0,    61.184,        86,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       177,       427
         5,   117.243,        34,        34,        27,        35,         0,         0,   153.446,       371,   4643.27,     16113,         0,         0,         0,         0,     17024,       299,     16788,       246,        54,        32,         0,         0,   209.078,       294,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,       392,       145
         5,   30.4138,         5,         5,        10,         5,         0,         0,     6.187,        16,     2.291,        24,         0,         0,         0,         0,   532.741,        16,       525,         4,         0,         2,         0,         0,     6.713,        16,   25279.7,     29171,     23223,     24824,     15150,         0,         0,       154,       157,     15301,        39,       458
