vertices: 3940, polygons: 4498
       idx,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        16/2,             1786.98,             1786.98,              16.074,             14650.7,         2,         2
        16/3,             1899.89,             1899.89,              16.074,             14650.7,         2,         2
        16/4,             2029.02,             2029.02,              16.074,             14650.7,         2,         2
        17/0,                   0,                   0,              78.234,              142613,         1,         2
        17/1,             1975.83,             1975.83,              78.234,              142613,         2,         2
        17/2,             4280.28,             4280.28,              78.234,              142613,         4,         4
        17/3,             4759.11,             4759.11,              78.234,              142613,         3,         3
        17/4,             6636.68,             6636.68,              78.234,              142613,         3,         3
        18/0,                   0,                   0,              62.996,              338589,         1,         2
        18/1,             1799.11,             1799.11,              62.996,              338589,         2,         2
        18/2,             4855.39,             4855.39,              62.996,              338589,         3,         3
        18/3,             4900.46,             4900.46,              62.996,              338589,         3,         3
        18/4,             5543.41,             5543.41,              62.996,              338589,         3,         3
        19/0,                   0,                   0,              87.599,         3.61524e+06,         1,         2
        19/1,             5003.95,             5003.95,              87.599,         3.61524e+06,         3,         3
        19/2,             5170.96,             5170.96,              87.599,         3.61524e+06,         3,         3
        19/3,             5432.26,             5432.26,              87.599,         3.61524e+06,         2,         2
        19/4,             5989.96,             5989.96,              87.599,         3.61524e+06,         2,         2
        20/0,                   0,                   0,              15.156,             24645.5,         1,         2
        20/1,             2333.36,             2333.36,              15.156,             24645.5,         2,         2
        20/2,              2700.1,              2700.1,              15.156,             24645.5,         2,         2
        20/3,             2962.16,             2962.16,              15.156,             24645.5,         2,         2
        20/4,             5536.04,             5536.04,              15.156,             24645.5,         2,         2
        21/0,                   0,                   0,              23.335,             71299.6,         1,         2
        21/1,             862.047,             862.047,              23.335,             71299.6,         2,         2
        21/2,             2105.97,             2105.97,              23.335,             71299.6,         3,         3
        21/3,             2226.91,             2226.91,              23.335,             71299.6,         2,         2
        21/4,             3328.04,             3328.04,              23.335,             71299.6,         2,         2
        22/0,                   0,                   0,              56.365,              121833,         1,         2
        22/1,             1318.18,             1318.18,              56.365,              121833,         2,         2
        22/2,             1767.52,             1767.52,              56.365,              121833,         2,         2
        22/3,             3659.32,             3659.32,              56.365,              121833,         2,         2
        22/4,             4748.56,             4748.56,              56.365,              121833,         3,         3
        23/0,                   0,                   0,             120.218,              404706,         1,         2
        23/1,             2960.04,             2960.04,             120.218,              404706,         2,         2
        23/2,             3996.69,             3996.69,             120.218,              404706,         4,         4
        23/3,             5299.52,             5299.52,             120.218,              404706,         4,         4
        23/4,             5984.59,             5984.59,             120.218,              404706,         4,         4
        24/0,                   0,                   0,              74.887,              167901,         1,         2
        24/1,             1918.32,             1918.32,              74.887,              167901,         2,         2
        24/2,             4839.79,             4839.79,              74.887,              167901,         3,         3
        24/3,             4952.37,             4952.37,              74.887,              167901,         3,         3
        24/4,             5179.38,             5179.38,              74.887,              167901,         3,         3
        25/0,                   0,                   0,              24.308,             82240.7,         1,         2
        25/1,             1582.74,             1582.74,              24.308,             82240.7,         4,         4
        25/2,              2150.4,              2150.4,              24.308,             82240.7,         2,         2
        25/3,             3013.75,             3013.75,              24.308,             82240.7,         4,         4
        25/4,             3528.37,             3528.37,              24.308,             82240.7,         2,         2
        26/0,                   0,                   0,              70.132,               58478,         1,         2
        26/1,             3135.39,             3135.39,              70.132,               58478,         4,         4
        26/2,             3138.03,             3138.03,              70.132,               58478,         3,         3
        26/3,             3517.17,             3517.17,              70.132,               58478,         3,         3
        26/4,             4759.11,             4759.11,              70.132,               58478,         3,         3
        27/0,                   0,                   0,               20.68,             64940.7,         1,         2
        27/1,             1246.94,             1246.94,               20.68,             64940.7,         2,         2
        27/2,             1915.25,             1915.25,               20.68,             64940.7,         2,         2
        27/3,              2046.5,              2046.5,               20.68,             64940.7,         2,         2
        27/4,             3434.72,             3434.72,               20.68,             64940.7,         3,         3
        28/0,                   0,                   0,              44.217,               65400,         1,         2
        28/1,             1978.92,             1978.92,              44.217,               65400,         2,         2
        28/2,             4079.69,             4079.69,              44.217,               65400,         2,         2
        28/3,             4729.96,             4729.96,              44.217,               65400,         2,         2
        28/4,             5090.96,             5090.96,              44.217,               65400,         3,         3
        29/0,                   0,                   0,              94.692,              217143,         1,         2
        29/1,             2226.57,             2226.57,              94.692,              217143,         2,         2
        29/2,             3227.82,             3227.82,              94.692,              217143,         2,         2
        29/3,             4107.06,             4107.06,              94.692,              217143,         2,         2
        29/4,             5183.12,             5183.12,              94.692,              217143,         2,         2
        30/0,                   0,                   0,              37.959,             98142.5,         1,         2
        30/1,              1166.4,              1166.4,              37.959,             98142.5,         2,         2
        30/2,             4024.67,             4024.67,              37.959,             98142.5,         3,         3
        30/3,             4295.69,             4295.69,              37.959,             98142.5,         3,         3
        30/4,             4723.88,             4723.88,              37.959,             98142.5,         3,         3
        31/0,                   0,                   0,              42.576,              137676,         1,         2
        31/1,             703.666,             703.666,              42.576,              137676,         2,         2
        31/2,             2780.28,             2780.28,              42.576,              137676,         2,         2
        31/3,              2836.3,              2836.3,              42.576,              137676,         2,         2
        31/4,              3053.6,              3053.6,              42.576,              137676,         2,         2
        32/0,                   0,                   0,              32.432,              164277,         1,         2
        32/1,             1767.26,             1767.26,              32.432,              164277,         2,         2
        32/2,             2226.91,             2226.91,              32.432,              164277,         2,         2
        32/3,              3514.1,              3514.1,              32.432,              164277,         2,         2
        32/4,             3814.98,             3814.98,              32.432,              164277,         3,         3
