vertices: 3940, polygons: 4498
       idx,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        94/3,             2632.23,             2632.23,              17.662,             58022.1,         2,         2
        94/4,             2666.67,             2666.67,              17.662,             58022.1,         2,         2
        95/0,                   0,                   0,              61.365,              199572,         1,         2
        95/1,              3040.3,              3040.3,              61.365,              199572,         2,         2
        95/2,             3814.76,             3814.76,              61.365,              199572,         3,         3
        95/3,             4260.92,             4260.92,              61.365,              199572,         3,         3
        95/4,             4373.79,             4373.79,              61.365,              199572,         2,         2
        96/0,                   0,                   0,             110.361,              322206,         1,         2
        96/1,             1478.42,             1478.42,             110.361,              322206,         2,         2
        96/2,             3013.75,             3013.75,             110.361,              322206,         4,         4
        96/3,             5061.14,             5061.14,             110.361,              322206,         5,         5
        96/4,             5145.25,             5145.25,             110.361,              322206,         4,         4
        97/0,                   0,                   0,              28.417,              112834,         1,         2
        97/1,             2718.25,             2718.25,              28.417,              112834,         2,         2
        97/2,             2772.26,             2772.26,              28.417,              112834,         2,         2
        97/3,             3536.11,             3536.11,              28.417,              112834,         2,         2
        97/4,             3945.04,             3945.04,              28.417,              112834,         4,         4
        98/0,                   0,                   0,              20.201,               56256,         1,         2
        98/1,             645.611,             645.611,              20.201,               56256,         2,         2
        98/2,             871.381,             871.381,              20.201,               56256,         2,         2
        98/3,             1383.67,             1383.67,              20.201,               56256,         2,         2
        98/4,              2014.4,              2014.4,              20.201,               56256,         2,         2
        99/0,                   0,                   0,              61.437,              170188,         1,         2
        99/1,             4280.28,             4280.28,              61.437,              170188,         4,         4
        99/2,             6228.67,             6228.67,              61.437,              170188,         4,         4
        99/3,             7716.28,             7716.28,              61.437,              170188,         3,         3
        99/4,             8312.15,             8312.15,              61.437,              170188,         4,         4
       100/0,                   0,                   0,             106.246,              379100,         1,         2
       100/1,             2537.22,             2537.22,             106.246,              379100,         2,         2
       100/2,             5616.71,             5616.71,             106.246,              379100,         3,         3
       100/3,             6260.46,             6260.46,             106.246,              379100,         4,         4
       100/4,             6676.99,             6676.99,             106.246,              379100,         6,         6
       101/0,                   0,                   0,              24.785,              123766,         1,         2
       101/1,             1767.52,             1767.52,              24.785,              123766,         2,         2
       101/2,             2530.34,             2530.34,              24.785,              123766,         2,         2
       101/3,             2816.37,             2816.37,              24.785,              123766,         2,         2
       101/4,             3841.15,             3841.15,              24.785,              123766,         2,         2
       102/0,                   0,                   0,              96.446,              492693,         1,         2
       102/1,             2538.04,             2538.04,              96.446,              492693,         2,         2
       102/2,              3026.3,              3026.3,              96.446,              492693,         2,         2
       102/3,             4693.84,             4693.84,              96.446,              492693,         4,         4
       102/4,             5989.96,             5989.96,              96.446,              492693,         2,         2
       103/0,                   0,                   0,             120.848,              168344,         1,         2
       103/1,             1735.37,             1735.37,             120.848,              168344,         2,         2
       103/2,             2084.81,             2084.81,             120.848,              168344,         2,         2
       103/3,             3830.15,             3830.15,             120.848,              168344,         3,         3
       103/4,             3900.72,             3900.72,             120.848,              168344,         4,         4
       104/0,                   0,                   0,              93.114,              268033,         1,         2
       104/1,             1536.79,             1536.79,              93.114,              268033,         2,         2
       104/2,             2810.11,             2810.11,              93.114,              268033,         2,         2
       104/3,             4287.49,             4287.49,              93.114,              268033,         5,         5
       104/4,              6680.5,              6680.5,              93.114,              268033,         5,         5
       105/0,                   0,                   0,              43.936,              153886,         1,         2
       105/1,             2508.89,             2508.89,              43.936,              153886,         2,         2
       105/2,             3304.26,             3304.26,              43.936,              153886,         2,         2
       105/3,             3595.61,             3595.61,              43.936,              153886,         4,         4
       105/4,             3883.83,             3883.83,              43.936,              153886,         4,         4
       106/0,                   0,                   0,              82.047,              315500,         1,         2
       106/1,             2468.79,             2468.79,              82.047,              315500,         2,         2
       106/2,             4868.02,             4868.02,              82.047,              315500,         4,         4
       106/3,             5183.12,             5183.12,              82.047,              315500,         2,         2
       106/4,             5473.44,             5473.44,              82.047,              315500,         4,         4
       107/0,                   0,                   0,              75.188,              441776,         1,         2
       107/1,             1227.23,             1227.23,              75.188,              441776,         2,         2
       107/2,             3568.73,             3568.73,              75.188,              441776,         2,         2
       107/3,             4570.66,             4570.66,              75.188,              441776,         4,         4
       107/4,             6106.88,             6106.88,              75.188,              441776,         4,         4
       108/0,                   0,                   0,             101.055,              364993,         1,         2
       108/1,             3059.41,             3059.41,             101.055,              364993,         2,         2
       108/2,             6739.11,             6739.11,             101.055,              364993,         3,         3
       108/3,             6778.27,             6778.27,             101.055,              364993,         3,         3
       108/4,             7256.74,             7256.74,             101.055,              364993,         4,         4
       109/0,                   0,                   0,              67.763,              292106,         1,         2
       109/1,             484.175,             484.175,              67.763,              292106,         2,         2
       109/2,             3575.67,             3575.67,              67.763,              292106,         3,         3
       109/3,             3611.72,             3611.72,              67.763,              292106,         3,         3
       109/4,              4891.4,              4891.4,              67.763,              292106,         2,         2
       110/0,                   0,                   0,              41.616,             60088.5,         1,         2
       110/1,             1173.03,             1173.03,              41.616,             60088.5,         2,         2
       110/2,             2359.91,             2359.91,              41.616,             60088.5,         2,         2
       110/3,             4092.45,             4092.45,              41.616,             60088.5,         2,         2
       110/4,             4584.52,             4584.52,              41.616,             60088.5,         2,         2
       111/0,                   0,                   0,              25.109,               63635,         1,         2
       111/1,             871.381,             871.381,              25.109,               63635,         2,         2
       111/2,             1047.35,             1047.35,              25.109,               63635,         2,         2
       111/3,             1373.82,             1373.82,              25.109,               63635,         2,         2
       111/4,             2252.45,             2252.45,              25.109,               63635,         2,         2
       112/0,                   0,                   0,              61.534,             77095.7,         1,         2
       112/1,             1673.77,             1673.77,              61.534,             77095.7,         2,         2
       112/2,             2105.97,             2105.97,              61.534,             77095.7,         3,         3
       112/3,             2745.73,             2745.73,              61.534,             77095.7,         3,         3
       112/4,             3110.38,             3110.38,              61.534,             77095.7,         2,         2
       113/0,                   0,                   0,              51.943,              103336,         1,         2
       113/1,             2404.07,             2404.07,              51.943,              103336,         2,         2
       113/2,             4047.53,             4047.53,              51.943,              103336,         3,         3
       113/3,             4748.56,             4748.56,              51.943,              103336,         3,         3
       113/4,             5163.33,             5163.33,              51.943,              103336,         3,         3
       114/0,                   0,                   0,             145.513,              503175,         1,         2
       114/1,             5587.84,             5587.84,             145.513,              503175,         2,         2
       114/2,             7771.72,             7771.72,             145.513,              503175,         3,         3
       114/3,              8200.8,              8200.8,             145.513,              503175,         4,         4
       114/4,             8300.56,             8300.56,             145.513,              503175,         4,         4
       115/0,                   0,                   0,             193.148,              257791,         1,         2
       115/1,             2028.35,             2028.35,             193.148,              257791,         2,         2
       115/2,             4261.35,             4261.35,             193.148,              257791,         3,         3
       115/3,             4380.84,             4380.84,             193.148,              257791,         5,         5
       115/4,              5636.2,              5636.2,             193.148,              257791,         3,         3
       116/0,                   0,                   0,              92.188,              206249,         1,         2
       116/1,             972.042,             972.042,              92.188,              206249,         2,         2
       116/2,             5419.89,             5419.89,              92.188,              206249,         3,         3
       116/3,             6060.55,             6060.55,              92.188,              206249,         4,         4
       116/4,              6860.3,              6860.3,              92.188,              206249,         4,         4
       117/0,                   0,                   0,               84.23,              285359,         1,         2
       117/1,             1238.11,             1238.11,               84.23,              285359,         2,         2
       117/2,             4981.38,             4981.38,               84.23,              285359,         2,         2
       117/3,             5988.35,             5988.35,               84.23,              285359,         4,         4
       117/4,             6220.51,             6220.51,               84.23,              285359,         4,         4
       118/0,                   0,                   0,              85.399,              228555,         1,         2
       118/1,             1238.25,             1238.25,              85.399,              228555,         2,         2
       118/2,             3690.05,             3690.05,              85.399,              228555,         2,         2
       118/3,             4082.07,             4082.07,              85.399,              228555,         4,         4
       118/4,             4169.69,             4169.69,              85.399,              228555,         4,         4
       119/0,                   0,                   0,             124.543,              460944,         1,         2
       119/1,             2459.37,             2459.37,             124.543,              460944,         2,         2
       119/2,             3409.04,             3409.04,             124.543,              460944,         3,         3
       119/3,             5514.35,             5514.35,             124.543,              460944,         2,         2
       119/4,             6831.42,             6831.42,             124.543,              460944,         4,         4
       120/0,                   0,                   0,              39.285,              381116,         1,         2
       120/1,             394.062,             394.062,              39.285,              381116,         2,         2
       120/2,                2825,                2825,              39.285,              381116,         2,         2
       120/3,             3873.53,             3873.53,              39.285,              381116,         2,         2
       120/4,             4753.27,             4753.27,              39.285,              381116,         2,         2
       121/0,                   0,                   0,              115.75,              502826,         1,         2
       121/1,             2947.36,             2947.36,              115.75,              502826,         2,         2
       121/2,             4334.99,             4334.99,              115.75,              502826,         4,         4
       121/3,             5161.84,             5161.84,              115.75,              502826,         3,         3
       121/4,             6420.98,             6420.98,              115.75,              502826,         2,         2
       122/0,                   0,                   0,              31.171,              127710,         1,         2
       122/1,             1624.78,             1624.78,              31.171,              127710,         2,         2
       122/2,             2912.68,             2912.68,              31.171,              127710,         2,         2
       122/3,             3738.43,             3738.43,              31.171,              127710,         2,         2
       122/4,             4072.99,             4072.99,              31.171,              127710,         3,         3
       123/0,                   0,                   0,              24.081,             69022.8,         1,         2
       123/1,             526.258,             526.258,              24.081,             69022.8,         2,         2
       123/2,             1606.28,             1606.28,              24.081,             69022.8,         2,         2
       123/3,             2924.51,             2924.51,              24.081,             69022.8,         3,         3
       123/4,             4133.02,             4133.02,              24.081,             69022.8,         2,         2
       124/0,                   0,                   0,              89.597,              191892,         1,         2
       124/1,             972.042,             972.042,              89.597,              191892,         2,         2
       124/2,             4599.55,             4599.55,              89.597,              191892,         3,         3
       124/3,             5291.06,             5291.06,              89.597,              191892,         3,         3
       124/4,             6399.93,             6399.93,              89.597,              191892,         4,         4
       125/0,                   0,                   0,              58.853,              242624,         1,         2
       125/1,             773.156,             773.156,              58.853,              242624,         2,         2
       125/2,             2722.09,             2722.09,              58.853,              242624,         2,         2
       125/3,             3072.73,             3072.73,              58.853,              242624,         3,         3
       125/4,             4855.39,             4855.39,              58.853,              242624,         3,         3
       126/0,                   0,                   0,              46.969,             57531.5,         1,         2
       126/1,             1204.12,             1204.12,              46.969,             57531.5,         2,         2
       126/2,             4189.01,             4189.01,              46.969,             57531.5,         3,         3
       126/3,             4829.72,             4829.72,              46.969,             57531.5,         3,         3
       126/4,             4952.62,             4952.62,              46.969,             57531.5,         3,         3
       127/0,                   0,                   0,             132.977,         1.16749e+06,         1,         2
       127/1,             674.953,             674.953,             132.977,         1.16749e+06,         2,         2
       127/2,             3114.31,             3114.31,             132.977,         1.16749e+06,         5,         5
       127/3,             3725.05,             3725.05,             132.977,         1.16749e+06,         5,         5
       127/4,             6819.89,             6819.89,             132.977,         1.16749e+06,        15,        15
       128/0,                   0,                   0,              42.356,               75427,         1,         2
       128/1,             1026.46,             1026.46,              42.356,               75427,         2,         2
       128/2,             2963.16,             2963.16,              42.356,               75427,         2,         2
       128/3,             3657.56,             3657.56,              42.356,               75427,         3,         3
       128/4,             4312.25,             4312.25,              42.356,               75427,         4,         4
       129/0,                   0,                   0,              108.66,              480272,         1,         2
       129/1,             1223.26,             1223.26,              108.66,              480272,         2,         2
       129/2,              4104.8,              4104.8,              108.66,              480272,         3,         3
       129/3,              4207.8,              4207.8,              108.66,              480272,         3,         3
       129/4,             5802.86,             5802.86,              108.66,              480272,         3,         3
       130/0,                   0,                   0,             102.619,              375897,         1,         2
       130/1,             386.757,             386.757,             102.619,              375897,         2,         2
       130/2,             2921.29,             2921.29,             102.619,              375897,         4,         4
       130/3,              4902.5,              4902.5,             102.619,              375897,         6,         6
       130/4,             5779.78,             5779.78,             102.619,              375897,         4,         4
       131/0,                   0,                   0,               33.43,              188116,         1,         2
       131/1,             3536.11,             3536.11,               33.43,              188116,         2,         2
       131/2,             3729.16,             3729.16,               33.43,              188116,         2,         2
       131/3,             4089.05,             4089.05,               33.43,              188116,         2,         2
       131/4,              4222.7,              4222.7,               33.43,              188116,         3,         3
       132/0,                   0,                   0,              16.047,             47250.7,         1,         2
       132/1,             645.611,             645.611,              16.047,             47250.7,         2,         2
       132/2,             1047.35,             1047.35,              16.047,             47250.7,         2,         2
       132/3,             1510.27,             1510.27,              16.047,             47250.7,         2,         2
       132/4,              1700.7,              1700.7,              16.047,             47250.7,         2,         2
       133/0,                   0,                   0,              34.277,              235565,         1,         2
       133/1,             2662.48,             2662.48,              34.277,              235565,         2,         2
       133/2,             3867.79,             3867.79,              34.277,              235565,         2,         2
       133/3,             4052.49,             4052.49,              34.277,              235565,         3,         3
       133/4,              4553.9,              4553.9,              34.277,              235565,         3,         3
       134/0,                   0,                   0,             126.115,              615545,         1,         2
       134/1,             5402.14,             5402.14,             126.115,              615545,         2,         2
       134/2,             5447.66,             5447.66,             126.115,              615545,         3,         3
       134/3,             5778.13,             5778.13,             126.115,              615545,         3,         3
       134/4,             6171.51,             6171.51,             126.115,              615545,         2,         2
       135/0,                   0,                   0,               92.45,              165738,         1,         2
       135/1,             237.876,             237.876,               92.45,              165738,         2,         2
       135/2,             2852.86,             2852.86,               92.45,              165738,         2,         2
       135/3,             3080.59,             3080.59,               92.45,              165738,         2,         2
       135/4,             5447.45,             5447.45,               92.45,              165738,         4,         4
       136/0,                   0,                   0,             149.645,              197752,         1,         2
       136/1,              1868.9,              1868.9,             149.645,              197752,         4,         4
       136/2,             4405.56,             4405.56,             149.645,              197752,         3,         3
       136/3,             5711.28,             5711.28,             149.645,              197752,         3,         3
       136/4,             6132.46,             6132.46,             149.645,              197752,         7,         7
       137/0,                   0,                   0,               10.43,             15866.5,         1,         2
       137/1,             731.751,             731.751,               10.43,             15866.5,         2,         2
       137/2,             2011.22,             2011.22,               10.43,             15866.5,         2,         2
       137/3,             2029.02,             2029.02,               10.43,             15866.5,         2,         2
       137/4,             2138.39,             2138.39,               10.43,             15866.5,         2,         2
       138/0,                   0,                   0,                35.5,             60086.4,         1,         2
       138/1,             1383.67,             1383.67,                35.5,             60086.4,         2,         2
       138/2,             1510.27,             1510.27,                35.5,             60086.4,         2,         2
       138/3,             1743.69,             1743.69,                35.5,             60086.4,         2,         2
       138/4,             2252.45,             2252.45,                35.5,             60086.4,         2,         2
       139/0,                   0,                   0,              46.444,              186001,         1,         2
       139/1,              3130.9,              3130.9,              46.444,              186001,         2,         2
       139/2,             4092.45,             4092.45,              46.444,              186001,         2,         2
       139/3,             4445.82,             4445.82,              46.444,              186001,         4,         4
       139/4,             4944.17,             4944.17,              46.444,              186001,         2,         2
       140/0,                   0,                   0,             100.302,              936771,         1,         2
       140/1,             1837.18,             1837.18,             100.302,              936771,         2,         2
       140/2,             5080.26,             5080.26,             100.302,              936771,         4,         4
       140/3,             5370.78,             5370.78,             100.302,              936771,         3,         3
       140/4,             6102.28,             6102.28,             100.302,              936771,         4,         4
       141/0,                   0,                   0,              27.848,             61283.8,         1,         2
       141/1,             1264.06,             1264.06,              27.848,             61283.8,         2,         2
       141/2,             1649.74,             1649.74,              27.848,             61283.8,         2,         2
       141/3,             1836.76,             1836.76,              27.848,             61283.8,         2,         2
       141/4,             3286.29,             3286.29,              27.848,             61283.8,         2,         2
       142/0,                   0,                   0,              48.575,              168790,         1,         2
       142/1,             2877.21,             2877.21,              48.575,              168790,         3,         3
       142/2,             3090.46,             3090.46,              48.575,              168790,         3,         3
       142/3,              3333.4,              3333.4,              48.575,              168790,         4,         4
       142/4,             3340.72,             3340.72,              48.575,              168790,         4,         4
       143/0,                   0,                   0,              48.883,              110837,         1,         2
       143/1,             363.418,             363.418,              48.883,              110837,         2,         2
       143/2,             2807.81,             2807.81,              48.883,              110837,         3,         3
       143/3,             4916.79,             4916.79,              48.883,              110837,         2,         2
       143/4,             5170.96,             5170.96,              48.883,              110837,         3,         3
       144/0,                   0,                   0,              26.497,             95587.7,         1,         2
       144/1,             2300.98,             2300.98,              26.497,             95587.7,         2,         2
       144/2,             2826.47,             2826.47,              26.497,             95587.7,         2,         2
       144/3,              2838.8,              2838.8,              26.497,             95587.7,         3,         3
       144/4,             2935.17,             2935.17,              26.497,             95587.7,         2,         2
       145/0,                   0,                   0,              87.083,              117937,         1,         2
       145/1,             5030.39,             5030.39,              87.083,              117937,         3,         3
       145/2,             5191.57,             5191.57,              87.083,              117937,         2,         2
       145/3,             5195.87,             5195.87,              87.083,              117937,         3,         3
       145/4,              5636.2,              5636.2,              87.083,              117937,         3,         3
       146/0,                   0,                   0,              58.714,              331002,         1,         2
       146/1,             2224.56,             2224.56,              58.714,              331002,         2,         2
       146/2,             2539.17,             2539.17,              58.714,              331002,         2,         2
       146/3,             3456.79,             3456.79,              58.714,              331002,         3,         3
       146/4,             3762.77,             3762.77,              58.714,              331002,         2,         2
       147/0,                   0,                   0,              33.262,              167298,         1,         2
       147/1,             1650.26,             1650.26,              33.262,              167298,         2,         2
       147/2,             2734.37,             2734.37,              33.262,              167298,         2,         2
       147/3,             3004.77,             3004.77,              33.262,              167298,         2,         2
       147/4,              3577.4,              3577.4,              33.262,              167298,         2,         2
       148/0,                   0,                   0,              80.883,             57746.6,         1,         2
       148/1,             2708.96,             2708.96,              80.883,             57746.6,         3,         3
       148/2,             3424.35,             3424.35,              80.883,             57746.6,         3,         3
       148/3,             4244.86,             4244.86,              80.883,             57746.6,         2,         2
       148/4,             5118.81,             5118.81,              80.883,             57746.6,         3,         3
       149/0,                   0,                   0,              90.412,              407378,         1,         2
       149/1,             3686.42,             3686.42,              90.412,              407378,         3,         3
       149/2,             4696.57,             4696.57,              90.412,              407378,         3,         3
       149/3,                4784,                4784,              90.412,              407378,         2,         2
       149/4,             6221.67,             6221.67,              90.412,              407378,         2,         2
       150/0,                   0,                   0,              15.248,             79842.2,         1,         2
       150/1,             1312.79,             1312.79,              15.248,             79842.2,         2,         2
       150/2,              1603.5,              1603.5,              15.248,             79842.2,         2,         2
       150/3,             3197.03,             3197.03,              15.248,             79842.2,         2,         2
       150/4,             3380.51,             3380.51,              15.248,             79842.2,         2,         2
       151/0,                   0,                   0,              22.993,             59933.2,         1,         2
       151/1,             1177.96,             1177.96,              22.993,             59933.2,         2,         2
       151/2,             1246.94,             1246.94,              22.993,             59933.2,         2,         2
       151/3,             2377.46,             2377.46,              22.993,             59933.2,         2,         2
       151/4,             2926.35,             2926.35,              22.993,             59933.2,         2,         2
       152/0,                   0,                   0,             117.178,              387616,         1,         2
       152/1,             3568.73,             3568.73,             117.178,              387616,         2,         2
       152/2,             3758.86,             3758.86,             117.178,              387616,         2,         2
       152/3,             4107.06,             4107.06,             117.178,              387616,         2,         2
       152/4,             6283.05,             6283.05,             117.178,              387616,         3,         3
       153/0,                   0,                   0,              48.977,              132662,         1,         2
       153/1,             3386.82,             3386.82,              48.977,              132662,         3,         3
       153/2,                4418,                4418,              48.977,              132662,         2,         2
       153/3,             4595.48,             4595.48,              48.977,              132662,         3,         3
       153/4,             4911.96,             4911.96,              48.977,              132662,         2,         2
       154/0,                   0,                   0,              76.139,              258573,         1,         2
       154/1,             4866.05,             4866.05,              76.139,              258573,         3,         3
       154/2,             4909.01,             4909.01,              76.139,              258573,         2,         2
       154/3,             4973.24,             4973.24,              76.139,              258573,         3,         3
       154/4,             4998.07,             4998.07,              76.139,              258573,         4,         4
       155/0,                   0,                   0,              107.81,              402904,         1,         2
       155/1,             1223.26,             1223.26,              107.81,              402904,         2,         2
       155/2,              4883.6,              4883.6,              107.81,              402904,         4,         4
       155/3,             5417.66,             5417.66,              107.81,              402904,         3,         3
       155/4,             6477.17,             6477.17,              107.81,              402904,         5,         5
       156/0,                   0,                   0,              77.092,              574081,         1,         2
       156/1,             2571.54,             2571.54,              77.092,              574081,         2,         2
       156/2,             3909.53,             3909.53,              77.092,              574081,         2,         2
       156/3,             4998.07,             4998.07,              77.092,              574081,         4,         4
       156/4,             6649.01,             6649.01,              77.092,              574081,         4,         4
       157/0,                   0,                   0,              56.818,              144706,         1,         2
       157/1,             4519.73,             4519.73,              56.818,              144706,         3,         3
       157/2,             5101.13,             5101.13,              56.818,              144706,         4,         4
       157/3,             5501.16,             5501.16,              56.818,              144706,         3,         3
       157/4,              6266.7,              6266.7,              56.818,              144706,         4,         4
       158/0,                   0,                   0,             107.227,              541682,         1,         2
       158/1,             3178.15,             3178.15,             107.227,              541682,         2,         2
       158/2,             4124.95,             4124.95,             107.227,              541682,         2,         2
       158/3,             5547.49,             5547.49,             107.227,              541682,         4,         4
       158/4,             6091.81,             6091.81,             107.227,              541682,         3,         3
       159/0,                   0,                   0,             128.016,              255752,         1,         2
       159/1,             5182.79,             5182.79,             128.016,              255752,         3,         3
       159/2,             6572.69,             6572.69,             128.016,              255752,         6,         6
       159/3,             6662.69,             6662.69,             128.016,              255752,        12,        12
       159/4,             8493.87,             8493.87,             128.016,              255752,         2,         2
       160/0,                   0,                   0,              17.471,               41982,         1,         2
       160/1,             731.751,             731.751,              17.471,               41982,         2,         2
       160/2,             1899.89,             1899.89,              17.471,               41982,         2,         2
       160/3,             2459.32,             2459.32,              17.471,               41982,         3,         3
       160/4,             2646.25,             2646.25,              17.471,               41982,         2,         2
       161/0,                   0,                   0,              47.479,              160480,         1,         2
       161/1,             2188.01,             2188.01,              47.479,              160480,         2,         2
       161/2,             2708.96,             2708.96,              47.479,              160480,         3,         3
       161/3,             4314.21,             4314.21,              47.479,              160480,         2,         2
       161/4,             5360.72,             5360.72,              47.479,              160480,         3,         3
       162/0,                   0,                   0,               31.23,             57773.2,         1,         2
       162/1,             2700.53,             2700.53,               31.23,             57773.2,         2,         2
       162/2,             3253.11,             3253.11,               31.23,             57773.2,         4,         4
       162/3,             3383.99,             3383.99,               31.23,             57773.2,         2,         2
       162/4,             3728.99,             3728.99,               31.23,             57773.2,         4,         4
       163/0,                   0,                   0,              36.563,              105972,         1,         2
       163/1,             2394.64,             2394.64,              36.563,              105972,         2,         2
       163/2,                2678,                2678,              36.563,              105972,         2,         2
       163/3,             3579.29,             3579.29,              36.563,              105972,         4,         4
       163/4,             3882.43,             3882.43,              36.563,              105972,         4,         4
       164/0,                   0,                   0,              80.408,              173317,         1,         2
       164/1,             2333.21,             2333.21,              80.408,              173317,         2,         2
       164/2,              3345.3,              3345.3,              80.408,              173317,         3,         3
       164/3,             3487.52,             3487.52,              80.408,              173317,         3,         3
       164/4,             6449.99,             6449.99,              80.408,              173317,         4,         4
       165/0,                   0,                   0,              42.105,             59722.3,         1,         2
       165/1,             1746.96,             1746.96,              42.105,             59722.3,         3,         3
       165/2,             2665.48,             2665.48,              42.105,             59722.3,         2,         2
       165/3,             2722.79,             2722.79,              42.105,             59722.3,         2,         2
       165/4,             3244.61,             3244.61,              42.105,             59722.3,         2,         2
       166/0,                   0,                   0,              68.105,              173279,         1,         2
       166/1,             3200.54,             3200.54,              68.105,              173279,         2,         2
       166/2,             3523.51,             3523.51,              68.105,              173279,         3,         3
       166/3,             3567.36,             3567.36,              68.105,              173279,         3,         3
       166/4,             4585.22,             4585.22,              68.105,              173279,         3,         3
       167/0,                   0,                   0,             138.181,              573445,         1,         2
       167/1,             458.855,             458.855,             138.181,              573445,         2,         2
       167/2,             6831.32,             6831.32,             138.181,              573445,         7,         7
       167/3,             7142.21,             7142.21,             138.181,              573445,         6,         6
       167/4,             7277.47,             7277.47,             138.181,              573445,         4,         4
       168/0,                   0,                   0,              23.843,             84200.9,         1,         2
       168/1,             1318.18,             1318.18,              23.843,             84200.9,         2,         2
       168/2,             2530.34,             2530.34,              23.843,             84200.9,         2,         2
       168/3,                3230,                3230,              23.843,             84200.9,         2,         2
       168/4,              3711.6,              3711.6,              23.843,             84200.9,         3,         3
       169/0,                   0,                   0,             132.855,              198494,         1,         2
       169/1,             3583.61,             3583.61,             132.855,              198494,         2,         2
       169/2,             6399.93,             6399.93,             132.855,              198494,         4,         4
       169/3,             6555.32,             6555.32,             132.855,              198494,         3,         3
       169/4,             7161.44,             7161.44,             132.855,              198494,         4,         4
       170/0,                   0,                   0,              82.282,              212808,         1,         2
       170/1,             1788.64,             1788.64,              82.282,              212808,         3,         3
