         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   48.2769,         1,         4,         0,         0,    68.089,       201,    45.392,       142,      7.68,        23,     4.152,        23,    230.13,        25,       211,        14,         0,         0,   224.764,        25,       207,        14,         5,     0.035,         3,   5907.51,      8553,      6246,     15828,         6,        75
         1,   27.2361,         1,         3,         0,         0,     69.33,       216,    24.801,        92,     4.576,        17,     1.739,        17,   156.474,        20,       145,         9,         0,         0,   152.154,        20,       139,         9,         3,     9.485,       101,   5907.51,      8553,      6246,     15828,         6,        75
         1,   66.0076,         1,         2,         0,         0,    81.531,       243,    53.625,       182,     6.912,        35,     4.534,        35,   270.142,        37,       245,        18,         0,         0,   263.875,        37,       239,        18,        13,    16.278,       109,   5907.51,      8553,      6246,     15828,         6,        75
         1,   59.8185,         1,         5,         0,         0,    38.846,       137,    18.673,        76,    16.046,        38,    10.372,        38,   574.827,        40,       533,        22,         0,         0,   553.667,        40,       512,        22,        12,    16.865,        93,   5907.51,      8553,      6246,     15828,         6,        75
         1,   124.319,         1,         6,         0,         0,   559.635,       964,   563.589,       894,     18.15,        51,    12.744,        51,   712.417,        51,       654,        28,         0,         0,   618.297,        51,       568,        28,        17,    29.982,       174,   5907.51,      8553,      6246,     15828,         6,        75
         1,   103.489,         1,         6,         0,         0,   492.823,       947,    450.28,       823,    16.259,        47,    10.578,        47,   569.603,        47,       521,        26,         0,         0,   512.326,        47,       469,        26,        15,     4.398,        29,   5907.51,      8553,      6246,     15828,         6,        75
         1,   96.2607,         1,         3,         0,         0,   165.425,       405,   100.342,       255,     8.065,        25,     4.981,        25,   240.172,        27,       215,        12,         0,         0,   232.838,        27,       209,        12,         7,     17.86,        90,   5907.51,      8553,      6246,     15828,         6,        75
         1,   54.1029,         1,         3,         0,         0,    95.451,       243,    56.859,       164,    11.216,        44,     6.913,        44,   511.433,        47,       472,        27,         0,         0,   476.418,        47,       437,        27,        13,    11.842,       110,   5907.51,      8553,      6246,     15828,         6,        75
         1,   29.9672,         1,         3,         0,         0,    34.425,       103,     20.58,        68,     4.207,        12,     1.686,        12,   117.128,        14,       105,         7,         0,         0,   103.727,        14,        94,         7,         2,     1.473,        17,   5907.51,      8553,      6246,     15828,         6,        75
         1,   124.959,         1,         6,         0,         0,   432.348,      1005,    447.47,       929,    17.939,        61,    13.039,        61,    644.86,        61,       584,        39,         0,         0,   637.425,        61,       579,        39,        17,     7.125,        39,   5907.51,      8553,      6246,     15828,         6,        75
