         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   13.1111,         0,         0,    64.979,        79,     26.11,        43,    12.684,        13,     4.592,        13,   814.001,        16,       799,         9,         0,    16.925,        73,   19135.1,      8419,      6246,     15344,        38,        75
         1,   39.7158,         0,         0,   109.778,       138,     61.57,        90,    26.229,        33,    16.432,        33,   1894.47,        37,      1854,        24,         0,    52.906,       155,   19135.1,      8419,      6246,     15344,        38,        75
         1,   34.2599,         0,         0,   195.063,       198,    74.253,        91,    92.508,       101,   100.873,       101,   1106.82,        20,      1084,        11,         0,    12.224,        31,   19135.1,      8419,      6246,     15344,        38,        75
         1,   22.8494,         0,         0,    81.015,        95,     31.42,        50,    13.341,        15,     5.214,        15,   476.742,        17,       463,         7,         0,      29.6,        85,   19135.1,      8419,      6246,     15344,        38,        75
         1,   19.6977,         0,         0,   219.161,       245,    53.184,        81,    11.168,        10,     3.088,        10,   357.765,        12,       349,         4,         0,    11.655,        46,   19135.1,      8419,      6246,     15344,        38,        75
         1,   13.9284,         0,         0,    48.297,        61,    19.052,        31,     11.41,        11,     3.453,        11,   355.381,        13,       348,         4,         0,      8.16,        25,   19135.1,      8419,      6246,     15344,        38,        75
         1,    38.145,         0,         0,   213.717,       241,   117.975,       152,    26.238,        33,    16.797,        33,   1710.75,        36,      1674,        22,         0,    43.534,       138,   19135.1,      8419,      6246,     15344,        38,        75
         1,   1.41421,         0,         0,    23.892,        34,     1.708,         7,     7.956,         1,     0.035,         1,     0.465,         5,         0,         0,         0,     4.376,        20,   19135.1,      8419,      6246,     15344,        38,        75
         1,   30.8873,         0,         0,   243.116,       267,     68.19,        95,    21.174,        26,     11.65,        26,   1073.26,        28,      1047,        13,         0,    23.473,        82,   19135.1,      8419,      6246,     15344,        38,        75
         1,   32.0217,         0,         0,   300.521,       280,   155.183,       183,    15.189,        17,     7.519,        17,    928.06,        19,       908,        11,         0,    66.476,       210,   19135.1,      8419,      6246,     15344,        38,        75
         1,   14.4222,         0,         0,    83.073,        89,    32.534,        47,     9.675,         7,     1.333,         7,   269.167,         9,       264,         3,         0,      7.37,        28,   19135.1,      8419,      6246,     15344,        38,        75
         1,   7.28011,         0,         0,    33.222,        48,      5.71,        15,      7.93,         1,     0.016,         1,     0.597,         6,         0,         0,         0,     0.102,         8,   19135.1,      8419,      6246,     15344,        38,        75
         1,   14.8661,         0,         0,    105.29,       138,    14.882,        27,     8.832,         7,     0.769,         7,   284.409,        11,       279,         3,         0,    10.533,        59,   19135.1,      8419,      6246,     15344,        38,        75
         1,    58.474,         0,         0,    262.48,       283,   206.306,       236,    32.674,        33,     22.11,        33,   1808.25,        36,      1764,        22,         0,     5.759,        25,   19135.1,      8419,      6246,     15344,        38,        75
         1,   16.0312,         0,         0,    62.561,        93,    17.068,        33,    13.046,        16,     4.725,        16,   736.323,        20,       721,         8,         0,    21.314,        69,   19135.1,      8419,      6246,     15344,        38,        75
         1,    35.171,         0,         0,   102.159,       108,    48.503,        60,     15.94,        19,     7.427,        19,   862.255,        22,       844,        10,         0,     9.414,        22,   19135.1,      8419,      6246,     15344,        38,        75
         1,   20.2681,         0,         0,   142.288,       175,    41.292,        64,    20.366,        24,    11.858,        24,   1325.88,        27,      1299,        16,         0,    26.365,        90,   19135.1,      8419,      6246,     15344,        38,        75
         1,        29,         0,         0,   240.002,       260,    94.938,       129,    11.145,        12,     3.276,        12,   456.719,        15,       447,         5,         0,    32.571,        97,   19135.1,      8419,      6246,     15344,        38,        75
