         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   1079.13,         0,         0,   113.634,       103,     7.525,        17,    17.487,         1,     0.025,         1,     4.991,         5,         0,         0,         0,     1.719,         6,   29812.9,     12838,      6607,     23182,        26,       287
         1,   6911.16,         0,         0,   563.572,       523,   122.181,       129,    15.136,        16,     8.636,        16,   605.981,        19,       586,         9,         0,    29.366,        61,   29812.9,     12838,      6607,     23182,        26,       287
         1,   5295.58,         0,         0,   305.686,       352,    49.081,        73,     9.397,        11,     3.585,        11,   384.957,        14,       374,         6,         0,     8.504,        28,   29812.9,     12838,      6607,     23182,        26,       287
         1,   21504.9,         0,         0,   2336.34,      2180,   639.043,       594,      26.7,        33,    18.742,        33,   1313.02,        36,      1272,        23,         0,     6.315,        24,   29812.9,     12838,      6607,     23182,        26,       287
         1,   11948.8,         0,         0,   1007.49,      1127,    214.83,       273,    20.919,        23,    13.443,        23,   1013.54,        26,       984,        17,         0,     12.46,        37,   29812.9,     12838,      6607,     23182,        26,       287
         1,   15896.2,         0,         0,   1830.74,      1871,   473.135,       555,     53.07,        59,    52.427,        59,   2683.27,        62,      2606,        48,         0,    29.465,        94,   29812.9,     12838,      6607,     23182,        26,       287
         1,   10344.1,         0,         0,   774.014,       840,   169.668,       224,    40.481,        57,    31.406,        57,   1603.86,        40,      1558,        28,         0,    15.226,        45,   29812.9,     12838,      6607,     23182,        26,       287
         1,   12421.6,         0,         0,   1315.25,      1441,   293.834,       373,    29.168,        39,    21.841,        39,   1745.65,        42,      1699,        30,         0,     5.881,        44,   29812.9,     12838,      6607,     23182,        26,       287
         1,   7867.84,         0,         0,   393.281,       465,    39.056,        68,    13.558,        21,     7.334,        21,   814.708,        25,       794,        13,         0,    63.381,       219,   29812.9,     12838,      6607,     23182,        26,       287
         1,   6458.02,         0,         0,   321.582,       419,    66.953,        97,    14.403,        18,      8.47,        18,   617.737,        22,       595,        10,         0,    43.066,       129,   29812.9,     12838,      6607,     23182,        26,       287
         1,   4107.87,         0,         0,   101.871,       138,    23.928,        45,    10.714,        13,     4.345,        13,   567.054,        16,       555,         9,         0,     11.47,        42,   29812.9,     12838,      6607,     23182,        26,       287
         1,   15874.3,         0,         0,    1879.5,      1916,   520.163,       573,     46.29,        71,    42.893,        71,   1671.42,        40,      1625,        28,         0,     0.257,         9,   29812.9,     12838,      6607,     23182,        26,       287
         1,   4029.92,         0,         0,    151.76,       197,    32.123,        33,      6.68,         7,     0.784,         7,   221.166,        11,       214,         4,         0,      2.65,        25,   29812.9,     12838,      6607,     23182,        26,       287
         1,   1021.57,         0,         0,    68.354,        80,     6.318,        14,     5.865,         1,     0.029,         1,     0.557,         5,         0,         0,         0,     0.044,         6,   29812.9,     12838,      6607,     23182,        26,       287
         1,   2103.15,         0,         0,   133.189,       169,    11.846,        25,     7.343,         7,     1.438,         7,   195.835,         9,       191,         3,         0,     3.379,        18,   29812.9,     12838,      6607,     23182,        26,       287
         1,   11897.8,         0,         0,   1150.01,      1196,   237.773,       288,    26.702,        35,    19.048,        35,   1620.29,        38,      1577,        28,         0,    14.747,        52,   29812.9,     12838,      6607,     23182,        26,       287
         1,   10590.9,         0,         0,   828.006,       900,   230.269,       226,    32.887,        40,    24.621,        40,    1597.9,        40,      1551,        25,         0,    10.286,        27,   29812.9,     12838,      6607,     23182,        26,       287
         1,   1807.27,         0,         0,    72.163,       105,    12.787,        25,     6.203,         4,     0.136,         4,   131.288,         7,       128,         2,         0,     0.338,        12,   29812.9,     12838,      6607,     23182,        26,       287
         1,   5165.55,         0,         0,   194.439,       244,    28.473,        45,    65.626,        88,     54.22,        88,   830.798,        21,       807,        14,         0,     0.194,         5,   29812.9,     12838,      6607,     23182,        26,       287
         1,   5342.86,         0,         0,   232.736,       278,    67.514,        84,    19.888,        18,    10.386,        18,   718.702,        20,       695,        11,         0,     10.58,        28,   29812.9,     12838,      6607,     23182,        26,       287
         1,   4879.87,         0,         0,   257.745,       254,    41.247,        59,    11.455,        12,     4.483,        12,   602.904,        19,       585,        10,         0,     2.329,        15,   29812.9,     12838,      6607,     23182,        26,       287
         1,   4551.23,         0,         0,   182.155,       228,    34.094,        58,     8.417,         9,       2.6,         9,   395.736,        16,       383,         7,         0,     13.01,        55,   29812.9,     12838,      6607,     23182,        26,       287
         1,   1029.47,         0,         0,    86.519,       129,     5.576,        14,     5.706,         1,     0.026,         1,     0.572,         6,         0,         0,         0,     0.079,         8,   29812.9,     12838,      6607,     23182,        26,       287
         1,    5961.3,         0,         0,   232.508,       303,    46.859,        70,    12.301,        15,     5.614,        15,   386.329,        15,       374,         6,         0,     6.921,        28,   29812.9,     12838,      6607,     23182,        26,       287
