         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   4151.58,         0,         0,    204.87,       197,    24.357,        40,    17.897,         8,     2.526,         8,   333.353,        12,       318,         6,         0,     7.208,        24,   31129.9,     12788,      6607,     23290,        21,       287
         1,   19983.5,         0,         0,    4237.5,      2659,   1144.55,       950,    65.817,        78,    64.048,        78,   3262.38,        80,      3148,        59,         0,     2.687,        22,   31129.9,     12788,      6607,     23290,        21,       287
         1,   2300.83,         0,         0,     44.83,        39,      5.72,        13,     5.874,         5,      0.48,         5,   106.855,         7,       103,         2,         0,     1.262,        13,   31129.9,     12788,      6607,     23290,        21,       287
         1,   8902.81,         0,         0,   668.916,       727,    131.73,       175,    30.577,        45,    34.713,        45,   1556.25,        47,      1508,        31,         0,    30.799,        90,   31129.9,     12788,      6607,     23290,        21,       287
         1,   11494.6,         0,         0,   707.445,       745,   104.016,       152,    19.284,        23,    11.489,        23,   831.096,        25,       805,        17,         0,     2.336,        10,   31129.9,     12788,      6607,     23290,        21,       287
         1,   13549.6,         0,         0,   1069.33,      1226,    221.99,       276,    41.298,        49,    32.506,        49,   2062.71,        51,      1991,        39,         0,     7.467,        25,   31129.9,     12788,      6607,     23290,        21,       287
         1,   6387.03,         0,         0,   336.597,       366,    78.246,        95,    21.611,        29,    14.273,        29,   1184.04,        33,      1147,        24,         0,    16.276,        53,   31129.9,     12788,      6607,     23290,        21,       287
         1,   11722.9,         0,         0,   998.736,      1133,   201.939,       257,    30.106,        37,    22.546,        37,   1414.38,        39,      1365,        29,         0,    20.182,        47,   31129.9,     12788,      6607,     23290,        21,       287
         1,   13479.8,         0,         0,    1347.4,      1391,   300.298,       356,    18.055,        23,    11.717,        23,   824.183,        25,       799,        17,         0,    25.449,       104,   31129.9,     12788,      6607,     23290,        21,       287
         1,   8005.39,         0,         0,   497.472,       591,   138.435,       141,    27.023,        39,    20.551,        39,   1243.75,        41,      1202,        25,         0,    25.713,        88,   31129.9,     12788,      6607,     23290,        21,       287
         1,   7647.78,         0,         0,   496.348,       592,   116.826,       134,    12.324,        16,      6.52,        16,   574.975,        19,       559,        11,         0,     4.866,        23,   31129.9,     12788,      6607,     23290,        21,       287
         1,   9114.59,         0,         0,   675.205,       684,   132.449,       148,    14.904,        22,     8.509,        22,   703.521,        26,       682,        13,         0,     9.954,        31,   31129.9,     12788,      6607,     23290,        21,       287
         1,    8457.5,         0,         0,   498.978,       537,      88.1,       128,    14.568,        21,     8.526,        21,   750.771,        23,       730,        14,         0,    25.531,        86,   31129.9,     12788,      6607,     23290,        21,       287
         1,   19066.4,         0,         0,    2594.4,      2500,   855.843,       909,     88.85,       129,    80.358,       129,   4395.93,       115,      4237,        86,         0,   110.241,       305,   31129.9,     12788,      6607,     23290,        21,       287
         1,   13767.8,         0,         0,   1616.46,      1658,   374.811,       435,    38.417,        53,    31.299,        53,   2065.35,        55,      2002,        42,         0,    17.682,        64,   31129.9,     12788,      6607,     23290,        21,       287
         1,   5945.41,         0,         0,    44.478,        60,    14.663,        21,     7.856,        10,     2.484,        10,   211.442,        13,       205,         4,         0,   199.687,       430,   31129.9,     12788,      6607,     23290,        21,       287
         1,   4206.96,         0,         0,    193.89,       245,    27.107,        43,     6.059,         7,     0.955,         7,   162.812,        11,       156,         4,         0,     3.718,        35,   31129.9,     12788,      6607,     23290,        21,       287
         1,   16051.2,         0,         0,   1321.94,      1416,   312.544,       367,    17.123,        25,    11.035,        25,   671.275,        27,       645,        15,         0,    10.968,        31,   31129.9,     12788,      6607,     23290,        21,       287
         1,   7761.95,         0,         0,   500.405,       602,    79.881,       109,     9.949,        14,     4.692,        14,   302.743,        16,       291,         6,         0,    30.379,       106,   31129.9,     12788,      6607,     23290,        21,       287
         1,   11809.9,         0,         0,   988.398,      1175,   264.571,       326,    67.309,        88,    57.802,        88,    1703.5,        48,      1648,        34,         0,    58.217,       136,   31129.9,     12788,      6607,     23290,        21,       287
         1,   10080.5,         0,         0,   1034.32,      1018,   180.772,       221,    12.223,        15,     6.033,        15,   459.367,        18,       444,         9,         0,     8.718,        23,   31129.9,     12788,      6607,     23290,        21,       287
         1,   12987.9,         0,         0,   787.641,       872,   185.755,       244,    27.273,        37,    19.748,        37,   1405.18,        41,      1358,        28,         0,    12.312,        54,   31129.9,     12788,      6607,     23290,        21,       287
         1,   18850.4,         0,         0,   2391.84,      1933,   505.564,       430,    22.818,        28,    16.053,        28,   1152.43,        30,      1116,        18,         0,    34.791,        97,   31129.9,     12788,      6607,     23290,        21,       287
         1,   7035.53,         0,         0,   519.892,       517,   144.212,       154,    15.583,        17,     8.119,        17,   649.772,        20,       630,        11,         0,     8.168,        33,   31129.9,     12788,      6607,     23290,        21,       287
         1,   12171.7,         0,         0,   1069.18,      1085,   265.157,       299,    29.537,        37,    22.011,        37,   1140.36,        39,      1095,        25,         0,    17.692,        50,   31129.9,     12788,      6607,     23290,        21,       287
         1,   10295.1,         0,         0,   924.222,      1026,    261.14,       291,    17.086,        20,    19.743,        20,   541.201,        21,       520,        11,         0,    24.297,        50,   31129.9,     12788,      6607,     23290,        21,       287
         1,   6422.92,         0,         0,   298.804,       382,    45.152,        76,    10.264,        12,     4.264,        12,   410.273,        14,       398,         9,         0,     1.336,        13,   31129.9,     12788,      6607,     23290,        21,       287
         1,   11781.2,         0,         0,   1341.31,      1552,   240.206,       299,    40.126,        53,     31.42,        53,   1988.21,        55,      1922,        41,         0,     0.296,         9,   31129.9,     12788,      6607,     23290,        21,       287
         1,   8248.58,         0,         0,   544.759,       680,    92.519,       139,    17.308,        26,    10.738,        26,   883.093,        30,       854,        18,         0,    12.883,        63,   31129.9,     12788,      6607,     23290,        21,       287
         1,   15310.5,         0,         0,   1835.01,      1912,   461.975,       533,    20.115,        26,    13.782,        26,   836.168,        29,       806,        17,         0,     16.52,        40,   31129.9,     12788,      6607,     23290,        21,       287
         1,   7561.83,         0,         0,   354.776,       434,    65.083,       105,    13.564,        17,     7.044,        17,   522.849,        18,       508,        10,         0,     2.473,        15,   31129.9,     12788,      6607,     23290,        21,       287
         1,   13356.4,         0,         0,   1301.46,      1345,    343.43,       403,    25.975,        25,    18.074,        25,   617.692,        26,       590,        13,         0,     36.37,        96,   31129.9,     12788,      6607,     23290,        21,       287
         1,   4703.67,         0,         0,   138.351,       132,    28.225,        32,     6.516,         8,       1.4,         8,   155.418,        10,       150,         3,         0,     4.797,        28,   31129.9,     12788,      6607,     23290,        21,       287
         1,   17853.7,         0,         0,   1266.66,      1434,   364.598,       388,   111.214,       134,    99.442,       134,      2489,        66,      2396,        54,         0,     3.803,        10,   31129.9,     12788,      6607,     23290,        21,       287
         1,   4399.28,         0,         0,   208.823,       256,    27.035,        48,    22.678,        37,     16.09,        37,   570.518,        21,       553,        11,         0,    25.591,       103,   31129.9,     12788,      6607,     23290,        21,       287
         1,   11874.1,         0,         0,   1018.91,      1161,   231.554,       298,    28.597,        41,     21.44,        41,   1357.88,        43,      1313,        27,         0,     17.32,        47,   31129.9,     12788,      6607,     23290,        21,       287
         1,   13674.7,         0,         0,   1409.18,      1354,   302.963,       369,    35.697,        45,    28.089,        45,   1604.77,        48,      1547,        35,         0,    22.337,        60,   31129.9,     12788,      6607,     23290,        21,       287
         1,   3752.48,         0,         0,   242.296,       246,    29.055,        44,     9.183,        13,     3.833,        13,    292.43,        14,       282,         5,         0,    12.466,        46,   31129.9,     12788,      6607,     23290,        21,       287
         1,   8644.64,         0,         0,   440.582,       487,    98.904,        95,     11.01,        13,     5.774,        13,   362.711,        15,       349,         7,         0,    27.608,        77,   31129.9,     12788,      6607,     23290,        21,       287
