         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   1710.53,         0,         0,    62.495,        76,     9.152,        18,    40.655,         6,     0.538,         6,   417.769,        11,       406,         3,         0,     4.323,        22,     28928,     12605,      6607,     22286,       144,       287
         1,   4383.68,         0,         0,   305.552,       348,    37.643,        62,    35.105,         9,     2.687,         9,   246.648,        11,       239,         3,         0,    11.646,        50,     28928,     12605,      6607,     22286,       144,       287
         1,   976.426,         0,         0,    15.861,        24,     4.237,        14,    29.492,         1,     0.016,         1,     0.573,         7,         0,         0,         0,      0.46,        18,     28928,     12605,      6607,     22286,       144,       287
         1,   5642.18,         0,         0,   315.328,       412,    26.449,        46,    30.251,        11,     3.462,        11,   505.234,        15,       492,         7,         0,     9.919,        30,     28928,     12605,      6607,     22286,       144,       287
         1,   2889.54,         0,         0,    24.156,        42,     8.405,        20,    25.846,         5,     0.138,         5,   203.518,         9,       200,         2,         0,    16.439,        85,     28928,     12605,      6607,     22286,       144,       287
         1,   7729.24,         0,         0,   598.056,       691,    85.311,       114,    65.477,        32,    17.074,        32,   2703.28,        36,      2663,        28,         0,     9.016,        41,     28928,     12605,      6607,     22286,       144,       287
         1,   6271.39,         0,         0,   339.009,       417,    58.677,        94,    32.912,        15,     5.655,        15,   994.358,        20,       978,        10,         0,      27.9,       113,     28928,     12605,      6607,     22286,       144,       287
         1,   1534.56,         0,         0,    14.083,        16,     6.747,        13,    28.592,        10,     3.024,        10,   263.371,        11,       256,         3,         0,     6.713,        23,     28928,     12605,      6607,     22286,       144,       287
         1,   8699.45,         0,         0,   700.033,       777,   144.189,       184,    73.221,        71,    39.421,        71,   2790.06,        33,      2758,        22,         0,     11.94,        35,     28928,     12605,      6607,     22286,       144,       287
         1,   2145.65,         0,         0,   129.597,       150,    16.349,        26,     25.71,         5,     0.144,         5,   128.941,         8,       125,         2,         0,     2.498,        32,     28928,     12605,      6607,     22286,       144,       287
         1,   5061.43,         0,         0,   256.415,       324,    28.861,        50,    33.999,        16,     7.401,        16,    1240.5,        18,      1221,        12,         0,    11.315,        43,     28928,     12605,      6607,     22286,       144,       287
         1,   2932.82,         0,         0,   101.583,       128,    28.557,        43,     26.79,         5,      1.04,         5,   253.422,         9,       247,         3,         0,     1.376,         7,     28928,     12605,      6607,     22286,       144,       287
