         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   10161.5,         0,         0,   939.195,       825,   166.107,       184,    48.483,        45,    21.116,        45,   530.877,        24,       498,        15,         0,    24.391,        61,   31051.5,     13070,      6607,     23596,        12,       287
         1,   17585.9,         0,         0,   2629.36,      2247,   640.566,       649,    50.688,        62,    39.027,        62,    1389.5,        66,      1304,        47,         0,    12.005,        45,   31051.5,     13070,      6607,     23596,        12,       287
         1,   17937.9,         0,         0,   1845.82,      1800,   458.177,       462,    83.031,        94,    82.576,        94,   2359.88,        97,      2223,        75,         0,    96.866,       223,   31051.5,     13070,      6607,     23596,        12,       287
         1,   13085.9,         0,         0,   1254.58,      1297,   325.413,       333,    22.338,        34,    17.908,        34,   743.923,        37,       706,        25,         0,    23.774,        78,   31051.5,     13070,      6607,     23596,        12,       287
         1,   9707.52,         0,         0,   805.674,       747,   160.932,       174,    28.829,        37,    23.901,        37,   820.789,        41,       770,        28,         0,    33.654,        85,   31051.5,     13070,      6607,     23596,        12,       287
         1,    3521.8,         0,         0,    34.714,        50,    10.019,        21,     4.489,         6,     0.879,         6,    65.382,         8,        61,         2,         0,     4.407,        44,   31051.5,     13070,      6607,     23596,        12,       287
         1,   3472.06,         0,         0,    92.582,       121,    12.861,        19,     4.754,         6,     1.564,         6,   125.887,        11,       118,         4,         0,      6.64,        40,   31051.5,     13070,      6607,     23596,        12,       287
         1,   25558.6,         0,         0,   3645.28,      3538,   1017.59,       953,    66.291,        87,    57.179,        87,   1803.88,        88,      1692,        64,         0,     6.573,        41,   31051.5,     13070,      6607,     23596,        12,       287
         1,   16250.8,         0,         0,   1727.94,      1782,    413.23,       477,    33.743,        40,    28.092,        40,   882.118,        42,       827,        31,         0,    17.999,        76,   31051.5,     13070,      6607,     23596,        12,       287
         1,   5490.55,         0,         0,   243.887,       284,    40.301,        62,     18.33,        27,    13.274,        27,   524.165,        28,       497,        17,         0,     3.395,        15,   31051.5,     13070,      6607,     23596,        12,       287
         1,   2554.33,         0,         0,   170.451,       227,    14.754,        28,     4.607,         6,     1.186,         6,   100.083,         9,        94,         3,         0,     2.768,        15,   31051.5,     13070,      6607,     23596,        12,       287
