         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   20538.4,         0,         0,   2707.09,      2289,   642.756,       666,    42.115,        42,    25.403,        42,   1780.51,        45,      1717,        32,         0,    77.678,       185,   29107.5,     12621,      6607,     23069,        23,       287
         1,   17827.6,         0,         0,   1465.27,      1632,   389.577,       403,   103.447,       102,    89.028,       102,   4771.91,       104,      4613,        88,         0,    25.439,        65,   29107.5,     12621,      6607,     23069,        23,       287
         1,   15929.8,         0,         0,   1045.65,      1208,   314.094,       296,    26.377,        35,    19.287,        35,   1652.74,        42,      1602,        31,         0,    43.699,       119,   29107.5,     12621,      6607,     23069,        23,       287
         1,   4268.37,         0,         0,    35.779,        64,    15.805,        34,     5.547,         5,     0.171,         5,   117.304,         8,       114,         2,         0,     5.021,        61,   29107.5,     12621,      6607,     23069,        23,       287
         1,     12387,         0,         0,   1046.95,       969,   161.077,       198,    35.163,        37,    21.929,        37,   1417.19,        39,      1363,        25,         0,    17.041,        41,   29107.5,     12621,      6607,     23069,        23,       287
         1,    9004.2,         0,         0,   716.386,       818,   138.867,       189,    16.568,        18,     9.786,        18,   734.954,        22,       712,        13,         0,     6.591,        19,   29107.5,     12621,      6607,     23069,        23,       287
         1,   2978.93,         0,         0,   139.036,       188,    24.421,        42,     9.331,        11,     3.894,        11,   176.251,        11,       167,         3,         0,     13.44,        43,   29107.5,     12621,      6607,     23069,        23,       287
         1,     12942,         0,         0,   1315.51,      1379,    314.45,       397,    12.746,        19,     6.989,        19,   457.989,        21,       438,        11,         0,    15.244,        56,   29107.5,     12621,      6607,     23069,        23,       287
         1,   8326.18,         0,         0,    525.64,       636,    99.075,       141,    16.532,        23,     9.622,        23,   844.108,        25,       820,        15,         0,     5.554,        36,   29107.5,     12621,      6607,     23069,        23,       287
         1,   6470.62,         0,         0,    351.96,       431,    65.024,        91,     9.446,        13,     4.206,        13,   443.914,        18,       411,         8,         0,    20.653,        66,   29107.5,     12621,      6607,     23069,        23,       287
