         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   4452.51,         0,         0,    262.47,       320,    38.474,        54,    68.953,        38,    15.454,        38,    1246.2,        16,      1223,         6,         0,    15.623,        41,   29872.9,     13345,      6607,     22627,       230,       287
         1,   2743.23,         0,         0,   174.189,       218,    29.042,        36,    46.043,         8,     1.909,         8,   565.482,        12,       558,         4,         0,     7.312,        28,   29872.9,     13345,      6607,     22627,       230,       287
         1,   5033.33,         0,         0,   358.625,       363,    62.236,        89,    80.993,        76,    39.617,        76,   1749.12,        28,      1715,        20,         0,    43.982,       178,   29872.9,     13345,      6607,     22627,       230,       287
         1,   4266.35,         0,         0,   209.866,       259,    42.496,        53,    50.407,        12,     5.008,        12,   403.404,        12,       393,         4,         0,    15.943,        72,   29872.9,     13345,      6607,     22627,       230,       287
         1,   307.475,         0,         0,    35.914,        53,     0.834,         6,    40.194,         1,     0.016,         1,     1.125,         6,         0,         0,         0,    12.508,        64,   29872.9,     13345,      6607,     22627,       230,       287
         1,   4122.06,         0,         0,   226.091,       267,    24.802,        38,    41.011,         8,     1.879,         8,   335.692,        11,       327,         4,         0,     4.984,        20,   29872.9,     13345,      6607,     22627,       230,       287
         1,   2918.52,         0,         0,   223.277,       247,    32.681,        36,    42.765,         6,     0.989,         6,   163.891,        10,       158,         3,         0,     2.554,        15,   29872.9,     13345,      6607,     22627,       230,       287
         1,    1252.6,         0,         0,    78.239,        85,     6.579,        12,    39.873,         5,     0.672,         5,   226.875,         7,       223,         2,         0,      1.82,        13,   29872.9,     13345,      6607,     22627,       230,       287
         1,    2554.7,         0,         0,   108.106,        65,    15.079,        18,    53.885,         7,     2.245,         7,   287.934,         9,       280,         3,         0,     7.326,        28,   29872.9,     13345,      6607,     22627,       230,       287
         1,   2016.65,         0,         0,   134.019,       159,    16.417,        26,    48.703,        11,     4.219,        11,   513.626,        12,       503,         6,         0,     5.567,        24,   29872.9,     13345,      6607,     22627,       230,       287
         1,   3146.78,         0,         0,    39.788,        55,     9.473,        19,    41.606,         6,     0.816,         6,   185.789,         8,       181,         2,         0,    20.445,        92,   29872.9,     13345,      6607,     22627,       230,       287
         1,    2688.6,         0,         0,   179.296,       210,    16.455,        29,    39.948,         5,     0.133,         5,   193.623,         8,       190,         2,         0,     0.536,        20,   29872.9,     13345,      6607,     22627,       230,       287
         1,   1710.66,         0,         0,    69.795,        68,      9.84,        19,    39.456,         4,      0.12,         4,   144.728,         7,       142,         2,         0,     0.323,        12,   29872.9,     13345,      6607,     22627,       230,       287
         1,   1015.24,         0,         0,    32.832,        40,     3.743,        10,    40.141,         7,       0.8,         7,   290.272,        10,       284,         3,         0,     5.483,        43,   29872.9,     13345,      6607,     22627,       230,       287
         1,   1465.67,         0,         0,   107.562,       104,     7.481,        15,    43.169,        10,     3.712,        10,    521.23,        13,       512,         5,         0,    12.209,        50,   29872.9,     13345,      6607,     22627,       230,       287
         1,   2093.55,         0,         0,    37.426,        42,     4.728,        11,    40.088,         5,     0.507,         5,   114.766,         7,       111,         2,         0,     1.326,        13,   29872.9,     13345,      6607,     22627,       230,       287
         1,   1715.42,         0,         0,    78.216,        95,    22.457,        39,    47.239,        13,     5.747,        13,   630.781,        20,       613,         8,         0,     0.047,         3,   29872.9,     13345,      6607,     22627,       230,       287
         1,   3199.38,         0,         0,   114.743,       155,    25.056,        37,    42.329,         9,     2.654,         9,   378.216,        13,       370,         4,         0,    10.203,        63,   29872.9,     13345,      6607,     22627,       230,       287
         1,   1124.22,         0,         0,    93.255,       149,     3.372,        10,    39.852,         4,      0.12,         4,   187.154,         8,       183,         2,         0,     0.616,        21,   29872.9,     13345,      6607,     22627,       230,       287
         1,   5248.08,         0,         0,   268.478,       329,    46.028,        71,    46.905,        14,     6.248,        14,   1890.82,        18,      1873,        10,         0,     2.015,         8,   29872.9,     13345,      6607,     22627,       230,       287
         1,   9568.01,         0,         0,   585.694,       702,   123.155,       159,     49.94,        22,    10.222,        22,   1882.77,        25,      1855,        16,         0,    44.874,       165,   29872.9,     13345,      6607,     22627,       230,       287
         1,   4485.19,         0,         0,   288.468,       350,      26.9,        41,    57.624,        32,    16.183,        32,   911.881,        16,       894,        10,         0,     6.695,        24,   29872.9,     13345,      6607,     22627,       230,       287
