         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,    5543.4,         0,         0,   282.006,       338,    44.037,        72,    57.495,        14,      5.23,        14,   957.891,        19,       936,         8,         0,     4.336,        17,   28162.3,     12926,      6608,     22411,       201,       287
         1,   6115.49,         0,         0,   354.826,       440,    51.913,        79,    49.068,        15,     6.405,        15,   828.681,        18,       810,        11,         0,     9.503,        34,   28162.3,     12926,      6608,     22411,       201,       287
         1,   1110.64,         0,         0,    30.341,        44,     4.944,        13,    36.573,         1,     0.022,         1,     0.636,         7,         0,         0,         0,       7.5,        38,   28162.3,     12926,      6608,     22411,       201,       287
         1,   1656.66,         0,         0,    29.351,        43,    11.879,        20,    36.282,         5,     0.188,         5,   136.341,         8,       132,         2,         0,     0.649,        20,   28162.3,     12926,      6608,     22411,       201,       287
         1,   4347.44,         0,         0,   191.636,       231,    33.719,        51,    67.176,        62,    29.743,        62,   752.692,        21,       727,        13,         0,    10.379,        22,   28162.3,     12926,      6608,     22411,       201,       287
         1,   1750.84,         0,         0,    83.625,       121,     5.237,        13,     35.82,         6,     0.818,         6,   108.128,         9,       104,         2,         0,     2.634,        22,   28162.3,     12926,      6608,     22411,       201,       287
         1,   4924.82,         0,         0,   256.007,       337,    53.424,        73,     40.06,         9,     2.821,         9,   437.245,        13,       426,         4,         0,    15.933,        65,   28162.3,     12926,      6608,     22411,       201,       287
         1,   2157.38,         0,         0,    84.277,       107,     6.413,        14,    36.259,         5,     0.748,         5,   163.907,         7,       159,         2,         0,    10.065,        45,   28162.3,     12926,      6608,     22411,       201,       287
         1,   1593.64,         0,         0,    62.563,        69,     7.616,        16,    35.332,         1,     0.016,         1,     0.647,         6,         0,         0,         0,     0.098,         8,   28162.3,     12926,      6608,     22411,       201,       287
         1,   2927.97,         0,         0,   146.834,       196,    18.267,        33,    39.754,        11,     4.037,        11,   428.443,        14,       417,         7,         0,     5.263,        29,   28162.3,     12926,      6608,     22411,       201,       287
         1,   7223.46,         0,         0,   556.819,       646,    73.556,        97,    41.015,        13,     5.139,        13,   807.816,        16,       794,         7,         0,    22.518,        64,   28162.3,     12926,      6608,     22411,       201,       287
