         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   1336.01,         1,         4,         0,         0,   478.014,       807,    19.528,        71,   129.212,        17,      2.29,        17,   1240.37,        19,      1224,        10,         0,         0,   1243.93,        19,      1230,        10,         2,      2.95,        31,    431960,    365015,    188905,    691136,       671,      8385
         1,    1462.3,         1,         2,         0,         0,   1125.32,      1942,    28.229,        89,   136.907,        10,     1.476,        10,   676.201,        14,       665,         5,         0,         0,   729.268,        14,       716,         5,         3,     4.516,        23,    431960,    365015,    188905,    691136,       671,      8385
         1,   2905.17,         1,         3,         0,         0,   4185.44,      7414,   233.487,       555,   139.143,        19,     2.448,        19,    936.94,        21,       920,         9,         0,         0,   949.815,        21,       933,         9,         6,     8.448,        44,    431960,    365015,    188905,    691136,       671,      8385
         1,   1005.17,         1,         3,         0,         0,   898.266,      1411,    14.759,        46,   154.599,        11,     1.152,        11,    552.12,        14,       541,         7,         0,         0,   550.511,        14,       540,         7,         0,     6.025,        58,    431960,    365015,    188905,    691136,       671,      8385
         1,   441.725,         1,         2,         0,         0,   323.108,       552,     3.394,        15,   129.954,         1,     0.015,         1,     1.218,         5,         0,         0,         0,         0,     0.847,         5,         0,         0,         0,      0.04,         6,    431960,    365015,    188905,    691136,       671,      8385
         1,    3012.1,         2,         2,         0,         0,   4264.28,      7927,   187.734,       483,   150.863,        72,    13.407,        72,   1798.83,        25,      1777,        13,         0,         0,   1863.86,        25,      1840,        13,         6,    12.647,        71,    431960,    365015,    188905,    691136,       671,      8385
         1,   3770.31,         1,         4,         0,         0,   6394.77,     11872,    339.89,       786,   160.986,        83,    17.619,        83,   2444.84,        29,      2414,        18,         0,         0,   2415.48,        29,      2386,        18,         5,     2.082,        19,    431960,    365015,    188905,    691136,       671,      8385
         1,   2262.74,         2,         3,         0,         0,   2470.54,      4234,   116.397,       273,   184.081,        60,    12.211,        60,   1577.52,        31,      1547,        17,         0,         0,   1548.66,        31,      1520,        17,         8,    33.912,       150,    431960,    365015,    188905,    691136,       671,      8385
         1,   3599.12,         1,         4,         0,         0,   6432.28,     12353,   287.167,       689,   143.547,        37,     7.098,        37,   4068.12,        41,      4011,        30,         0,         0,   3919.61,        41,      3869,        30,         4,    11.287,        58,    431960,    365015,    188905,    691136,       671,      8385
         1,   761.128,         1,         3,         0,         0,   671.584,      1145,    15.533,        55,   127.972,        10,     1.794,        10,    750.81,        14,       739,         7,         0,         0,   751.798,        14,       740,         7,         1,     0.972,        13,    431960,    365015,    188905,    691136,       671,      8385
         1,   1271.32,         3,         3,         0,         0,   576.117,      1069,    36.384,       101,   182.728,        74,    14.092,        74,    1977.1,        26,      1944,        18,         0,         0,   1965.82,        26,      1937,        18,         4,     9.598,        44,    431960,    365015,    188905,    691136,       671,      8385
         1,   1796.56,         1,         5,         0,         0,   1956.57,      3671,    51.952,       169,   176.535,        40,     6.875,        40,   1340.19,        20,      1321,        12,         0,         0,   1353.46,        20,      1336,        12,         1,    19.696,       107,    431960,    365015,    188905,    691136,       671,      8385
         1,   2163.81,         1,         5,         0,         0,   2247.93,      3997,    86.047,       246,   134.068,        23,     3.644,        23,   1164.19,        23,      1145,        12,         0,         0,   1223.51,        23,      1203,        12,         6,    20.765,       130,    431960,    365015,    188905,    691136,       671,      8385
         1,   1644.79,         1,         4,         0,         0,   1680.25,      3019,    37.796,       115,   144.405,        17,     2.739,        17,   1158.63,        19,      1140,        11,         0,         0,   1049.46,        19,      1034,        11,         2,     3.675,        41,    431960,    365015,    188905,    691136,       671,      8385
         1,   160.655,         1,         2,         0,         0,    14.572,        32,     2.515,        11,   132.247,         4,     0.042,         4,   183.863,         7,       180,         2,         0,         0,   183.311,         7,       180,         2,         0,     1.603,        26,    431960,    365015,    188905,    691136,       671,      8385
