         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   341.491,         1,         1,        15,         0,         0,   836.123,      2399,    673.92,      1800,   3567.39,      9066,   3409.64,      9066,   14870.1,      1398,     13648,      1256,         0,         0,   14836.4,      1398,     13565,      1256,       101,      18.7,       159,   25748.6,     29972,     23223,     28503,         7,       157
         1,   159.775,         1,         1,         7,         0,         0,   629.709,      1173,   380.039,       746,   1149.49,      2402,   1006.48,      2402,   2694.29,       278,      2461,       228,         0,         0,   2723.76,       278,      2472,       228,        40,      3.19,        17,   25748.6,     29972,     23223,     28503,         7,       157
         1,   21.3776,         1,         1,         2,         0,         0,    64.415,       123,     4.559,        15,     1.656,         5,     0.434,         5,    27.595,         7,        25,         2,         0,         0,     25.77,         7,        24,         2,         0,     1.252,        13,   25748.6,     29972,     23223,     28503,         7,       157
         1,   327.351,         3,         3,        12,         0,         0,   2003.05,      4362,   1329.03,      2979,   2200.64,      5508,   2128.81,      5508,   6944.19,       803,      6222,       607,         0,         0,   6904.38,       803,      6195,       607,       170,    14.533,        71,   25748.6,     29972,     23223,     28503,         7,       157
         1,   43.3495,         1,         1,         3,         0,         0,    99.594,       230,    29.384,        79,     3.513,        12,     2.308,        12,    69.745,        12,        58,         5,         0,         0,    65.399,        12,        55,         5,         1,     8.434,        60,   25748.6,     29972,     23223,     28503,         7,       157
         1,   363.782,         2,         2,        15,         0,         0,   875.392,      1890,   777.312,      1593,   4392.69,     10058,   4243.64,     10058,   7178.37,       732,      6377,       641,         0,         0,   7136.67,       732,      6346,       641,        62,    17.411,       126,   25748.6,     29972,     23223,     28503,         7,       157
         1,   347.344,         4,         4,        19,         0,         0,   1346.78,      3516,   1010.43,      2483,   4798.75,     12700,   4639.65,     12700,   5268.43,       581,      4772,       465,         0,         0,   5195.01,       581,      4712,       465,        97,    19.039,       184,   25748.6,     29972,     23223,     28503,         7,       157
         1,   136.077,         2,         2,         7,         0,         0,   496.278,      1006,   252.243,       529,   1003.25,      2193,   866.001,      2193,   953.698,       115,       865,        82,         0,         0,   937.631,       115,       850,        82,        28,     1.011,        13,   25748.6,     29972,     23223,     28503,         7,       157
         1,   358.691,         1,         1,        13,         0,         0,   1058.28,      2339,   700.315,      1774,   3347.98,      8959,   3201.42,      8959,   14191.9,      1370,     12859,      1240,         0,         0,   14246.8,      1370,     12940,      1240,        93,    30.241,       109,   25748.6,     29972,     23223,     28503,         7,       157
         1,   310.465,         1,         1,        11,         0,         0,   505.405,      1363,    283.01,       689,   1613.61,      4438,   1486.05,      4438,   2794.26,       324,      2498,       236,         0,         0,   2808.05,       324,      2532,       236,        80,    41.257,       391,   25748.6,     29972,     23223,     28503,         7,       157
         1,   26.0599,         1,         1,         3,         0,         0,    53.967,       121,    21.989,        44,     3.344,        12,     1.417,        12,    75.969,        16,        68,         7,         0,         0,    72.515,        16,        66,         7,         4,     0.081,         5,   25748.6,     29972,     23223,     28503,         7,       157
         1,   268.503,         1,         1,        11,         0,         0,   440.245,      1168,   309.226,       736,   994.881,      2537,   953.566,      2537,   4007.02,       424,      3611,       351,         0,         0,   4035.84,       424,      3651,       351,        43,    14.789,        89,   25748.6,     29972,     23223,     28503,         7,       157
         1,   8.24621,         1,         1,         2,         0,         0,    35.163,        96,     1.174,        12,      1.07,         1,     0.021,         1,     0.223,         6,         0,         0,         0,         0,     0.119,         6,         0,         0,         0,     0.081,         8,   25748.6,     29972,     23223,     28503,         7,       157
         1,   273.644,         1,         1,         6,         0,         0,   910.107,      2225,     520.9,      1330,   2610.96,      6331,   2441.89,      6331,   1746.17,       210,      1575,       154,         0,         0,   1754.76,       210,      1587,       154,        50,    26.611,       187,   25748.6,     29972,     23223,     28503,         7,       157
         1,    33.541,         1,         1,         2,         0,         0,   126.616,       425,    38.574,       126,     2.595,        13,     1.505,        13,    76.376,        15,        70,         6,         0,         0,    73.025,        15,        66,         6,         4,     4.185,        29,   25748.6,     29972,     23223,     28503,         7,       157
         1,   173.474,         3,         3,        11,         0,         0,   730.085,      1687,   467.452,      1238,   1302.65,      3659,   1241.39,      3659,   2906.87,       289,      2655,       249,         0,         0,   2851.44,       289,      2604,       249,        32,    17.112,       101,   25748.6,     29972,     23223,     28503,         7,       157
         1,   349.596,         1,         1,        12,         0,         0,   471.998,      1245,   325.027,       796,    3002.2,      7491,   2824.12,      7491,   4657.34,       483,      4183,       407,         0,         0,   4645.72,       483,      4172,       407,        48,     8.709,        26,   25748.6,     29972,     23223,     28503,         7,       157
         1,    425.44,         1,         1,        17,         0,         0,   896.676,      2431,    677.97,      1833,   3754.16,      9280,   3344.04,      9280,   14560.2,      1429,     13166,      1276,         0,         0,   14335.8,      1429,     12931,      1276,       111,    51.163,       319,   25748.6,     29972,     23223,     28503,         7,       157
         1,   41.3503,         1,         1,         3,         0,         0,    102.39,       329,    36.726,       138,     6.269,        44,     4.054,        44,   281.311,        46,       259,        24,         0,         0,   266.855,        46,       244,        24,        16,    13.541,       141,   25748.6,     29972,     23223,     28503,         7,       157
         1,   174.641,         3,         3,         4,         0,         0,   451.043,       981,   150.982,       374,   539.485,      1690,   492.406,      1690,   1790.73,       199,      1635,       158,         0,         0,   1785.94,       199,      1631,       158,        33,    15.065,        91,   25748.6,     29972,     23223,     28503,         7,       157
         1,   163.387,         2,         2,         9,         0,         0,   394.255,      1061,   195.671,       513,    806.61,      1995,    671.68,      1995,   1462.31,       199,      1308,       128,         0,         0,   1449.69,       199,      1294,       128,        64,    16.254,       135,   25748.6,     29972,     23223,     28503,         7,       157
         1,   292.559,         4,         4,        15,         0,         0,    911.34,      2023,    644.23,      1541,   2965.21,      7399,   2869.42,      7399,   10047.5,      1003,      9037,       886,         0,         0,   9968.05,      1003,      8955,       886,        88,    14.738,       163,   25748.6,     29972,     23223,     28503,         7,       157
         1,   48.8243,         1,         1,         4,         0,         0,   333.625,       789,   106.654,       356,     7.126,        30,     4.566,        30,    209.16,        32,       191,        18,         0,         0,   203.183,        32,       187,        18,         8,    14.079,       156,   25748.6,     29972,     23223,     28503,         7,       157
         1,    365.01,         1,         1,        15,         0,         0,   828.823,      2403,   643.337,      1804,   3357.88,      9086,   3366.35,      9086,   13963.8,      1400,     12657,      1257,         0,         0,   13988.4,      1400,     12702,      1257,       102,     22.99,       187,   25748.6,     29972,     23223,     28503,         7,       157
