         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   8619.79,         0,         0,   692.034,       718,   123.765,       166,    51.409,        51,     28.12,        51,   1331.77,        30,      1289,        21,         0,    25.671,        60,   29652.8,     12803,      6607,     23011,        58,       287
         1,    3938.9,         0,         0,   192.584,       226,     24.24,        39,    13.795,         9,     2.639,         9,   344.348,        11,       335,         5,         0,     9.089,        31,   29652.8,     12803,      6607,     23011,        58,       287
         1,    2933.7,         0,         0,    42.735,        59,     1.912,         8,    11.246,         5,      0.17,         5,    88.204,         8,        85,         2,         0,   142.417,       312,   29652.8,     12803,      6607,     23011,        58,       287
         1,     11241,         0,         0,   1236.48,      1215,   309.693,       305,    28.579,        17,     6.694,        17,    676.45,        19,       659,         8,         0,    21.025,        55,   29652.8,     12803,      6607,     23011,        58,       287
         1,   1266.72,         0,         0,    92.786,       127,     5.384,        13,     11.29,         4,     0.119,         4,   168.498,         7,       165,         2,         0,     0.338,        12,   29652.8,     12803,      6607,     23011,        58,       287
         1,   1124.18,         0,         0,     40.47,        44,     2.856,         8,     11.46,         1,     0.021,         1,     0.563,         5,         0,         0,         0,     0.068,         6,   29652.8,     12803,      6607,     23011,        58,       287
         1,   10447.3,         0,         0,   848.623,      1003,   191.419,       227,    21.986,        22,     10.91,        22,    1244.4,        26,      1219,        15,         0,    77.655,       175,   29652.8,     12803,      6607,     23011,        58,       287
         1,   5352.75,         0,         0,   278.384,       361,    41.374,        65,    18.228,        15,      6.29,        15,   673.001,        17,       657,         9,         0,     4.561,        44,   29652.8,     12803,      6607,     23011,        58,       287
         1,   1587.88,         0,         0,    68.327,        97,     8.499,        19,     12.05,         8,     1.448,         8,   174.638,        10,       169,         3,         0,      4.75,        28,   29652.8,     12803,      6607,     23011,        58,       287
         1,   7348.66,         0,         0,   309.848,       385,    59.096,        83,    13.296,         8,     2.355,         8,   233.368,        12,       226,         4,         0,     5.598,        23,   29652.8,     12803,      6607,     23011,        58,       287
