         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   31420.6,         0,         0,   7491.98,      6647,      3416,      3072,   423.333,       534,   411.243,       534,   2436.51,       284,      2029,       233,         0,     8.179,        29,   32412.9,     14081,      6608,     24799,         3,       287
         1,   45121.1,         0,         0,   12893.8,     10317,   6945.45,      5368,   638.803,       748,   668.449,       748,      4213,       483,      3514,       401,         0,    39.068,        91,   32412.9,     14081,      6608,     24799,         3,       287
         1,   31864.8,         0,         0,   7707.65,      6760,   3495.85,      3039,    43.039,        66,     39.32,        66,   511.773,        70,       429,        52,         0,     35.06,        85,   32412.9,     14081,      6608,     24799,         3,       287
         1,   57898.2,         0,         0,   13685.3,     11406,   7252.23,      5337,   260.158,       245,   194.427,       245,   2056.51,       251,      1701,       199,         0,   148.169,       311,   32412.9,     14081,      6608,     24799,         3,       287
         1,   13309.9,         0,         0,   1277.19,      1325,   301.036,       371,    16.494,        28,    13.216,        28,   199.067,        32,       166,        19,         0,    17.516,        60,   32412.9,     14081,      6608,     24799,         3,       287
         1,   13863.6,         0,         0,   946.383,      1018,   162.811,       209,     9.502,        18,     7.409,        18,    98.641,        18,        82,         9,         0,     10.38,        48,   32412.9,     14081,      6608,     24799,         3,       287
         1,   31150.1,         0,         0,   5248.19,      4859,   1937.02,      1804,   134.307,       169,   125.879,       169,   1417.19,       171,      1186,       132,         0,    47.017,       136,   32412.9,     14081,      6608,     24799,         3,       287
         1,   45500.1,         0,         0,   10399.3,      8596,   4999.88,      3926,   101.795,       143,    95.992,       143,   1127.04,       145,       952,       112,         0,    58.708,       128,   32412.9,     14081,      6608,     24799,         3,       287
         1,   24017.8,         0,         0,   2056.54,      2069,   520.972,       521,   247.021,       239,   195.126,       239,   1078.06,       128,       886,       103,         0,    13.885,        48,   32412.9,     14081,      6608,     24799,         3,       287
         1,   26457.8,         0,         0,   5073.24,      4589,   1853.48,      1790,    55.549,        78,    52.283,        78,   622.911,        80,       524,        60,         0,    42.317,       106,   32412.9,     14081,      6608,     24799,         3,       287
         1,   23213.4,         0,         0,   4627.62,      4169,   1841.94,      1692,    249.71,       267,   214.687,       267,   1066.85,       131,       888,       103,         0,    12.438,        62,   32412.9,     14081,      6608,     24799,         3,       287
         1,   57549.9,         0,         0,   14173.3,     11492,   7350.61,      5273,   207.016,       243,   198.073,       243,   2128.47,       249,      1782,       197,         0,   132.474,       263,   32412.9,     14081,      6608,     24799,         3,       287
         1,   12146.9,         0,         0,   1348.33,      1362,   335.448,       380,    43.296,        70,    37.941,        70,   224.466,        29,       193,        18,         0,     1.401,        14,   32412.9,     14081,      6608,     24799,         3,       287
         1,   42397.4,         0,         0,   9019.61,      7473,   4569.75,      3471,   194.763,       226,   185.669,       226,   2199.44,       228,      1860,       189,         0,     7.969,        29,   32412.9,     14081,      6608,     24799,         3,       287
         1,     24268,         0,         0,    4328.9,      4037,   1606.58,      1512,    59.359,        73,    53.543,        73,    565.68,        75,       464,        56,         0,    64.725,       162,   32412.9,     14081,      6608,     24799,         3,       287
         1,   33289.1,         0,         0,   8546.42,      7388,   3981.76,      3387,    71.949,        91,    65.805,        91,   726.588,        95,       602,        72,         0,     3.282,        21,   32412.9,     14081,      6608,     24799,         3,       287
         1,   9136.37,         0,         0,   765.779,       895,   139.195,       187,    16.105,        28,    13.748,        28,   199.581,        30,       169,        19,         0,    16.168,        53,   32412.9,     14081,      6608,     24799,         3,       287
         1,     29308,         0,         0,   5675.96,      4903,   2613.05,      2141,    91.715,       124,    87.223,       124,   1024.08,       127,       860,       101,         0,   144.819,       303,   32412.9,     14081,      6608,     24799,         3,       287
         1,     32415,         0,         0,    6250.8,      5544,   2451.27,      2196,   140.331,       136,   114.453,       136,   1290.86,       139,      1087,       108,         0,    73.561,       165,   32412.9,     14081,      6608,     24799,         3,       287
         1,   52310.7,         0,         0,   11413.5,      9566,   5733.53,      4467,    85.671,       112,    81.382,       112,   965.192,       116,       802,        92,         0,     108.7,       181,   32412.9,     14081,      6608,     24799,         3,       287
         1,   7809.32,         0,         0,   469.982,       605,      75.1,       108,    10.898,        20,     8.409,        20,   133.209,        22,       113,        13,         0,    15.473,        53,   32412.9,     14081,      6608,     24799,         3,       287
         1,   27644.8,         0,         0,   5539.69,      5067,   2424.95,      2164,     35.87,        55,    31.678,        55,   416.428,        59,       351,        41,         0,    34.545,        86,   32412.9,     14081,      6608,     24799,         3,       287
         1,     42012,         0,         0,   9407.99,      7798,   4889.27,      3643,    95.828,       135,    90.404,       135,   1103.24,       137,       906,       106,         0,     49.01,        94,   32412.9,     14081,      6608,     24799,         3,       287
         1,   30443.2,         0,         0,   4713.71,      4469,   1566.56,      1397,    86.583,       118,    81.332,       118,   914.324,       119,       769,        88,         0,    23.127,        67,   32412.9,     14081,      6608,     24799,         3,       287
         1,   15320.6,         0,         0,   1895.38,      2018,   441.406,       548,    29.576,        45,    25.279,        45,   362.749,        47,       308,        35,         0,      4.89,        17,   32412.9,     14081,      6608,     24799,         3,       287
         1,   42633.7,         0,         0,     13311,     10227,   6961.88,      5364,   1027.69,      1133,   1224.33,      1133,   3530.39,       406,      2953,       334,         0,    10.711,        39,   32412.9,     14081,      6608,     24799,         3,       287
         1,   31748.4,         0,         0,   4829.81,      3901,   1566.82,       976,    99.405,       129,    91.119,       129,    1522.7,       132,      1287,       101,         0,   120.549,       318,   32412.9,     14081,      6608,     24799,         3,       287
         1,   30599.7,         0,         0,    7185.3,      5146,   2322.91,      1840,   138.175,       101,   131.115,       101,   963.656,       104,       801,        83,         0,   100.791,       130,   32412.9,     14081,      6608,     24799,         3,       287
         1,   25759.1,         0,         0,   5024.16,      3315,   2051.11,      1209,   123.768,        88,    66.306,        88,   786.732,        89,       654,        63,         0,     7.917,        22,   32412.9,     14081,      6608,     24799,         3,       287
         1,     25690,         0,         0,   6859.22,      4384,   3037.87,      1866,   102.343,       114,    83.828,       114,   1383.97,       116,      1171,        87,         0,    35.594,        67,   32412.9,     14081,      6608,     24799,         3,       287
         1,   40082.2,         0,         0,     10192,      7066,   4269.65,      2632,    211.19,       195,   288.348,       195,    2482.1,       198,      2070,       158,         0,    19.557,        57,   32412.9,     14081,      6608,     24799,         3,       287
         1,     59891,         0,         0,   15729.2,     10878,   6969.46,      4759,   187.046,       194,   161.116,       194,   1861.71,       197,      1538,       167,         0,   139.937,       190,   32412.9,     14081,      6608,     24799,         3,       287
         1,   55366.2,         0,         0,   16431.6,     11433,   8350.84,      5584,   303.127,       330,   294.149,       330,   2830.66,       334,      2310,       266,         0,    72.564,       146,   32412.9,     14081,      6608,     24799,         3,       287
         1,   31433.7,         0,         0,   7750.84,      6617,   3353.09,      2914,    69.879,        95,     63.69,        95,   815.707,        99,       694,        76,         0,    11.835,        41,   32412.9,     14081,      6608,     24799,         3,       287
         1,   41159.8,         0,         0,   8414.14,      7120,   3785.18,      3067,   262.001,       297,    252.42,       297,   2774.63,       298,      2296,       243,         0,    13.561,        31,   32412.9,     14081,      6608,     24799,         3,       287
         1,    6739.6,         0,         0,   325.043,       397,    64.844,       101,     5.841,        12,     4.309,        12,    47.825,        13,        38,         4,         0,     9.369,        29,   32412.9,     14081,      6608,     24799,         3,       287
         1,   66964.4,         0,         0,   16702.1,     13243,   8034.54,      5964,   415.366,       464,   406.281,       464,   3977.37,       466,      3290,       386,         0,    77.253,       155,   32412.9,     14081,      6608,     24799,         3,       287
         1,     17631,         0,         0,   2035.66,      2120,   648.947,       664,    34.107,        53,     30.35,        53,   394.553,        55,       333,        38,         0,     9.044,        38,   32412.9,     14081,      6608,     24799,         3,       287
         1,   14958.8,         0,         0,   1909.38,      1954,   523.169,       563,     20.56,        33,    17.118,        33,   215.399,        34,       176,        22,         0,     17.08,        69,   32412.9,     14081,      6608,     24799,         3,       287
         1,   48774.9,         0,         0,   13242.9,     10364,   6942.28,      5146,   408.706,       449,   398.238,       449,   3851.72,       451,      3190,       374,         0,     4.087,        21,   32412.9,     14081,      6608,     24799,         3,       287
         1,   5145.24,         0,         0,   233.847,       302,    36.201,        55,     5.596,        12,     3.939,        12,    68.455,        15,        57,         6,         0,    12.559,        44,   32412.9,     14081,      6608,     24799,         3,       287
         1,     50987,         0,         0,   12322.9,      9778,   6249.02,      4832,   278.411,       328,   288.707,       328,    2712.5,       330,      2258,       269,         0,     75.89,       149,   32412.9,     14081,      6608,     24799,         3,       287
         1,   19296.3,         0,         0,   2380.28,      2365,   707.474,       788,    62.865,        80,     57.37,        80,   721.174,        83,       610,        70,         0,    23.089,        48,   32412.9,     14081,      6608,     24799,         3,       287
         1,   34304.9,         0,         0,   7011.52,      5975,   3203.03,      2710,   141.655,       176,   134.698,       176,   1513.43,       179,      1266,       144,         0,     20.52,        61,   32412.9,     14081,      6608,     24799,         3,       287
         1,     34532,         0,         0,   8072.74,      6795,   4214.38,      3266,    47.642,        68,    44.209,        68,   529.082,        72,       440,        52,         0,    37.191,        71,   32412.9,     14081,      6608,     24799,         3,       287
         1,   19430.9,         0,         0,   2236.85,      2283,   638.591,       668,    17.705,        29,    14.469,        29,   204.825,        31,       173,        20,         0,     5.629,        21,   32412.9,     14081,      6608,     24799,         3,       287
         1,   45035.4,         0,         0,   10116.4,      8314,   5312.61,      4001,    73.637,        98,    70.542,        98,    786.17,       102,       658,        80,         0,    75.187,       148,   32412.9,     14081,      6608,     24799,         3,       287
         1,   48813.3,         0,         0,   10403.2,      8714,   5397.49,      4285,    80.444,       102,    74.953,       102,   895.016,       106,       755,        84,         0,    16.394,        54,   32412.9,     14081,      6608,     24799,         3,       287
         1,   10915.2,         0,         0,   821.664,       948,   208.144,       268,    10.105,        21,     8.395,        21,   102.524,        21,        83,        10,         0,    32.618,        98,   32412.9,     14081,      6608,     24799,         3,       287
         1,   14255.9,         0,         0,   1700.37,      1701,   395.342,       448,    40.235,        61,    33.813,        61,   446.409,        63,       377,        44,         0,    26.171,        95,   32412.9,     14081,      6608,     24799,         3,       287
         1,   52926.4,         0,         0,     10953,      9508,   5374.19,      4128,   262.687,       282,   248.205,       282,    2517.6,       285,      2059,       228,         0,     9.994,        31,   32412.9,     14081,      6608,     24799,         3,       287
         1,   25745.9,         0,         0,   2791.14,      2741,   864.937,       794,    30.044,        50,     27.34,        50,   344.337,        53,       286,        35,         0,   629.727,      1279,   32412.9,     14081,      6608,     24799,         3,       287
         1,   36022.2,         0,         0,   9553.49,      8089,   4613.51,      3888,   114.209,       102,    74.041,       102,   826.926,       104,       691,        78,         0,    13.645,        70,   32412.9,     14081,      6608,     24799,         3,       287
         1,   19634.8,         0,         0,    2356.6,      2405,   800.051,       798,    27.941,        45,    24.401,        45,   349.307,        48,       300,        34,         0,     5.169,        23,   32412.9,     14081,      6608,     24799,         3,       287
         1,   31461.2,         0,         0,   5367.19,      5048,   1861.74,      1773,    88.227,       119,    82.593,       119,   946.744,       122,       796,        95,         0,    16.409,        54,   32412.9,     14081,      6608,     24799,         3,       287
         1,   27639.6,         0,         0,   5291.45,      4676,   2339.12,      2103,    36.343,        54,    32.563,        54,   427.696,        58,       358,        43,         0,    10.069,        34,   32412.9,     14081,      6608,     24799,         3,       287
         1,   33215.4,         0,         0,    7872.8,      6655,   3738.89,      3182,   109.572,       149,   103.339,       149,   1234.01,       151,      1049,       120,         0,    55.585,        95,   32412.9,     14081,      6608,     24799,         3,       287
         1,   66271.4,         0,         0,     16032,     12880,   8001.03,      5892,    423.32,       461,   434.838,       461,   3934.13,       463,      3257,       389,         0,   117.848,       213,   32412.9,     14081,      6608,     24799,         3,       287
         1,     13607,         0,         0,   1189.28,      1252,   312.756,       354,     8.848,        17,     7.235,        17,   101.821,        19,        84,        10,         0,    33.451,        89,   32412.9,     14081,      6608,     24799,         3,       287
         1,   50451.3,         0,         0,   13191.7,     10524,   7281.24,      5381,   472.013,       459,    442.66,       459,   4015.68,       461,      3336,       382,         0,    18.988,        62,   32412.9,     14081,      6608,     24799,         3,       287
         1,   37984.6,         0,         0,   10724.2,      9195,   5543.34,      4483,   211.717,       233,   203.656,       233,   1960.63,       235,      1631,       184,         0,    61.322,       139,   32412.9,     14081,      6608,     24799,         3,       287
         1,   42371.5,         0,         0,   10666.2,      8900,   5490.96,      4258,   213.225,       265,   207.917,       265,   2266.98,       269,      1894,       222,         0,    60.763,       113,   32412.9,     14081,      6608,     24799,         3,       287
