         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,     16949,         1,         1,         7,         1,         0,         0,   7038.31,     14139,    74.035,       287,         0,         0,         0,         0,   9969.41,       289,      9759,       227,        48,         0,    20.604,        98,    82.095,        90,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      3089,     89343
         1,    8234.8,         1,         1,         9,         1,         0,         0,   2231.59,      5235,    33.179,       145,         0,         0,         0,         0,    4417.3,       149,      4306,       121,        16,         0,     2.495,        27,    52.962,        64,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     58669,     25901
         1,   2978.94,         1,         1,         6,         1,         0,         0,   160.636,       478,    10.809,        58,         0,         0,         0,         0,   2012.88,        60,      1974,        46,         8,         0,     8.173,        73,    15.847,        29,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     25675,     66450
         1,   9348.43,         1,         1,        19,         2,         0,         0,    2486.7,      6415,   194.248,       824,         0,         0,         0,         0,   12769.2,       447,     12436,       360,        58,         0,    10.215,        86,    64.644,        83,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     57413,      7724
         1,   9541.73,         1,         1,         8,         1,         0,         0,   1868.11,      4621,    28.192,       141,         0,         0,         0,         0,   3589.61,       143,      3485,       112,        22,         0,    28.039,       185,    48.126,        66,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      2077,     34485
         1,   5794.11,         1,         1,         4,         1,         0,         0,   722.885,      2215,    17.804,        38,         0,         0,         0,         0,   847.097,        40,       816,        22,        13,         0,     7.041,        61,    36.638,        38,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     11657,     12573
         1,   4684.07,         1,         1,         6,         1,         0,         0,   354.198,      1247,      6.53,        41,         0,         0,         0,         0,   902.503,        43,       876,        28,         8,         0,     6.468,       101,    21.758,        32,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     11620,     19682
         1,   4555.56,         1,         1,        11,         1,         0,         0,   361.259,      1190,     14.58,        73,         0,         0,         0,         0,   3791.72,        76,      3717,        57,        12,         0,    12.729,       151,    27.688,        43,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     31995,     43696
         1,    8897.5,         1,         1,         6,         1,         0,         0,   1935.97,      5222,    43.132,       186,         0,         0,         0,         0,   4515.26,       188,      4380,       150,        26,         0,    14.354,       113,    41.822,        53,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     21533,      6532
         1,   1395.86,         1,         1,         4,         1,         0,         0,    27.013,        86,      3.89,        21,         0,         0,         0,         0,   435.535,        23,       420,        16,         0,         0,     0.519,        14,     5.856,        13,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     10492,     40913
