         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   34277.9,         0,         0,   6356.35,      5505,   2155.89,      1732,   204.341,       210,   175.343,       210,   2870.94,       212,      2554,       169,         0,    14.106,        37,   30070.5,     13239,      6607,     23773,         6,       287
         1,   38283.7,         0,         0,   6774.58,      5891,   2575.22,      2144,    87.624,       105,    79.547,       105,   1304.49,       107,      1158,        83,         0,    24.689,        39,   30070.5,     13239,      6607,     23773,         6,       287
         1,   2485.46,         0,         0,   145.175,       200,     8.147,        17,     6.032,        12,     3.857,        12,   109.283,        14,        99,         6,         0,     11.19,        37,   30070.5,     13239,      6607,     23773,         6,       287
         1,   7231.04,         0,         0,   405.551,       477,    67.908,       101,     6.388,        12,     4.288,        12,    95.602,        14,        85,         6,         0,    20.495,        58,   30070.5,     13239,      6607,     23773,         6,       287
         1,   20801.8,         0,         0,   3384.35,      3185,   1251.67,      1283,    26.718,        42,    22.385,        42,   603.045,        46,       554,        33,         0,    14.243,        44,   30070.5,     13239,      6607,     23773,         6,       287
         1,   16323.9,         0,         0,   2170.62,      2208,   667.234,       691,    19.304,        30,    16.497,        30,   292.207,        32,       257,        18,         0,    36.942,        87,   30070.5,     13239,      6607,     23773,         6,       287
         1,   40778.4,         0,         0,   10500.4,      8666,    5637.2,      4291,    207.56,       217,   193.049,       217,   2908.64,       219,      2607,       173,         0,    11.929,        27,   30070.5,     13239,      6607,     23773,         6,       287
         1,     42770,         0,         0,   9949.27,      7889,   3940.83,      3155,    163.49,       194,   150.938,       194,   2748.69,       196,      2471,       159,         0,     24.83,        78,   30070.5,     13239,      6607,     23773,         6,       287
         1,     40442,         0,         0,   11509.7,      9131,   6053.06,      4813,    439.33,       497,   421.324,       497,   5223.23,       391,      4651,       307,         0,    46.203,       134,   30070.5,     13239,      6607,     23773,         6,       287
         1,     10318,         0,         0,   606.801,       742,    94.001,       141,     11.03,        16,     7.337,        16,   162.862,        18,       146,         9,         0,     8.263,        39,   30070.5,     13239,      6607,     23773,         6,       287
