         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,    261.21,         3,         3,        19,         0,         0,   1012.77,      1608,   968.327,      1552,   2229.16,      2859,   1970.29,      2859,    7986.6,       950,      6772,       840,         0,         0,   8186.63,       950,      6824,       840,        77,     6.907,        45,   17841.6,      9773,      8391,      9446,         3,        47
         1,    99.405,         1,         1,         7,         0,         0,   309.621,       558,   345.763,       508,    51.083,       115,    42.252,       115,   781.565,       117,       679,        85,         0,         0,   782.748,       117,       680,        85,        23,    14.121,        85,   17841.6,      9773,      8391,      9446,         3,        47
         1,   281.398,         2,         2,        15,         0,         0,   1053.98,      1685,   1026.92,      1628,   2190.27,      3042,   2139.35,      3042,   12266.3,      1139,      9901,       993,         0,         0,   9638.02,      1139,      7870,       993,       104,    68.987,       123,   17841.6,      9773,      8391,      9446,         3,        47
         1,   99.3615,         1,         1,         8,         0,         0,   271.248,       495,   355.477,       409,   120.097,       235,    95.575,       235,   610.113,        82,       524,        66,         0,         0,   662.895,        82,       557,        66,        11,    24.335,       112,   17841.6,      9773,      8391,      9446,         3,        47
         1,   127.086,         1,         1,         8,         0,         0,    427.78,       698,   354.212,       637,    171.79,       311,    157.58,       311,   804.841,       116,       689,        90,         0,         0,   807.048,       116,       688,        90,        22,     6.631,        12,   17841.6,      9773,      8391,      9446,         3,        47
         1,   105.445,         2,         2,         6,         0,         0,   361.262,       654,   293.634,       537,   203.249,       356,   187.605,       356,   956.594,       133,       827,       105,         0,         0,   934.789,       133,       803,       105,        20,        33,       192,   17841.6,      9773,      8391,      9446,         3,        47
         1,    252.28,         2,         2,        14,         0,         0,   1007.72,      1660,   1003.03,      1597,   1444.05,      2079,   1392.09,      2079,   6632.79,       801,      5613,       696,         0,         0,   6533.91,       801,      5510,       696,        74,    38.693,        97,   17841.6,      9773,      8391,      9446,         3,        47
         1,   272.486,         2,         2,        19,         0,         0,   1080.71,      1532,    1186.8,      1431,      1872,      2506,   1699.32,      2506,   5057.71,       560,      4173,       484,         0,         0,    4850.6,       560,      4090,       484,        54,     5.481,        14,   17841.6,      9773,      8391,      9446,         3,        47
         1,    108.74,         2,         2,         5,         0,         0,   371.871,       663,   303.172,       554,   337.618,       378,   284.128,       378,   1190.94,       142,      1005,       122,         0,         0,   1462.93,       142,      1168,       122,        12,    20.901,       109,   17841.6,      9773,      8391,      9446,         3,        47
         1,   408.939,         2,         2,        28,         0,         0,   1696.34,      1577,   2383.04,      1448,   1411.04,      1999,   1343.81,      1999,   5730.68,       628,      4557,       558,         0,         0,   5256.35,       628,      4438,       558,        47,    15.149,        51,   17841.6,      9773,      8391,      9446,         3,        47
