       idx,   dist_ki, dist_edbt,   cost_ki, cost_edbt
        99,  33.59258,  33.59258,  42.27000,15698.73900
       100,  38.62671,  38.62671,  49.62400,20430.91700
       101,  39.22301,  39.22301,  53.03000,27066.10900
       102,  39.00000,  39.00000,  46.35600,21841.80400
       103,  41.10961,  41.10961,  43.15300,23963.53900
       104,  37.65521,  37.65521,  39.50300,19481.88500
       105,  40.61325,  40.61325,  42.17000,23550.59000
       106,  37.16770,  37.16770,  38.99800,26397.55500
       107,  37.78489,  37.78489,  45.44100,25920.65400
       108,  41.77320,  41.77320,  42.93600,23380.30500
       109,  37.59543,  37.59543,  51.57300,20371.57200
       110,  43.27913,  43.27913,  74.29700,32471.78700
       111,  42.29657,  42.29657,  46.22600,20554.04900
       112,  42.61189,  42.61189,  55.61000,23337.36000
       113,  44.00000,  44.00000,  48.90400,25483.29900
       114,  45.27693,  45.27693,  72.25500,25367.74100
       115,  45.54119,  45.54119,  56.10500,22170.06100
       116,  44.71174,  44.71174,  57.62300,35226.12500
       117,  45.34314,  45.34314,  59.18900,21866.38100
       118,  46.01087,  46.01087,  62.61700,25143.17600
       119,  42.75512,  42.75512,  44.83100,21091.17700
       120,  46.86801,  46.86801,  53.27100,36364.04100
       121,  48.83646,  48.83646,  55.85600,32627.11100
       122,  49.51767,  49.51767,  70.70800,29558.63300
       123,  47.42362,  47.42362,  59.46900,27254.54400
       124,  50.93133,  50.93133,  68.52600,33460.89500
       125,  45.76743,  45.76743,  56.42300,28270.96500
       126,  48.83646,  48.83646,  48.82500,26531.57300
       127,  46.65727,  46.65727,  59.80000,26629.56600
       128,  45.24496,  45.24496,  61.96500,27707.64200
       129,  45.36491,  45.36491,  49.45700,26778.75200
       130,  50.23159,  50.23159,  57.45200,34413.18200
       131,  52.00872,  52.00872,  60.38600,34760.25900
       132,  52.34501,  52.34501,  63.44600,30129.52000
       133,  53.90733,  53.90733,  62.40600,35755.16800
       134,  49.23041,  49.23041,  51.30100,30976.24100
       135,  52.22432,  52.22432,  65.29200,30274.10200
       136,  50.35044,  50.35044,  51.48600,29688.96200
       137,  50.09083,  50.09083,  59.15300,31218.39900
       138,  49.28520,  49.28520,  59.19100,28127.28200
       139,  48.46648,  48.46648,  50.67300,31709.75500
       140,  53.63646,  53.63646,  77.77600,29135.08400
       141,  53.64537,  53.64537,  63.06100,28760.63700
       142,  55.40588,  55.40588,  58.98800,18639.94200
       143,  55.31727,  55.31727,  61.68000,31049.81500
       144,  54.67175,  54.67175,  76.06300,28306.51500
       145,  52.35456,  52.35456,  59.35800,28524.53300
       146,  52.35986,  52.35986,  57.98400,31773.46200
       147,  56.72742,  56.72742,  62.22000,31772.49900
       148,  55.35226,  55.35226,  60.79400,30683.51800
       149,  56.76209,  56.76209,  56.85400,28406.53200
       150,  59.47024,  59.47024,  60.17200,32246.34600
       151,  57.24230,  57.24230,  51.88300,32573.77700
       152,  58.89822,  58.89822,  64.37600,28016.37800
       153,  59.42452,  59.42452,  61.59000,32010.72200
       154,  59.54692,  59.54692,  61.24800,33788.56000
       155,  59.05125,  59.05125,  60.58900,27125.75400
       156,  59.54830,  59.54830,  58.60100,27810.07800
       157,  58.67177,  58.67177,  58.85800,35357.06700
       158,  59.39413,  59.39413, 103.83600,37144.79000
       159,  60.45306,  60.45306,  84.89200,31360.97700
Total: 160, Correct: 160
