K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,gen_hi,push_hi,pop_hi,density
2,15000.8,973.934,695.052,597,4,119,24,2168,11,19,89,0.0177936
2,29040,973.934,695.052,597,10,119,24,2168,11,19,89,0.0177936
2,17117.5,323.552,739.969,654,10,38,15,600,12,19,81,0.0177936
2,18555.4,323.552,739.969,654,5,38,15,600,12,19,81,0.0177936
2,40332.2,674.886,2777.87,2411,19,77,17,1745,19,81,323,0.0177936
2,45130.3,674.886,2777.87,2411,3,77,17,1745,19,81,323,0.0177936
2,21960.7,660.517,1337.25,1183,11,103,23,1808,16,34,149,0.0177936
2,26723.5,660.517,1337.25,1183,6,103,23,1808,16,34,149,0.0177936
2,19851.7,229.368,796.059,702,4,49,16,683,10,20,106,0.0177936
2,23615.1,229.368,796.059,702,6,49,16,683,10,20,106,0.0177936
2,35925.6,1316.09,2817.19,2448,6,131,26,3587,24,36,353,0.0177936
2,49698.1,1316.09,2817.19,2448,8,131,26,3587,24,36,353,0.0177936
2,25403,499.832,686.519,610,2,69,13,1513,10,18,82,0.0177936
2,36365.7,499.832,686.519,610,5,69,13,1513,10,18,82,0.0177936
2,35342.9,1239.42,3798.11,3385,8,122,20,3340,19,70,394,0.0177936
2,40139,1239.42,3798.11,3385,11,122,20,3340,19,70,394,0.0177936
2,17912.9,1338.82,1112.18,1021,4,96,15,1790,12,25,70,0.0177936
2,27950.9,1338.82,1112.18,1021,5,96,15,1790,12,25,70,0.0177936
2,30835.5,2307.1,3887.91,3413,4,147,23,4419,19,26,377,0.0177936
2,61706.1,2307.1,3887.91,3413,10,147,23,4419,19,26,377,0.0177936
2,17657.5,285.921,943.771,837,4,39,15,616,12,16,95,0.0177936
2,19747.3,285.921,943.771,837,7,39,15,616,12,16,95,0.0177936
2,9787.74,421.564,560.196,490,2,72,17,1007,12,15,67,0.0177936
2,21685.2,421.564,560.196,490,10,72,17,1007,12,15,67,0.0177936
2,13435.8,1081.33,996.78,873,6,108,14,2538,18,20,118,0.0177936
2,34793.1,1081.33,996.78,873,6,108,14,2538,18,20,118,0.0177936
2,17526.3,380.534,680.767,595,3,59,10,1110,12,22,91,0.0177936
