K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,gen_hi,push_hi,pop_hi,density
3,13099.7,3072.91,1952.67,1630,3,195,18,5049,25,53,247,0.0177936
3,21600.9,3072.91,1952.67,1630,8,195,18,5049,25,53,247,0.0177936
3,56868.5,3072.91,1952.67,1630,6,195,18,5049,25,53,247,0.0177936
3,8713.46,1652.8,2057.88,1726,4,136,23,3510,25,65,292,0.0177936
3,28758.6,1652.8,2057.88,1726,4,136,23,3510,25,65,292,0.0177936
3,43675.9,1652.8,2057.88,1726,9,136,23,3510,25,65,292,0.0177936
3,11463.3,2071.15,4373.33,3650,4,196,22,5062,37,53,614,0.0177936
3,22921.9,2071.15,4373.33,3650,6,196,22,5062,37,53,614,0.0177936
3,53471.5,2071.15,4373.33,3650,22,196,22,5062,37,53,614,0.0177936
3,23213.2,4152.9,5704.72,4861,7,218,50,5730,34,67,666,0.0177936
3,31778.6,4152.9,5704.72,4861,4,218,50,5730,34,67,666,0.0177936
3,61800.3,4152.9,5704.72,4861,14,218,50,5730,34,67,666,0.0177936
3,15280.8,2308.84,1993.68,1689,5,201,35,5186,21,78,286,0.0177936
3,37136.6,2308.84,1993.68,1689,11,201,35,5186,21,78,286,0.0177936
3,49850.4,2308.84,1993.68,1689,7,201,35,5186,21,78,286,0.0177936
3,16111.5,2092.12,1599.4,1347,7,199,39,5451,27,64,233,0.0177936
3,24997.2,2092.12,1599.4,1347,5,199,39,5451,27,64,233,0.0177936
3,59212.3,2092.12,1599.4,1347,6,199,39,5451,27,64,233,0.0177936
3,25473.7,1636.42,3149.8,2746,4,169,30,4371,31,56,415,0.0177936
3,40660.2,1636.42,3149.8,2746,12,169,30,4371,31,56,415,0.0177936
3,41245.5,1636.42,3149.8,2746,7,169,30,4371,31,56,415,0.0177936
3,14677.1,1808.19,1454.17,1226,4,196,21,4942,23,60,216,0.0177936
3,26292,1808.19,1454.17,1226,8,196,21,4942,23,60,216,0.0177936
3,58831.8,1808.19,1454.17,1226,4,196,21,4942,23,60,216,0.0177936
3,22685.4,1556.71,4393.65,3845,13,164,39,4080,34,116,567,0.0177936
3,43403,1556.71,4393.65,3845,12,164,39,4080,34,116,567,0.0177936
3,44448.9,1556.71,4393.65,3845,8,164,39,4080,34,116,567,0.0177936
3,46488.6,1806.84,4947.39,4286,7,192,45,4858,36,188,656,0.0177936
3,55952.9,1806.84,4947.39,4286,12,192,45,4858,36,188,656,0.0177936
3,65474.3,1806.84,4947.39,4286,5,192,45,4858,36,188,656,0.0177936
3,18315.4,1409.95,4100.46,3522,13,153,26,3760,35,123,603,0.0177936
3,32923.1,1409.95,4100.46,3522,9,153,26,3760,35,123,603,0.0177936
3,48206,1409.95,4100.46,3522,14,153,26,3760,35,123,603,0.0177936
3,23746.1,1312.16,5037.04,4338,14,148,29,3544,37,156,739,0.0177936
3,38232.7,1312.16,5037.04,4338,10,148,29,3544,37,156,739,0.0177936
3,49586.5,1312.16,5037.04,4338,12,148,29,3544,37,156,739,0.0177936
3,18140.1,1628.74,2771.44,2410,7,171,33,4470,31,116,401,0.0177936
