K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,gen_hi,push_hi,pop_hi,density
1,64155.7,251579,141438,118335,70,4177,15,237575,545,3,16310,0.000597229
1,38000.2,146630,35722.7,30433,48,3375,7,160259,164,5,4045,0.000597229
1,12192,6300.63,1673.38,1463,19,342,7,11583,13,4,148,0.000597229
1,16553.9,8008.24,5095.08,4452,17,538,194,13435,26,3,589,0.000597229
1,21266.4,27181.3,1751.53,1528,4,1108,52,39968,13,4,169,0.000597229
1,22344.9,34175.9,8788.42,7596,30,1087,10,45536,61,4,915,0.000597229
1,6491.94,1199.82,816.015,717,11,96,5,2432,11,3,79,0.000597229
1,11163,4810.04,1711.46,1489,8,360,61,8861,12,3,168,0.000597229
1,50303,176402,76426.8,65586,64,3578,16,184290,308,4,8191,0.000597229
1,12102,6721.96,3023.51,2745,9,311,11,10216,19,5,192,0.000597229
1,42338.4,190344,5790.91,4952,7,3909,15,195901,41,3,562,0.000597229
1,39016.3,74133.7,52893.7,45551,51,2087,22,96673,228,5,5350,0.000597229
1,14175.3,5881.76,3321.03,2945,11,337,15,10041,25,4,359,0.000597229
1,14853.8,10248.9,622.827,549,4,506,7,17800,5,3,59,0.000597229
1,5676.38,864.325,703.164,623,5,88,5,1737,9,4,71,0.000597229
1,38878.3,83024.6,43880.5,37773,33,2138,4,98179,186,3,4731,0.000597229
1,30848.1,24178.5,35732.1,30968,54,816,23,38146,127,3,3803,0.000597229
1,18895.1,12762.1,9155.07,7841,31,504,15,19679,41,5,892,0.000597229
1,10049.1,3831.51,556.769,487,3,253,10,7186,9,5,61,0.000597229
1,29276.3,67587.3,5283.12,4561,6,2062,15,87343,35,4,564,0.000597229
1,9646.67,3485.32,832.178,729,7,213,3,6466,11,3,79,0.000597229
1,17949.1,18296.8,7796.06,6724,29,738,9,26731,49,4,765,0.000597229
1,34481.8,113000,27809.9,23663,36,2464,14,112932,111,3,2868,0.000597229
1,13523,7999.6,5441.84,4774,21,418,14,14328,37,3,550,0.000597229
1,40475,113006,45929.5,39509,53,2740,16,127269,202,4,4905,0.000597229
1,31317.8,62220,9771.49,8504,12,1765,4,77605,70,3,1020,0.000597229
1,21107.9,24869.7,12489.9,10994,20,810,20,32989,41,4,1127,0.000597229
1,18268.6,6866.78,1908.47,1654,6,362,113,11075,18,3,196,0.000597229
1,6919.35,1425.73,2399.15,2207,9,112,9,2769,12,4,110,0.000597229
1,21669.8,12430,8892.4,7721,26,729,233,19171,48,3,1018,0.000597229
1,11415.2,4806.56,3470.01,3075,21,303,8,8793,27,4,358,0.000597229
1,17276.3,14544.1,6812.5,5858,22,666,7,24719,42,4,730,0.000597229
1,17552.8,11208.8,8125.88,7194,28,496,15,19186,37,4,682,0.000597229
1,33622.1,57135.7,33361.2,28986,32,1704,4,75268,152,3,3249,0.000597229
1,2912.03,155.28,277.236,245,5,22,4,239,8,4,20,0.000597229
1,19601.2,11675.4,1815.71,1628,5,462,9,17533,11,4,139,0.000597229
1,53904.1,224417,99045.8,84572,40,4154,8,224882,370,3,10367,0.000597229
1,5761.15,765.022,440.668,386,9,84,3,1664,8,3,49,0.000597229
1,13937,8979.33,294.593,247,3,429,5,14799,6,4,35,0.000597229
1,67423,244407,9768.97,8593,5,3879,5,225839,66,4,821,0.000597229
1,64375.1,166524,125108,106080,40,3259,4,185640,438,3,13718,0.000597229
1,20929.5,24760.1,3975.05,3545,10,1067,14,39243,21,3,350,0.000597229
1,38088.7,94635.4,12619.9,11035,13,2384,4,114057,82,3,1394,0.000597229
1,20670.6,22522.1,13340.3,11480,25,997,21,36985,78,5,1499,0.000597229
1,19762.2,13688.1,5095.84,4576,23,831,279,21981,26,4,394,0.000597229
1,27255.9,59539.3,7658.55,6819,10,1573,4,66819,43,4,622,0.000597229
1,10998.5,5437.67,3201.06,2786,18,263,11,9074,19,3,336,0.000597229
1,10765.7,4924.71,3735.42,3353,10,284,16,8616,18,3,279,0.000597229
