K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,gen_hi,push_hi,pop_hi,density
1,30616.1,660.597,961.84,849,14,64,9,1618,8,4,100,0.0177936
1,27782.6,698.123,696.007,611,6,71,9,1812,9,4,67,0.0177936
1,29187.3,473.532,887.223,789,10,50,9,1250,12,3,81,0.0177936
1,30491.6,732.923,482.482,435,5,60,7,1611,10,4,34,0.0177936
1,12390,98.14,254.314,227,8,22,6,235,7,4,19,0.0177936
1,18068.9,286.418,185.351,162,3,25,6,457,4,2,15,0.0177936
1,6815.96,20.68,131.912,120,4,10,6,47,5,3,8,0.0177936
1,41761.9,946.778,716.833,645,7,58,3,1810,6,3,64,0.0177936
1,3888.07,7.775,35.995,33,2,9,5,15,7,5,4,0.0177936
1,27725.1,786.665,742.966,661,7,90,13,1949,12,4,65,0.0177936
1,34969.3,1106.16,1255.47,1112,6,92,12,2774,12,5,121,0.0177936
1,35650.3,427.714,1492.15,1305,12,48,12,1111,11,4,139,0.0177936
1,10047.2,51.409,98.461,87,4,14,5,117,5,3,9,0.0177936
1,21820.9,198.274,861.684,773,8,30,4,536,9,3,82,0.0177936
1,34017.2,410.41,107.755,96,2,47,8,969,6,4,12,0.0177936
1,14704.9,172.31,287.263,255,6,33,11,441,8,4,25,0.0177936
1,17356.3,175.395,973.561,860,12,28,7,488,10,5,87,0.0177936
1,16524.4,190.492,245.802,218,5,39,6,441,10,4,22,0.0177936
1,12281.2,90.008,169.504,148,4,24,8,217,6,3,15,0.0177936
1,18334.7,200.714,316.075,284,4,30,9,487,8,4,28,0.0177936
1,27026.3,379.444,765.629,686,8,44,8,1011,9,3,73,0.0177936
1,14368.6,109.53,267.839,241,4,25,4,301,5,3,25,0.0177936
1,22909.9,195.754,1052.3,941,8,34,4,565,11,3,100,0.0177936
1,31280.8,839.159,644.9,582,8,66,5,2100,11,4,50,0.0177936
1,15102.8,120.914,739.818,657,6,23,4,351,8,3,73,0.0177936
1,11067.1,70.64,198.037,176,5,18,5,176,6,3,15,0.0177936
1,21072.6,417.914,208.907,187,3,54,7,1054,5,3,17,0.0177936
1,3329.28,5.944,55.179,50,2,8,3,10,5,3,5,0.0177936
1,41813.1,582.318,229.447,201,4,43,5,1498,5,3,24,0.0177936
1,17446.5,166.348,110.876,89,3,17,4,428,5,3,10,0.0177936
1,32824.3,420.51,1045.86,927,10,46,8,1091,13,3,103,0.0177936
1,6607.63,22.582,135.663,122,4,8,4,62,5,2,9,0.0177936
1,31499.7,319.079,92.201,81,2,43,8,917,6,4,11,0.0177936
1,22990.2,515.831,413.306,360,7,65,12,1166,11,3,32,0.0177936
1,8469.41,45.86,105.344,87,4,15,5,102,6,4,6,0.0177936
1,13455.4,103.917,248.991,222,4,23,4,260,5,3,23,0.0177936
1,28563.8,937.491,509.512,458,6,82,11,2163,7,3,45,0.0177936
1,13670.5,125.655,294.652,263,8,26,7,290,7,4,21,0.0177936
1,36448.3,498.047,1504.81,1339,12,55,9,1270,16,4,144,0.0177936
1,22298.1,460.535,737.055,658,9,62,13,1179,10,4,69,0.0177936
1,10766.8,86.03,139.939,126,3,14,7,150,6,3,12,0.0177936
1,44328.1,1197.45,2322.66,2054,20,89,10,2849,12,4,243,0.0177936
1,17223.9,173.679,697.797,620,5,33,13,434,8,4,69,0.0177936
1,22089.5,476.269,716.274,640,6,60,9,1151,7,3,62,0.0177936
1,9668.11,43.327,271.94,246,6,15,5,114,9,5,21,0.0177936
1,13978.1,127.617,175.286,149,4,21,3,295,5,3,14,0.0177936
1,24600.7,370.05,590.924,522,7,53,5,1006,10,4,61,0.0177936
1,17587.4,172.826,737.056,662,5,33,13,430,9,4,69,0.0177936
1,11124.1,84.479,70.827,60,4,18,8,248,6,4,7,0.0177936
1,36210.5,496.35,1468.6,1308,13,49,10,1215,13,4,138,0.0177936
1,37653.1,1156.39,1718.4,1510,15,84,7,2534,10,3,177,0.0177936
1,21383.5,214.034,843.669,749,8,32,4,528,10,3,83,0.0177936
1,21296.8,246.534,656.096,580,7,42,11,685,8,2,71,0.0177936
1,16004.7,199.845,131.023,116,3,30,6,587,6,3,11,0.0177936
1,12529.6,128.354,151.688,135,3,27,11,254,6,4,16,0.0177936
1,13572.8,110.916,195.19,171,5,28,5,294,8,3,16,0.0177936
1,32447.2,323.795,99.961,89,3,42,8,828,6,4,9,0.0177936
1,12690,96.763,150.636,133,4,17,5,246,6,4,16,0.0177936
1,23335.2,506.01,1190.56,1071,8,70,18,1269,12,3,96,0.0177936
1,17125.4,258.054,535.404,485,7,32,6,511,5,3,33,0.0177936
1,34378.9,860.724,689.441,622,9,68,6,1615,9,3,48,0.0177936
1,15928.2,131.744,223.865,200,3,19,4,310,4,2,17,0.0177936
1,25076.1,522.476,731.064,657,7,56,5,1047,9,4,60,0.0177936
1,10654.4,72.638,210.077,189,4,17,6,164,10,5,14,0.0177936
1,24038.2,298.423,1203.71,1075,6,33,7,656,10,4,101,0.0177936
1,17176,269.538,672.022,602,10,33,14,530,10,5,52,0.0177936
1,10682.4,68.233,313.216,285,8,16,6,157,7,4,23,0.0177936
1,17319,266.745,204.955,185,5,22,4,583,6,3,14,0.0177936
1,41074.7,1285.66,2416.3,2142,11,95,12,2917,18,4,230,0.0177936
1,5104.65,13.676,41.825,35,2,12,7,22,6,4,4,0.0177936
1,28286.5,753.567,770.843,686,6,76,10,1893,10,5,71,0.0177936
