K,order,dist,cost_ki,cost_edbt,vnum,density
2,1,5856.51,25.872,31785.7,4,0.355872
2,2,6784.54,25.872,31785.7,4,0.355872
2,1,7642.13,35.703,175010,2,0.355872
2,2,8253.45,35.703,175010,3,0.355872
2,1,1187.39,36.097,97997.8,3,0.355872
2,2,6664.66,36.097,97997.8,3,0.355872
2,1,2585.87,9.166,34703.1,2,0.355872
2,2,4777.95,9.166,34703.1,3,0.355872
2,1,14348.9,166.863,343452,4,0.355872
2,2,15106,166.863,343452,9,0.355872
2,1,7915.16,76.075,292221,4,0.355872
2,2,9281.12,76.075,292221,5,0.355872
2,1,5079.03,103.325,1.37271e+06,3,0.355872
2,2,10600.1,103.325,1.37271e+06,8,0.355872
2,1,2051.56,31.072,41115,2,0.355872
2,2,4560.48,31.072,41115,2,0.355872
2,1,7932.28,50.993,647379,4,0.355872
2,2,8456.9,50.993,647379,3,0.355872
2,1,7077.11,36.143,588890,4,0.355872
2,2,7331.81,36.143,588890,3,0.355872
2,1,3624.82,83.895,975894,3,0.355872
2,2,11909.5,83.895,975894,6,0.355872
2,1,4474.01,26.403,879020,3,0.355872
2,2,6161.01,26.403,879020,2,0.355872
2,1,1404.89,12.268,27430.2,2,0.355872
2,2,5322.3,12.268,27430.2,4,0.355872
2,1,2953.85,16.266,31746.7,2,0.355872
2,2,4526.14,16.266,31746.7,3,0.355872
2,1,2614.85,11.971,48629.3,2,0.355872
2,2,5085.32,11.971,48629.3,3,0.355872
2,1,1817.8,7.707,112449,2,0.355872
2,2,2251.66,7.707,112449,2,0.355872
2,1,1872.41,40.851,119132,2,0.355872
2,2,8626.2,40.851,119132,5,0.355872
2,1,3636.52,36.674,123862,6,0.355872
2,2,6357.63,36.674,123862,4,0.355872
2,1,139.607,22.316,152409,2,0.355872
2,2,4672,22.316,152409,3,0.355872
2,1,2607.7,22.928,21337,2,0.355872
2,2,4298.26,22.928,21337,3,0.355872
2,1,5760.39,32.004,195053,5,0.355872
2,2,7564.19,32.004,195053,2,0.355872
2,1,5460.83,79.604,167525,3,0.355872
2,2,12111.6,79.604,167525,10,0.355872
2,1,5418.97,29.636,61947.6,4,0.355872
2,2,7581.63,29.636,61947.6,3,0.355872
2,1,4611.26,16.741,61416.9,2,0.355872
2,2,7035.51,16.741,61416.9,2,0.355872
2,1,2355.64,14.668,216639,2,0.355872
2,2,3838.95,14.668,216639,2,0.355872
2,1,4267.47,49.493,716089,3,0.355872
2,2,8651.64,49.493,716089,6,0.355872
2,1,6525.34,39.264,276274,2,0.355872
2,2,6846.07,39.264,276274,2,0.355872
2,1,1234.73,11.683,27086.3,2,0.355872
2,2,3595.75,11.683,27086.3,2,0.355872
2,1,3705.16,16.55,57902.6,4,0.355872
2,2,4209.97,16.55,57902.6,3,0.355872
