K,order,dist,cost_ki,cost_edbt,vnum,density
1,1,6950.99,33.635,47266.6,5,0.355872
1,1,8241.57,23.54,31209.5,5,0.355872
1,1,1342.97,2.786,4234.75,2,0.355872
1,1,5960.29,16.388,21513.5,3,0.355872
1,1,12712.9,108.197,455903,5,0.355872
1,1,6525.39,28.535,1.21285e+06,3,0.355872
1,1,1205.77,2.493,93905.6,2,0.355872
1,1,6483.79,37.426,63655.8,4,0.355872
1,1,5914.39,33.74,584186,3,0.355872
1,1,17913.9,172.262,518176,7,0.355872
1,1,4512.02,32.546,47033.3,2,0.355872
1,1,97.8673,0.959,164.156,2,0.355872
1,1,7597.48,55.464,121821,3,0.355872
1,1,1652.98,10.637,142640,2,0.355872
1,1,6798.11,42.78,119808,3,0.355872
1,1,5844.28,34.286,44378.1,3,0.355872
1,1,3217.86,14.308,26666.7,3,0.355872
1,1,5351.75,22.151,47703.5,4,0.355872
1,1,6670.62,59.534,128086,6,0.355872
1,1,5875.14,14.841,92085.3,2,0.355872
1,1,5717.2,39.247,50946.5,2,0.355872
1,1,1120.17,5.677,301.971,2,0.355872
1,1,3929.5,24.066,103227,3,0.355872
1,1,10982.3,58.962,59566,6,0.355872
1,1,986.526,3.823,7825.96,2,0.355872
1,1,6958.9,48.56,163038,6,0.355872
1,1,2638.99,14.56,275020,2,0.355872
1,1,7413.11,45.454,456914,4,0.355872
1,1,4550.79,24.508,188700,3,0.355872
1,1,5935.89,23.891,76775.1,4,0.355872
1,1,3292.56,11.177,11144.2,2,0.355872
1,1,2697.62,17.473,193028,3,0.355872
1,1,8773.58,42.054,69034.6,4,0.355872
1,1,14260,106.514,207637,3,0.355872
1,1,4033.87,15.046,57368.2,2,0.355872
1,1,3128.47,13.118,188892,3,0.355872
1,1,1022.69,3.913,105622,2,0.355872
1,1,2820.56,16.308,64105.4,2,0.355872
1,1,6453.06,28.594,31980.6,3,0.355872
1,1,4019.78,12.179,88640.9,3,0.355872
1,1,9960.43,79.071,242834,3,0.355872
1,1,3149.18,9.853,166416,2,0.355872
1,1,293.157,0.55,327973,2,0.355872
1,1,10300.1,68.7,180800,6,0.355872
1,1,2127.35,5.531,40561.2,2,0.355872
1,1,2381.93,1.658,528.681,2,0.355872
1,1,1786.41,9.606,54492.5,2,0.355872
1,1,5666.52,57.447,114770,4,0.355872
1,1,4561.78,12.264,31263.1,4,0.355872
1,1,1322.31,1.693,5352.92,2,0.355872
1,1,1885.93,0.256,353.666,2,0.355872
1,1,2467.03,6.353,68015,2,0.355872
1,1,8447.67,36.227,49976.5,5,0.355872
1,1,2317.8,3.624,6291.73,2,0.355872
1,1,5715.94,25.713,282840,3,0.355872
1,1,7049.59,18.246,21926.5,3,0.355872
1,1,5677.98,20.601,149234,3,0.355872
1,1,6061.25,26.477,120461,2,0.355872
1,1,6289.05,52.763,112874,3,0.355872
1,1,267.307,3.33,221.275,2,0.355872
1,1,971.465,1.746,13803.2,2,0.355872
1,1,7511.24,21,21582.4,3,0.355872
1,1,1398.68,7.054,28234,2,0.355872
1,1,7753.96,26.167,115533,4,0.355872
1,1,7624.99,61.428,226724,6,0.355872
1,1,2281.22,7.709,3706.37,2,0.355872
1,1,6088.4,20.047,83616.4,5,0.355872
1,1,5153.78,14.847,29988.3,2,0.355872
1,1,1265.01,3.831,26998.1,2,0.355872
