K,order,dist,cost_ki,cost_edbt,vnum,density
10,1,1176.52,169.175,424743,2,1.07527
10,2,1858.44,169.175,424743,3,1.07527
10,3,1903.95,169.175,424743,3,1.07527
10,4,2203.02,169.175,424743,2,1.07527
10,5,2543.9,169.175,424743,4,1.07527
10,6,2870.79,169.175,424743,7,1.07527
10,7,2944.61,169.175,424743,6,1.07527
10,8,3022.85,169.175,424743,5,1.07527
10,9,3435.81,169.175,424743,3,1.07527
10,10,3647.58,169.175,424743,8,1.07527
10,1,1685.18,91.389,876635,5,1.07527
10,2,1819.71,91.389,876635,2,1.07527
10,3,1849.61,91.389,876635,4,1.07527
10,4,2279.08,91.389,876635,3,1.07527
10,5,2382.85,91.389,876635,3,1.07527
10,6,2517.54,91.389,876635,5,1.07527
10,7,2570.51,91.389,876635,3,1.07527
10,8,2987.71,91.389,876635,7,1.07527
10,9,3216.95,91.389,876635,4,1.07527
10,10,3254.61,91.389,876635,6,1.07527
10,1,700.803,42.285,175815,2,1.07527
10,2,1545.79,42.285,175815,3,1.07527
10,3,1550.04,42.285,175815,2,1.07527
10,4,1916.13,42.285,175815,6,1.07527
10,5,2074.05,42.285,175815,3,1.07527
10,6,2320.03,42.285,175815,3,1.07527
10,7,2384.01,42.285,175815,3,1.07527
10,8,2445.89,42.285,175815,3,1.07527
10,9,2508.9,42.285,175815,3,1.07527
10,10,2538.59,42.285,175815,4,1.07527
10,1,1219.1,63.268,563970,2,1.07527
10,2,1836.21,63.268,563970,3,1.07527
10,3,2401.62,63.268,563970,5,1.07527
10,4,2453.91,63.268,563970,3,1.07527
10,5,2480.43,63.268,563970,5,1.07527
10,6,2546.66,63.268,563970,5,1.07527
10,7,2697.89,63.268,563970,4,1.07527
10,8,2794.82,63.268,563970,4,1.07527
10,9,2851.9,63.268,563970,3,1.07527
10,10,2979.07,63.268,563970,7,1.07527
10,1,1663.07,69.123,361932,3,1.07527
10,2,1803,69.123,361932,2,1.07527
10,3,2128.05,69.123,361932,2,1.07527
10,4,2254.01,69.123,361932,3,1.07527
10,5,2287.14,69.123,361932,3,1.07527
10,6,2510.55,69.123,361932,3,1.07527
10,7,2788.83,69.123,361932,2,1.07527
10,8,2824.48,69.123,361932,3,1.07527
10,9,2931.47,69.123,361932,4,1.07527
10,10,2978.29,69.123,361932,3,1.07527
10,1,216.023,29.151,86929.3,2,1.07527
10,2,1071.99,29.151,86929.3,2,1.07527
10,3,1095.68,29.151,86929.3,2,1.07527
10,4,1396.13,29.151,86929.3,2,1.07527
10,5,2209.15,29.151,86929.3,2,1.07527
10,6,2388.81,29.151,86929.3,2,1.07527
10,7,2812.32,29.151,86929.3,2,1.07527
10,8,2983.9,29.151,86929.3,2,1.07527
10,9,3130.31,29.151,86929.3,2,1.07527
10,10,3224.16,29.151,86929.3,4,1.07527
10,1,399.731,67.179,531943,2,1.07527
10,2,406.252,67.179,531943,2,1.07527
10,3,1577.7,67.179,531943,2,1.07527
10,4,1864.13,67.179,531943,4,1.07527
10,5,1980.09,67.179,531943,3,1.07527
10,6,2127.59,67.179,531943,3,1.07527
10,7,2371.44,67.179,531943,3,1.07527
10,8,2650.98,67.179,531943,2,1.07527
10,9,2654.76,67.179,531943,5,1.07527
10,10,2721.2,67.179,531943,3,1.07527
10,1,1085.2,96.111,481778,2,1.07527
10,2,1634.06,96.111,481778,4,1.07527
10,3,1976.63,96.111,481778,4,1.07527
10,4,2647.61,96.111,481778,4,1.07527
10,5,2660.9,96.111,481778,3,1.07527
10,6,3028.02,96.111,481778,3,1.07527
10,7,3264.28,96.111,481778,5,1.07527
10,8,3356.94,96.111,481778,3,1.07527
10,9,3365.28,96.111,481778,4,1.07527
10,10,3577.81,96.111,481778,4,1.07527
10,1,712.778,42.415,297750,2,1.07527
10,2,1150.45,42.415,297750,4,1.07527
10,3,1239.32,42.415,297750,4,1.07527
10,4,1580.86,42.415,297750,2,1.07527
10,5,1823.8,42.415,297750,3,1.07527
10,6,1972.87,42.415,297750,3,1.07527
10,7,2304.43,42.415,297750,6,1.07527
10,8,2424.89,42.415,297750,3,1.07527
10,9,2463.3,42.415,297750,2,1.07527
10,10,2514.95,42.415,297750,3,1.07527
10,1,786.184,105.75,760244,2,1.07527
10,2,1440.65,105.75,760244,2,1.07527
10,3,1674.9,105.75,760244,3,1.07527
10,4,1967.9,105.75,760244,4,1.07527
10,5,2100.92,105.75,760244,3,1.07527
10,6,2165.95,105.75,760244,4,1.07527
10,7,2257.07,105.75,760244,3,1.07527
10,8,3424.39,105.75,760244,4,1.07527
10,9,3617.96,105.75,760244,3,1.07527
10,10,3653.99,105.75,760244,5,1.07527
10,1,1132.16,78.004,330833,3,1.07527
10,2,1217.64,78.004,330833,2,1.07527
10,3,1361.43,78.004,330833,3,1.07527
10,4,1831.34,78.004,330833,3,1.07527
10,5,1925.54,78.004,330833,4,1.07527
10,6,2073.3,78.004,330833,3,1.07527
10,7,2073.65,78.004,330833,3,1.07527
10,8,2170.52,78.004,330833,3,1.07527
10,9,2192.44,78.004,330833,4,1.07527
10,10,2498.32,78.004,330833,3,1.07527
10,1,402.057,90.479,600937,2,1.07527
10,2,658.26,90.479,600937,2,1.07527
10,3,672.269,90.479,600937,2,1.07527
10,4,1507.01,90.479,600937,3,1.07527
10,5,2591.2,90.479,600937,3,1.07527
10,6,2691.6,90.479,600937,2,1.07527
10,7,2821.42,90.479,600937,4,1.07527
10,8,3239.81,90.479,600937,2,1.07527
10,9,3350.28,90.479,600937,4,1.07527
10,10,3406.64,90.479,600937,4,1.07527
10,1,829.146,84.554,450644,3,1.07527
10,2,929.999,84.554,450644,2,1.07527
10,3,1221.25,84.554,450644,2,1.07527
10,4,1647.59,84.554,450644,3,1.07527
10,5,1778.79,84.554,450644,2,1.07527
10,6,1910.09,84.554,450644,3,1.07527
10,7,2138.32,84.554,450644,7,1.07527
10,8,2179.32,84.554,450644,3,1.07527
10,9,2678.66,84.554,450644,3,1.07527
10,10,2985.47,84.554,450644,8,1.07527
10,1,811.995,64.877,369607,2,1.07527
10,2,977.873,64.877,369607,3,1.07527
10,3,1848.85,64.877,369607,2,1.07527
10,4,2097.05,64.877,369607,4,1.07527
10,5,2510.55,64.877,369607,3,1.07527
10,6,2680.75,64.877,369607,3,1.07527
10,7,2724.56,64.877,369607,3,1.07527
10,8,2793.48,64.877,369607,6,1.07527
10,9,2892.41,64.877,369607,3,1.07527
10,10,2947.91,64.877,369607,5,1.07527
10,1,1345.4,116.832,1.07677e+06,4,1.07527
10,2,2173.94,116.832,1.07677e+06,4,1.07527
10,3,2301.45,116.832,1.07677e+06,5,1.07527
10,4,2435,116.832,1.07677e+06,4,1.07527
10,5,2484.26,116.832,1.07677e+06,4,1.07527
10,6,2724.21,116.832,1.07677e+06,4,1.07527
10,7,3112.22,116.832,1.07677e+06,6,1.07527
10,8,3271.92,116.832,1.07677e+06,4,1.07527
10,9,4032.68,116.832,1.07677e+06,8,1.07527
10,10,4100.04,116.832,1.07677e+06,6,1.07527
10,1,367.441,100.13,1.05629e+06,2,1.07527
10,2,714.06,100.13,1.05629e+06,2,1.07527
10,3,856.638,100.13,1.05629e+06,3,1.07527
10,4,1415.55,100.13,1.05629e+06,5,1.07527
10,5,2750.85,100.13,1.05629e+06,4,1.07527
10,6,2803.27,100.13,1.05629e+06,5,1.07527
10,7,2863.22,100.13,1.05629e+06,6,1.07527
10,8,2924.08,100.13,1.05629e+06,3,1.07527
10,9,3109.57,100.13,1.05629e+06,3,1.07527
10,10,3156.3,100.13,1.05629e+06,3,1.07527
10,1,1509.59,69.11,370374,3,1.07527
10,2,2134.73,69.11,370374,2,1.07527
10,3,2156.62,69.11,370374,6,1.07527
10,4,2317.1,69.11,370374,2,1.07527
10,5,2387.92,69.11,370374,3,1.07527
10,6,2590.36,69.11,370374,4,1.07527
10,7,2600.57,69.11,370374,6,1.07527
10,8,2671.28,69.11,370374,2,1.07527
10,9,2834.54,69.11,370374,4,1.07527
10,10,2976.03,69.11,370374,3,1.07527
10,1,945.859,51.915,224176,2,1.07527
10,2,1004.74,51.915,224176,3,1.07527
10,3,1032.5,51.915,224176,4,1.07527
10,4,1722.14,51.915,224176,3,1.07527
10,5,1780.52,51.915,224176,3,1.07527
10,6,2321.47,51.915,224176,3,1.07527
10,7,2328.85,51.915,224176,5,1.07527
10,8,2526.44,51.915,224176,3,1.07527
10,9,2550.7,51.915,224176,4,1.07527
10,10,2561.77,51.915,224176,6,1.07527
10,1,519.963,35.239,300034,2,1.07527
10,2,771.391,35.239,300034,2,1.07527
10,3,912.304,35.239,300034,2,1.07527
10,4,912.703,35.239,300034,2,1.07527
10,5,1781.17,35.239,300034,2,1.07527
10,6,1890.22,35.239,300034,2,1.07527
10,7,1919.74,35.239,300034,2,1.07527
10,8,2048.65,35.239,300034,3,1.07527
10,9,2071.05,35.239,300034,2,1.07527
10,10,2130.75,35.239,300034,3,1.07527
10,1,344.201,118.086,741378,2,1.07527
10,2,637.227,118.086,741378,2,1.07527
10,3,1690.12,118.086,741378,3,1.07527
10,4,1709.32,118.086,741378,3,1.07527
10,5,1942.05,118.086,741378,3,1.07527
10,6,1946.2,118.086,741378,3,1.07527
10,7,2045.81,118.086,741378,3,1.07527
10,8,2328.34,118.086,741378,3,1.07527
10,9,2464.24,118.086,741378,2,1.07527
