K,order,dist,cost_ki,cost_edbt,vnum,density
6,1,358.699,56.706,327469,2,1.07559
6,2,739.067,56.706,327469,3,1.07559
6,3,1079.14,56.706,327469,2,1.07559
6,4,1399.13,56.706,327469,2,1.07559
6,5,1524.5,56.706,327469,5,1.07559
6,6,1710.96,56.706,327469,3,1.07559
6,1,104.235,68.339,331789,2,1.07559
6,2,1294.19,68.339,331789,3,1.07559
6,3,1377.19,68.339,331789,4,1.07559
6,4,1917.39,68.339,331789,3,1.07559
6,5,1924.89,68.339,331789,4,1.07559
6,6,2302.54,68.339,331789,3,1.07559
6,1,866.833,75.702,417401,2,1.07559
6,2,901.599,75.702,417401,2,1.07559
6,3,1399.87,75.702,417401,3,1.07559
6,4,1583.21,75.702,417401,3,1.07559
6,5,1876.67,75.702,417401,4,1.07559
6,6,1904.94,75.702,417401,3,1.07559
6,1,348.518,101.207,268229,2,1.07559
6,2,719.845,101.207,268229,3,1.07559
6,3,1001.59,101.207,268229,3,1.07559
6,4,1119.94,101.207,268229,3,1.07559
6,5,1696.19,101.207,268229,3,1.07559
6,6,1947.48,101.207,268229,5,1.07559
6,1,360.494,38.625,205263,2,1.07559
6,2,617.848,38.625,205263,2,1.07559
6,3,760.69,38.625,205263,3,1.07559
6,4,1278.95,38.625,205263,4,1.07559
6,5,1392.73,38.625,205263,3,1.07559
6,6,1530.53,38.625,205263,3,1.07559
6,1,643.43,63.764,418995,2,1.07559
6,2,667.489,63.764,418995,3,1.07559
6,3,1490.42,63.764,418995,5,1.07559
6,4,1588.9,63.764,418995,5,1.07559
6,5,1600.11,63.764,418995,4,1.07559
6,6,1897.19,63.764,418995,5,1.07559
6,1,633.66,74.735,377979,2,1.07559
6,2,726.006,74.735,377979,5,1.07559
6,3,820.128,74.735,377979,2,1.07559
6,4,1065.16,74.735,377979,5,1.07559
6,5,1166.6,74.735,377979,3,1.07559
6,6,1631.79,74.735,377979,6,1.07559
6,1,466.127,43.463,460887,2,1.07559
6,2,1162.36,43.463,460887,4,1.07559
6,3,1294.33,43.463,460887,4,1.07559
6,4,1399.15,43.463,460887,2,1.07559
6,5,1611.22,43.463,460887,4,1.07559
6,6,1716.64,43.463,460887,2,1.07559
6,1,960.569,51.211,285689,3,1.07559
6,2,1273.72,51.211,285689,3,1.07559
6,3,1471.72,51.211,285689,3,1.07559
6,4,1698.1,51.211,285689,4,1.07559
6,5,2058.83,51.211,285689,3,1.07559
6,6,2180.02,51.211,285689,3,1.07559
6,1,385.972,39.032,180509,3,1.07559
6,2,900.05,39.032,180509,2,1.07559
6,3,1128.17,39.032,180509,2,1.07559
6,4,1144.85,39.032,180509,2,1.07559
6,5,1504.22,39.032,180509,3,1.07559
6,6,1578.72,39.032,180509,4,1.07559
6,1,395.596,82.215,342203,2,1.07559
6,2,504.438,82.215,342203,3,1.07559
6,3,1388.35,82.215,342203,3,1.07559
6,4,1766.48,82.215,342203,3,1.07559
6,5,2143.47,82.215,342203,5,1.07559
6,6,2302.94,82.215,342203,4,1.07559
6,1,265.635,56.276,540266,2,1.07559
6,2,776.583,56.276,540266,4,1.07559
6,3,1206.08,56.276,540266,4,1.07559
6,4,1457.64,56.276,540266,5,1.07559
6,5,1663.88,56.276,540266,5,1.07559
6,6,1834.49,56.276,540266,4,1.07559
6,1,125.607,22.8,113639,2,1.07559
6,2,460.109,22.8,113639,2,1.07559
6,3,1125.05,22.8,113639,4,1.07559
6,4,1196.9,22.8,113639,3,1.07559
6,5,1240.05,22.8,113639,5,1.07559
6,6,1306.94,22.8,113639,3,1.07559
6,1,641.749,86.979,546856,2,1.07559
6,2,933.45,86.979,546856,2,1.07559
6,3,2041.54,86.979,546856,3,1.07559
6,4,2202.14,86.979,546856,5,1.07559
6,5,2379.33,86.979,546856,4,1.07559
6,6,2394.16,86.979,546856,4,1.07559
6,1,318.944,50.71,606614,2,1.07559
6,2,860.338,50.71,606614,3,1.07559
6,3,1095.92,50.71,606614,3,1.07559
6,4,1266.84,50.71,606614,3,1.07559
6,5,1702.02,50.71,606614,3,1.07559
6,6,2008.31,50.71,606614,4,1.07559
6,1,622.254,36.373,132257,2,1.07559
6,2,688.941,36.373,132257,2,1.07559
6,3,1054.8,36.373,132257,2,1.07559
6,4,1252.6,36.373,132257,2,1.07559
6,5,1451.13,36.373,132257,4,1.07559
6,6,1767.43,36.373,132257,4,1.07559
6,1,540.052,53.642,151848,2,1.07559
6,2,800.201,53.642,151848,2,1.07559
6,3,1124.28,53.642,151848,2,1.07559
6,4,1246.71,53.642,151848,4,1.07559
6,5,1420.92,53.642,151848,2,1.07559
6,6,1713.16,53.642,151848,3,1.07559
6,1,43.6005,52.843,239517,2,1.07559
6,2,1193.84,52.843,239517,2,1.07559
6,3,1304.37,52.843,239517,2,1.07559
6,4,1676.4,52.843,239517,2,1.07559
6,5,1793.29,52.843,239517,2,1.07559
6,6,1961.89,52.843,239517,3,1.07559
6,1,731.225,47.037,163236,2,1.07559
6,2,1013.58,47.037,163236,2,1.07559
6,3,1083.56,47.037,163236,3,1.07559
6,4,1207.29,47.037,163236,5,1.07559
6,5,1305.59,47.037,163236,2,1.07559
6,6,1522.21,47.037,163236,4,1.07559
6,1,797.025,84.278,582567,3,1.07559
6,2,1056.07,84.278,582567,4,1.07559
6,3,1499.52,84.278,582567,3,1.07559
6,4,1623.44,84.278,582567,6,1.07559
6,5,1973.41,84.278,582567,5,1.07559
6,6,2140.97,84.278,582567,3,1.07559
6,1,814.241,33.207,123721,2,1.07559
6,2,835.275,33.207,123721,2,1.07559
6,3,850.943,33.207,123721,2,1.07559
6,4,1125.91,33.207,123721,2,1.07559
6,5,1153.53,33.207,123721,2,1.07559
6,6,1185.04,33.207,123721,3,1.07559
6,1,405.941,96.432,371220,2,1.07559
6,2,784.267,96.432,371220,2,1.07559
6,3,1425.29,96.432,371220,2,1.07559
6,4,1508.19,96.432,371220,4,1.07559
6,5,2208.96,96.432,371220,4,1.07559
6,6,2314.15,96.432,371220,4,1.07559
6,1,765.101,47.048,351356,2,1.07559
6,2,1135.06,47.048,351356,3,1.07559
6,3,1343.66,47.048,351356,2,1.07559
6,4,1472.47,47.048,351356,5,1.07559
6,5,1529.54,47.048,351356,2,1.07559
6,6,1585.31,47.048,351356,3,1.07559
6,1,298.198,13.057,89071.5,2,1.07559
6,2,533.24,13.057,89071.5,2,1.07559
6,3,626.167,13.057,89071.5,2,1.07559
6,4,685.164,13.057,89071.5,2,1.07559
6,5,976.406,13.057,89071.5,2,1.07559
