         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         9,   1699.93,        10,        10,        23,    419701,      1695,   1338.48,      3914,    49.001,       149,   571.573,       106,    11.203,       106,   40075.6,        58,     40032,        44,         8,        18,         0,         0,         0,         0,         0,    61.606,        84,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1767.53,         7,         9,        33,    206881,      2114,   1288.69,      4154,    58.137,       212,   567.682,       175,    20.548,       175,   68786.3,       101,     68703,        80,        17,        29,         0,         0,         0,         0,         0,    92.124,       135,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1808.66,         8,        11,        32,    515831,      2647,   1224.91,      4008,    61.202,       199,   626.708,       215,    26.936,       215,   38157.2,        89,     38084,        77,         7,        27,         0,         0,         0,         0,         0,   255.715,       131,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2275.23,         8,         9,        29,    480226,      2526,   2010.02,      6144,   108.699,       324,   573.501,       154,    16.679,       154,     28879,        73,     28796,        67,        10,        28,         0,         0,         0,         0,         0,   119.289,       165,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2253.32,         8,        10,        33,1.31051e+06,      6102,   2050.24,      6208,   125.746,       369,   587.312,       277,     38.29,       277,     57484,       109,     57368,       106,        22,        50,         0,         0,         0,         0,         0,    147.47,       177,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    1672.6,         6,         9,        29,    784948,      2737,   1148.25,      3746,    72.929,       193,   633.608,       196,    27.244,       196,   63047.7,        74,     62980,        64,         7,        27,         0,         0,         0,         0,         0,    87.157,       132,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2101.28,         9,         9,        27,    777235,      5169,   1210.25,      4056,    84.777,       288,   602.554,       260,    35.681,       260,   82120.4,        92,     82037,        73,        17,        27,         0,         0,         0,         0,         0,    83.645,       139,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1878.83,         9,         9,        29,    239018,      2587,   1635.36,      4689,    83.282,       267,   584.342,       128,    15.446,       128,   24959.6,        89,     24888,        73,        15,        30,         0,         0,         0,         0,         0,   115.366,       173,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2229.53,         8,         9,        46,    503258,      5530,   1905.36,      6674,    96.882,       313,    650.09,       332,    39.155,       332,   13595.9,       145,     13489,       120,        18,        33,         0,         0,         0,         0,         0,   133.801,       181,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1192.28,         9,        10,        24,    119370,       651,   873.541,      2414,     33.17,        90,   554.148,       103,     8.854,       103,   16254.6,        45,     16223,        29,         3,        13,         0,         0,         0,         0,         0,    35.025,        56,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2164.49,         9,         9,        24,    396723,      2047,   1442.29,      4159,     80.93,       225,   607.262,        96,     9.275,        96,   22938.7,        74,     22883,        57,        14,        21,         0,         0,         0,         0,         0,    86.292,       120,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2159.72,        12,        12,        33,1.30487e+06,      4804,    1678.8,      5488,   110.392,       334,   603.254,       286,    37.161,       286,     79692,       128,     79580,       104,        14,        25,         0,         0,         0,         0,         0,   153.764,       177,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1427.09,         9,        11,        26,    483968,      2320,   799.178,      2476,    62.854,       151,   577.117,       141,    14.415,       141,   45241.4,        72,     45183,        55,        11,        21,         0,         0,         0,         0,         0,    51.742,        86,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1556.62,        12,        12,        25,    573878,      3040,   1878.37,      3305,    65.003,       215,   579.613,       181,    18.519,       181,   34112.2,        44,     34072,        37,         3,        19,         0,         0,         0,         0,         0,    62.071,        99,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    1591.5,         6,         9,        29,    299800,      2010,   1610.29,      3528,    43.604,       150,   581.554,       162,    19.519,       162,   35026.2,        68,     34973,        49,         6,        14,         0,         0,         0,         0,         0,    58.826,        87,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1994.83,         9,         9,        32,    423971,      2362,   1197.02,      4004,    50.707,       192,   603.714,       137,    15.204,       137,   29382.9,        79,     29317,        70,        14,        28,         0,         0,         0,         0,         0,    82.804,       119,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1746.92,         9,         9,        28,    531189,      1583,   1123.11,      3854,    61.751,       177,   666.401,       115,    13.296,       115,   56908.9,        75,     56839,        69,         9,        32,         0,         0,         0,         0,         0,    84.832,       124,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2329.73,         8,         9,        36,    523187,      4137,   2076.97,      6938,    92.003,       309,   622.598,       228,    32.741,       228,   34149.7,       111,     34051,       100,        17,        37,         0,         0,         0,         0,         0,   117.027,       165,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   3130.31,        11,        11,        50,1.13843e+06,     10340,   2822.32,      9390,   217.289,       560,   725.241,       411,    83.653,       411,   57886.6,       164,     57713,       187,        21,        77,         0,         0,         0,         0,         0,   380.663,       309,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1852.41,        10,        10,        32,    527039,      4551,   1347.89,      3855,    71.759,       184,   607.534,       211,    25.091,       211,   29277.9,        83,     29213,        58,        10,        16,         0,         0,         0,         0,         0,    66.315,        98,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2433.43,         5,         9,        49,2.42442e+06,     15147,      1782,      6293,   170.758,       497,   700.231,       752,   126.103,       752,    111677,       190,    111500,       183,        29,        54,         0,         0,         0,         0,         0,   302.465,       286,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    2034.9,         9,         9,        32,    285773,      2671,   1409.65,      5126,   100.469,       271,   572.476,       165,    17.549,       165,   42652.2,        85,     42585,        71,        17,        31,         0,         0,         0,         0,         0,   101.713,       152,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1963.47,        11,        11,        30,    791369,      3740,   1480.23,      4858,    86.535,       259,   576.482,       200,     23.82,       200,   85299.9,        88,     85210,        75,        10,        24,         0,         0,         0,         0,         0,   128.778,       139,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1670.44,         1,        10,        40,    480721,      2808,   999.784,      3029,    70.897,       198,   610.814,       268,    41.553,       268,   56556.8,       112,     56465,        88,         8,        14,         0,         0,         0,         0,         0,   106.736,       138,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2200.51,         9,         9,        26,    332130,      1619,   2011.95,      6028,    60.912,       183,   562.209,        99,     7.957,        99,   8910.13,        64,      8861,        57,         3,        22,         0,         0,         0,         0,         0,    63.331,        89,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2059.85,         8,         9,        35,    656742,      5756,   1323.59,      3630,    93.047,       259,   589.986,       228,    27.696,       228,   62001.1,       102,     61884,        93,        17,        37,         0,         0,         0,         0,         0,   123.475,       171,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2407.11,        11,        11,        44,    743422,      7106,   1853.94,      6137,    96.534,       344,   626.816,       412,    56.038,       412,    107878,       137,    107759,       117,        12,        31,         0,         0,         0,         0,         0,   139.793,       170,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2492.11,        12,        12,        35,    890973,      5471,   1884.16,      7211,    101.78,       351,   663.423,       341,    52.682,       341,   59449.1,       110,     59339,       113,        12,        46,         0,         0,         0,         0,         0,   150.351,       198,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1893.17,         6,        10,        42,    261632,      2754,   1245.38,      4292,    66.859,       196,   634.085,       197,    22.542,       197,   27728.1,        82,     27665,        68,         6,        19,         0,         0,         0,         0,         0,   106.832,       125,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
