k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
3,866.156,382.729,17.248,9526.44,63925,1186,52,25,267,9000,8385
3,1104.29,247.508,41.439,10320.7,131684,687,79,12,362,9000,8385
3,1106.11,671.059,37.586,11481.9,185804,1809,92,33,1144,9000,8385
3,627.058,265.051,14.462,7588.37,203462,858,37,15,905,9000,8385
3,1282.4,566.393,23.369,8564.74,127948,1618,66,29,406,9000,8385
3,655.758,259.758,14.231,11236.8,94696.3,819,44,25,252,9000,8385
3,857.617,420.15,19.426,9210.54,41435.4,1251,61,17,197,9000,8385
3,1545.61,1035.03,33.792,27730.3,113099,3531,115,38,361,9000,8385
3,1233.87,864.821,27.589,21627.1,177564,1880,70,20,632,9000,8385
3,1011.01,396.081,21.197,8458.41,50059.2,976,49,12,151,9000,8385
3,885.213,535.127,15.288,5170.27,31571.6,1315,43,22,135,9000,8385
3,1400.45,767.863,32.407,15676.9,202949,2566,111,34,1033,9000,8385
3,874.636,421.718,18.679,10492.4,163449,1266,57,26,1280,9000,8385
3,1592.36,1313.11,60.099,57620,841948,3510,135,53,4328,9000,8385
3,738.268,28.508,15.159,5073.41,40525.2,94,40,19,148,9000,8385
3,1154.33,891.007,32.142,6337.87,163305,2063,82,22,512,9000,8385
3,877.234,243.977,12.507,1692.73,98344.4,733,34,11,360,9000,8385
3,705.423,406.864,11.375,16716.8,50119.1,1326,33,20,166,9000,8385
3,726.295,155.665,16.712,3995.4,89109.1,460,42,18,193,9000,8385
3,1666.04,1083.11,52.643,6624.33,168649,3350,141,36,1666,9000,8385
3,864.029,614.253,26.128,11582.2,234087,1850,45,20,779,9000,8385
3,1218.53,628.24,25.384,25278.2,127679,2016,84,29,486,9000,8385
3,1017.61,548.827,32.612,28238.8,214349,1610,77,44,623,9000,8385
3,1091.4,546.057,19.465,4144.97,51295.4,1657,59,18,188,9000,8385
3,1929.02,926.73,86.131,43805.9,217243,3019,161,34,843,9000,8385
3,1175.15,619.953,13.11,14611.5,58726.1,1877,44,22,163,9000,8385
3,634.968,268.603,14.493,3613.67,98004.2,770,39,16,226,9000,8385
3,1311.26,941.336,56.452,33566.7,350964,2192,150,23,1724,9000,8385
3,927.195,357.632,17.537,14294.4,60636.1,1071,48,24,207,9000,8385
3,1222.57,753.629,51.046,6608.93,589917,2415,124,42,1804,9000,8385
3,1378.48,729.662,28.378,9713.52,284330,1956,80,30,982,9000,8385
3,2100.99,1127.48,59.541,8903.86,273363,3732,192,41,1904,9000,8385
3,1153.68,452.678,32.852,15246.5,219048,1424,89,27,380,9000,8385
3,1194.19,637.129,33.153,12436.6,133016,2109,87,31,732,9000,8385
3,901.248,422.404,20.216,10653.3,135830,1283,54,29,380,9000,8385
3,821.68,375.355,11.821,2469.76,30351.4,1176,38,20,222,9000,8385
3,1040.69,728.216,33.165,8364.84,47704.5,2266,132,51,189,9000,8385
3,1047.26,588.062,22.939,7909.35,142927,1882,57,36,561,9000,8385
3,1258.8,541.462,27.377,12009,84223.7,1590,77,25,687,9000,8385
3,704.029,283.174,23.656,12138.7,121490,790,92,13,121,9000,8385
3,1443.45,718.615,30.941,15577.4,159347,2397,100,31,1003,9000,8385
3,361.668,98.819,9.456,5212.72,18170.1,374,23,12,70,9000,8385
3,1156.8,550.189,23.458,15964,170681,1834,73,33,532,9000,8385
3,1446.59,1082.5,45.376,19408.7,168440,3040,119,40,1120,9000,8385
3,1231.98,993.718,47.934,4477.26,248760,2879,118,25,541,9000,8385
3,952.163,458.815,25.037,13003.3,99416.1,1283,51,25,443,9000,8385
3,630.382,29.881,9.844,11114,115052,92,30,18,196,9000,8385
3,961.159,139.525,11.981,16632.6,38366,310,32,18,149,9000,8385
3,1279.4,924.008,29.079,15080.9,140422,2508,94,32,599,9000,8385
3,814.828,448.142,15.135,14159.3,57716.4,1141,45,21,239,9000,8385
3,883.667,344.852,25.772,14884.5,146500,987,62,30,480,9000,8385
3,1275.07,972.676,50.318,16850.7,71524.7,3041,127,28,529,9000,8385
3,992.361,468.803,23.263,17895.6,114240,1486,69,38,443,9000,8385
3,1212.56,459.676,28.913,11320.1,87012.1,1449,97,27,470,9000,8385
3,971.647,617.49,29.247,2117.75,84968,1810,93,29,482,9000,8385
3,907.484,324.789,9.509,13838.6,105065,973,32,18,148,9000,8385
3,876.548,469.305,33.511,10143.3,79269.9,1168,74,35,505,9000,8385
3,1074.27,416.673,20.784,27428.5,92532.2,1250,70,31,442,9000,8385
3,1507.21,1048.79,38.744,20610.8,268586,3445,111,37,923,9000,8385
3,947.334,413.666,27.778,20831.8,148205,1367,79,32,491,9000,8385
3,1183.36,702.439,70.853,7007.4,256915,1963,141,24,982,9000,8385
3,1315.36,378.77,34.654,9772.25,57069,1225,80,21,395,9000,8385
3,1024.12,711.508,24.362,12549.2,142561,2068,56,21,752,9000,8385
3,1093.52,388.477,20.786,6585.75,87965.4,1034,50,18,252,9000,8385
3,1122.35,761.789,32.319,23783.7,327948,2428,89,29,862,9000,8385
3,1262.12,809.083,34.286,15407.5,243480,2400,97,32,719,9000,8385
3,702.335,423.133,13.573,4104.96,43100.2,1088,37,15,192,9000,8385
3,1201.25,315.568,20.895,7013.83,40940.5,1083,62,32,305,9000,8385
3,1138.09,574.728,31.653,15922.3,68165.2,1742,80,39,574,9000,8385
3,1420.45,808.44,53.325,35946.5,402891,2743,148,36,1374,9000,8385
3,1249.43,909.24,28.386,27215.9,152309,2545,87,46,1013,9000,8385
3,850.481,345.183,20.573,12149.1,92288.3,993,49,26,622,9000,8385
3,836.253,443.559,16.516,9713.45,22310,1475,62,34,166,9000,8385
3,582.509,265.014,12.433,5685.44,17605.5,871,35,27,93,9000,8385
3,881.887,521.821,15.815,23723,115924,1237,42,24,464,9000,8385
3,491.407,142.249,9.291,7607.77,60540.3,428,28,17,149,9000,8385
3,1048.2,559.525,24.766,11095.7,78993.2,1868,68,26,447,9000,8385
3,439.328,35.08,5.975,2905.54,29056,118,25,12,49,9000,8385
3,1654.66,918.52,47.987,27637.9,106284,3339,140,31,661,9000,8385
3,1344.98,873.795,29.293,27736.6,357507,2881,95,30,1475,9000,8385
3,828.088,367.135,17.843,18929,49299.3,1177,57,31,336,9000,8385
3,1250.02,744.996,46.691,12061.9,418143,2392,101,37,1390,9000,8385
3,1173.51,704.905,32.349,23447.4,215650,2130,102,28,615,9000,8385
3,1474.92,1064.08,44.55,31279.5,322198,2870,135,47,1324,9000,8385
3,825.902,92.039,14.283,8543.36,87696.7,292,43,25,255,9000,8385
3,1156.94,660.29,29.178,3855.15,150305,1737,71,15,433,9000,8385
3,1115.99,29.469,17.697,9270.29,118575,104,47,23,176,9000,8385
3,1138.61,629.571,19.265,7558.09,91294.8,2158,57,24,265,9000,8385
3,1660.18,1186.92,53.554,11171.7,191972,3174,141,54,1659,9000,8385
