k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
15,2658.35,3392.25,170.029,79710.9,1.46186e+06,7243,424,161,10460,9000,8385
15,2260.1,1392,87.481,64400.5,981600,4519,278,114,5260,9000,8385
15,2496.56,2053.48,142.26,159727,1.36904e+06,7075,413,156,7882,9000,8385
15,2788.07,2675.02,209.438,121137,2.14487e+06,8801,543,202,13093,9000,8385
15,1766.28,1276.19,118.179,51701.3,514636,3099,256,126,4323,9000,8385
15,2668.13,2416.49,178.215,212757,2.35953e+06,7965,514,192,14073,9000,8385
15,2793.99,2693.02,185.079,24657.7,837120,7827,490,173,9862,9000,8385
15,3045.71,2795.18,273.341,192330,2.15276e+06,8613,591,214,12701,9000,8385
15,2198.95,1794.02,83.125,41060.3,598163,6065,248,124,5065,9000,8385
15,2118.27,2219.61,111.72,103458,713235,5695,367,157,6197,9000,8385
15,2433.72,1830.9,137.715,126211,1.43499e+06,6613,401,171,8954,9000,8385
15,2668.4,2296.7,141.986,111119,1.91552e+06,8216,456,142,6453,9000,8385
15,2274.58,1616.85,104.236,93216.6,1.00098e+06,5530,353,154,4697,9000,8385
15,2092.66,1669.69,73.605,85847.9,377190,4886,267,115,4251,9000,8385
15,2849.1,2794.61,164.3,72856.6,2.14642e+06,8968,516,202,14194,9000,8385
15,2520.97,2445.23,186.856,244855,1.49879e+06,7300,479,215,10254,9000,8385
15,2411.51,2407.06,122.642,34748.4,949586,6835,385,118,6808,9000,8385
15,2255.37,2244.94,115.968,45266.1,520296,6387,349,109,4948,9000,8385
15,2240.97,1458.9,95.349,59020.7,833785,4816,338,141,4714,9000,8385
15,1703.91,879.983,46.031,8858.54,257410,2880,155,65,1770,9000,8385
15,2609.24,2481.12,165.51,137708,1.59016e+06,7502,521,158,10349,9000,8385
15,3262.91,3021,207.067,118978,2.15334e+06,9984,667,190,15676,9000,8385
15,3483.76,3929.16,292.671,271349,4.17872e+06,11312,775,201,14450,9000,8385
15,1963.38,1870,81.474,46947.4,549054,5248,225,110,3744,9000,8385
15,2419.82,3201.05,99.178,37043.5,831894,8166,331,141,5881,9000,8385
15,2213.73,1476.53,86.439,57865.4,320473,4575,293,137,3566,9000,8385
15,2515.03,2403.33,176.453,159846,1.59903e+06,7579,475,216,10637,9000,8385
15,2039.65,1609.77,108.526,77689.1,847435,4852,298,131,4700,9000,8385
15,2899.64,2039.48,228.131,77799.3,1.79046e+06,7219,547,166,11807,9000,8385
