K,order,dist,cost_ki,cost_edbt,vnum,density
10,1,1756.38,97.423,781371,4,1.07773
10,2,1861.74,97.423,781371,5,1.07773
10,3,2073.96,97.423,781371,5,1.07773
10,4,2160.43,97.423,781371,3,1.07773
10,5,2591.24,97.423,781371,3,1.07773
10,6,2864.87,97.423,781371,3,1.07773
10,7,3139.32,97.423,781371,3,1.07773
10,8,3541.93,97.423,781371,5,1.07773
10,9,3644.76,97.423,781371,4,1.07773
10,10,3840.54,97.423,781371,10,1.07773
10,1,1926.13,56.826,324808,3,1.07773
10,2,2220.41,56.826,324808,2,1.07773
10,3,2403.86,56.826,324808,3,1.07773
10,4,2451.25,56.826,324808,3,1.07773
10,5,2455.35,56.826,324808,3,1.07773
10,6,2596.84,56.826,324808,4,1.07773
10,7,2636.49,56.826,324808,3,1.07773
10,8,2725.3,56.826,324808,3,1.07773
10,9,2845.15,56.826,324808,4,1.07773
10,10,2890.91,56.826,324808,3,1.07773
10,1,1932.74,96.803,610985,3,1.07773
10,2,2415.19,96.803,610985,2,1.07773
10,3,2429.37,96.803,610985,3,1.07773
10,4,2695.93,96.803,610985,3,1.07773
10,5,2726.76,96.803,610985,4,1.07773
10,6,2733.89,96.803,610985,5,1.07773
10,7,2764.74,96.803,610985,5,1.07773
10,8,2785.78,96.803,610985,4,1.07773
10,9,3149.77,96.803,610985,3,1.07773
10,10,3317.07,96.803,610985,2,1.07773
10,1,908.583,57.756,468491,4,1.07773
10,2,1186.49,57.756,468491,2,1.07773
10,3,1435.28,57.756,468491,2,1.07773
10,4,2290.99,57.756,468491,3,1.07773
10,5,2334.13,57.756,468491,4,1.07773
10,6,2506.71,57.756,468491,3,1.07773
10,7,2519.01,57.756,468491,3,1.07773
10,8,2560.73,57.756,468491,4,1.07773
10,9,2833.35,57.756,468491,4,1.07773
10,10,2997.15,57.756,468491,3,1.07773
10,1,847.254,123.272,709841,2,1.07773
10,2,2440.7,123.272,709841,4,1.07773
10,3,2817.56,123.272,709841,5,1.07773
10,4,3018.25,123.272,709841,5,1.07773
10,5,3108.1,123.272,709841,5,1.07773
10,6,3331.79,123.272,709841,5,1.07773
10,7,3393.86,123.272,709841,9,1.07773
10,8,3492.22,123.272,709841,4,1.07773
10,9,3561.85,123.272,709841,3,1.07773
10,10,3590.17,123.272,709841,4,1.07773
10,1,1351.71,124.037,706703,6,1.07773
10,2,2322.16,124.037,706703,7,1.07773
10,3,2689.04,124.037,706703,4,1.07773
10,4,2744.89,124.037,706703,4,1.07773
10,5,3183.92,124.037,706703,6,1.07773
10,6,3315.9,124.037,706703,4,1.07773
10,7,3372.48,124.037,706703,7,1.07773
10,8,3650.51,124.037,706703,6,1.07773
10,9,3676.05,124.037,706703,7,1.07773
10,10,4039.89,124.037,706703,4,1.07773
10,1,1704.43,168.954,1.95636e+06,2,1.07773
10,2,2159.11,168.954,1.95636e+06,5,1.07773
10,3,2185.67,168.954,1.95636e+06,5,1.07773
10,4,2333.28,168.954,1.95636e+06,2,1.07773
10,5,2895.23,168.954,1.95636e+06,2,1.07773
10,6,2897.65,168.954,1.95636e+06,3,1.07773
10,7,3143.76,168.954,1.95636e+06,2,1.07773
10,8,3217.5,168.954,1.95636e+06,3,1.07773
10,9,3913.25,168.954,1.95636e+06,6,1.07773
10,10,3953.12,168.954,1.95636e+06,5,1.07773
10,1,1252.28,82.412,739184,2,1.07773
10,2,1305.75,82.412,739184,3,1.07773
10,3,1391.64,82.412,739184,4,1.07773
10,4,2145.4,82.412,739184,4,1.07773
10,5,2279.78,82.412,739184,4,1.07773
10,6,2334.44,82.412,739184,5,1.07773
10,7,2563.93,82.412,739184,7,1.07773
10,8,3470.99,82.412,739184,4,1.07773
10,9,3786.6,82.412,739184,6,1.07773
10,10,3828.45,82.412,739184,6,1.07773
10,1,226.035,36.509,239914,2,1.07773
10,2,605.021,36.509,239914,2,1.07773
10,3,1150.57,36.509,239914,2,1.07773
10,4,1844.23,36.509,239914,5,1.07773
10,5,1855.54,36.509,239914,4,1.07773
10,6,2065.99,36.509,239914,2,1.07773
10,7,2351.94,36.509,239914,2,1.07773
10,8,2358.34,36.509,239914,3,1.07773
10,9,2576.42,36.509,239914,3,1.07773
10,10,2579.69,36.509,239914,2,1.07773
10,1,855.668,84.567,613703,2,1.07773
10,2,1454.71,84.567,613703,3,1.07773
10,3,1845.29,84.567,613703,4,1.07773
10,4,1937.43,84.567,613703,4,1.07773
10,5,2453.68,84.567,613703,3,1.07773
10,6,2798.88,84.567,613703,5,1.07773
10,7,2875.16,84.567,613703,3,1.07773
10,8,3012.74,84.567,613703,4,1.07773
10,9,3522.59,84.567,613703,4,1.07773
10,10,3560.2,84.567,613703,5,1.07773
10,1,520.999,39.643,224146,2,1.07773
10,2,721.492,39.643,224146,3,1.07773
10,3,859.773,39.643,224146,2,1.07773
10,4,1398.21,39.643,224146,2,1.07773
10,5,2190.89,39.643,224146,2,1.07773
10,6,2350.7,39.643,224146,2,1.07773
10,7,2704.43,39.643,224146,3,1.07773
10,8,2706.91,39.643,224146,5,1.07773
10,9,2781.31,39.643,224146,3,1.07773
10,10,2792.72,39.643,224146,3,1.07773
10,1,727.948,62.599,423441,2,1.07773
10,2,896.77,62.599,423441,2,1.07773
10,3,1001.73,62.599,423441,2,1.07773
10,4,1099.59,62.599,423441,2,1.07773
10,5,1129.96,62.599,423441,2,1.07773
10,6,1974.86,62.599,423441,4,1.07773
10,7,2281.65,62.599,423441,4,1.07773
10,8,2408.01,62.599,423441,4,1.07773
10,9,2841.72,62.599,423441,3,1.07773
10,10,2848.44,62.599,423441,3,1.07773
10,1,581.288,74.845,573200,2,1.07773
10,2,849.556,74.845,573200,2,1.07773
10,3,2010.2,74.845,573200,2,1.07773
10,4,2328.97,74.845,573200,2,1.07773
10,5,2466.19,74.845,573200,3,1.07773
10,6,2781.44,74.845,573200,4,1.07773
10,7,3000.87,74.845,573200,4,1.07773
10,8,3027.62,74.845,573200,4,1.07773
10,9,3072.74,74.845,573200,4,1.07773
10,10,3152.4,74.845,573200,3,1.07773
10,1,184.043,122.441,619665,2,1.07773
10,2,324.376,122.441,619665,2,1.07773
10,3,957.985,122.441,619665,4,1.07773
10,4,1575.86,122.441,619665,4,1.07773
10,5,1646.77,122.441,619665,3,1.07773
10,6,2214.26,122.441,619665,5,1.07773
10,7,2583.01,122.441,619665,6,1.07773
10,8,2629.71,122.441,619665,7,1.07773
10,9,2992.3,122.441,619665,3,1.07773
10,10,3447.3,122.441,619665,5,1.07773
10,1,96.0469,102.364,755352,2,1.07773
10,2,476.932,102.364,755352,2,1.07773
10,3,1073.21,102.364,755352,2,1.07773
10,4,1181.57,102.364,755352,2,1.07773
10,5,1453.11,102.364,755352,2,1.07773
10,6,1668.19,102.364,755352,2,1.07773
10,7,1808.9,102.364,755352,3,1.07773
10,8,2959.47,102.364,755352,3,1.07773
10,9,3689.35,102.364,755352,2,1.07773
10,10,3858.65,102.364,755352,5,1.07773
10,1,2542.82,176.731,1.11852e+06,3,1.07773
10,2,3022.49,176.731,1.11852e+06,6,1.07773
10,3,3082.52,176.731,1.11852e+06,5,1.07773
10,4,3910.14,176.731,1.11852e+06,5,1.07773
10,5,3967.86,176.731,1.11852e+06,9,1.07773
10,6,4213.36,176.731,1.11852e+06,4,1.07773
10,7,4351.37,176.731,1.11852e+06,4,1.07773
10,8,5339.07,176.731,1.11852e+06,12,1.07773
10,9,5410.15,176.731,1.11852e+06,5,1.07773
10,10,5757.84,176.731,1.11852e+06,4,1.07773
10,1,959.418,104.133,1.83222e+06,2,1.07773
10,2,2137.89,104.133,1.83222e+06,3,1.07773
10,3,2189.42,104.133,1.83222e+06,2,1.07773
10,4,2230.34,104.133,1.83222e+06,5,1.07773
10,5,2264.22,104.133,1.83222e+06,4,1.07773
10,6,2489.46,104.133,1.83222e+06,2,1.07773
10,7,2527.95,104.133,1.83222e+06,2,1.07773
10,8,2599.95,104.133,1.83222e+06,3,1.07773
10,9,2780.84,104.133,1.83222e+06,2,1.07773
10,10,3465.83,104.133,1.83222e+06,4,1.07773
10,1,535.142,38.481,177152,3,1.07773
10,2,1114.24,38.481,177152,2,1.07773
10,3,1417.8,38.481,177152,3,1.07773
10,4,1663.87,38.481,177152,3,1.07773
10,5,1792.5,38.481,177152,3,1.07773
10,6,1799.68,38.481,177152,2,1.07773
10,7,2118.19,38.481,177152,6,1.07773
10,8,2336.28,38.481,177152,6,1.07773
10,9,2410.74,38.481,177152,3,1.07773
10,10,2641.56,38.481,177152,5,1.07773
10,1,592.976,45.61,166781,2,1.07773
10,2,712.069,45.61,166781,2,1.07773
10,3,1397.21,45.61,166781,3,1.07773
10,4,1510.48,45.61,166781,4,1.07773
10,5,1765.1,45.61,166781,3,1.07773
10,6,1955.41,45.61,166781,3,1.07773
10,7,2146.34,45.61,166781,3,1.07773
10,8,2282.33,45.61,166781,2,1.07773
10,9,2472,45.61,166781,6,1.07773
10,10,2720.42,45.61,166781,3,1.07773
10,1,463.095,57.117,295443,3,1.07773
10,2,1269.53,57.117,295443,2,1.07773
10,3,1627.09,57.117,295443,3,1.07773
10,4,1825.45,57.117,295443,2,1.07773
10,5,1962.59,57.117,295443,2,1.07773
10,6,1991.79,57.117,295443,2,1.07773
10,7,2711.52,57.117,295443,2,1.07773
10,8,2760.99,57.117,295443,4,1.07773
10,9,2835.99,57.117,295443,4,1.07773
10,10,2986.05,57.117,295443,3,1.07773
10,1,378.725,20.204,85537.3,2,1.07773
10,2,1553.56,20.204,85537.3,2,1.07773
10,3,1717.95,20.204,85537.3,3,1.07773
10,4,1850.96,20.204,85537.3,3,1.07773
10,5,1853.54,20.204,85537.3,3,1.07773
10,6,1959.53,20.204,85537.3,2,1.07773
10,7,1989.46,20.204,85537.3,3,1.07773
10,8,2030.95,20.204,85537.3,3,1.07773
