         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         5,   1010.39,         5,         5,        10,    147415,       283,   773.262,      1597,    19.211,        55,    943.78,        34,     1.352,        34,   34006.6,        23,     33983,        13,         1,         6,         0,         0,         0,         0,         0,     15.49,        27,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1439.23,         5,         6,        16,    292221,      1065,   926.125,      2311,    37.399,        92,   583.982,        95,      9.09,        95,   17742.1,        45,     17682,        33,         3,        10,         0,         0,         0,         0,         0,    59.032,        54,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1218.19,         1,         5,        18,    315456,      1792,   669.822,      1842,    56.395,       146,   665.371,       103,    12.596,       103,   31791.9,        56,     31729,        36,         6,         9,         0,         0,         0,         0,         0,     49.17,        62,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1699.62,         5,         5,        14,    214827,      1165,   1289.85,      2949,    54.161,       142,   823.289,        72,     8.166,        72,   15290.1,        33,     15256,        23,         6,        11,         0,         0,         0,         0,         0,    42.468,        56,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1617.11,         5,         5,        19,    203095,      1149,   1171.85,      3522,    34.168,       109,   584.722,        69,     7.285,        69,   27033.7,        41,     26968,        30,         3,         7,         0,         0,         0,         0,         0,    47.154,        45,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1512.72,         7,         7,        11,    109536,       927,   1041.25,      2959,    58.239,       154,   788.919,        83,    11.333,        83,   19127.3,        32,     19095,        19,         6,         6,         0,         0,         0,         0,         0,    55.643,        55,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1356.05,         3,         5,        16,    347976,       958,   3352.44,      2384,    40.785,       112,   589.326,        75,     9.411,        75,   37057.4,        47,     36983,        39,         7,        14,         0,         0,         0,         0,         0,    55.861,        70,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1697.04,         2,         5,        19,    332988,      1022,   803.361,      2538,    60.853,       140,   636.847,        83,    10.879,        83,   24097.8,        39,     24038,        30,         4,        11,         0,         0,         0,         0,         0,    96.195,        53,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1378.55,         5,         5,        15,    134303,       544,   830.581,      2240,    26.599,        82,   671.344,        53,      4.16,        53,     19381,        44,     19344,        25,         6,         5,         0,         0,         0,         0,         0,    30.788,        46,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,   1220.79,         6,         6,        15,   93136.8,       478,   628.605,      1876,    28.627,        84,   575.584,        71,     8.305,        71,   16735.2,        29,     16701,        18,         2,         6,         0,         0,         0,         0,         0,    32.755,        43,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         5,    1290.1,         4,         6,        15,    206151,       882,   898.076,      2134,    38.022,        93,   594.837,       105,    11.338,       105,   22230.2,        42,     22191,        34,         4,        11,         0,         0,         0,         0,         0,    46.719,        61,    628915,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
