k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
13,2294.09,2437.8,108.973,90911.3,835774,6100,308,133,5783,9000,8385
13,2240.92,1748.15,94.791,52128.7,863213,5872,300,125,5899,9000,8385
13,2114.93,1619.26,79.977,38477.2,358039,5031,289,86,2576,9000,8385
13,1903.69,1248.1,83.698,23641.3,544601,3701,214,135,3631,9000,8385
13,2702.72,2712.83,195.666,95462.1,1.31669e+06,8414,501,153,10180,9000,8385
13,1967.17,1660.99,113.004,64647.8,764743,4275,286,126,5565,9000,8385
13,2324.08,2005.09,149.406,81931.2,1.33598e+06,6048,372,178,10163,9000,8385
13,1871.72,1386.43,108.549,44714.4,661469,4211,266,137,5505,9000,8385
13,2339.21,2260.33,126.17,80711.4,1.35752e+06,6420,308,102,6364,9000,8385
13,2427.91,1719.99,141.67,70262.1,681738,5977,400,129,4870,9000,8385
13,2890.84,2043.43,120.797,113953,1.29547e+06,6213,379,177,11362,9000,8385
13,2823.88,2713.53,210.347,257039,2.45846e+06,9864,630,197,10791,9000,8385
13,2145.07,1454.34,104.44,56212.6,1.03875e+06,4850,339,121,4884,9000,8385
13,2248.22,2186.01,93.448,76610.1,590862,5107,345,119,4254,9000,8385
13,2895.1,2864.14,208.615,199029,2.1752e+06,8335,500,180,16794,9000,8385
13,2308.81,1635.26,134.593,45365,921148,4764,359,123,6600,9000,8385
13,1955.46,1590.44,119.266,117475,808536,5059,317,151,6044,9000,8385
13,2566.66,2295.32,136.996,83050.8,1.72856e+06,7704,431,169,11266,9000,8385
13,3579.22,3151.13,293.486,177992,3.63523e+06,11106,767,197,14554,9000,8385
13,2022.97,1437.12,82.553,17687.1,583419,4837,272,118,4164,9000,8385
13,2329.47,1835.95,127.856,115538,1.15029e+06,5640,399,134,6134,9000,8385
13,2577.72,2247.19,118.399,126537,1.1143e+06,7042,362,163,6222,9000,8385
13,2728.35,1832.61,129.48,122543,1.38517e+06,6252,422,188,7129,9000,8385
13,2294.57,2124.5,138.313,127122,1.45733e+06,6760,422,126,8757,9000,8385
13,1919.68,1471.89,123.278,67599.2,1.06895e+06,4525,276,132,8740,9000,8385
13,2837.33,2789.18,130.131,107751,1.47521e+06,9349,452,195,9457,9000,8385
13,1358.68,861.59,27.498,5763.63,191106,2628,111,57,1115,9000,8385
13,1715.7,1221.14,67.257,5307.23,341575,4210,185,75,2366,9000,8385
13,1810.32,1020.4,56.648,33185.3,508411,2980,165,72,1765,9000,8385
13,2095.06,1679.46,99.557,133551,832381,5863,294,109,5562,9000,8385
13,2113.88,1654.26,124.315,87302,1.23535e+06,4912,353,119,6282,9000,8385
13,1791.85,1240.75,61.353,51038.7,366506,4205,210,85,2171,9000,8385
13,1967.39,1055.31,58.024,30938.4,483826,3461,186,84,2284,9000,8385
13,1732.82,1436.42,88.598,44721.1,494227,4301,223,120,2959,9000,8385
13,2280.42,2303.11,139.063,132666,977208,6584,383,143,6768,9000,8385
13,2177.43,2119.66,134.348,44794.5,586349,6012,360,119,4149,9000,8385
13,2214.12,1489.05,90.562,54769.5,723166,5337,289,100,4687,9000,8385
13,2114.32,1669.22,79.731,32897.1,705382,5716,208,96,4278,9000,8385
13,1789.05,1482.78,49.247,17492.6,246964,3742,166,81,2086,9000,8385
13,2093.53,1457.67,75.305,92639.8,540428,5056,258,78,3750,9000,8385
13,2498.3,1766.26,125.457,207830,1.1386e+06,6125,374,135,7115,9000,8385
13,2356.33,1703.54,114.055,63008.9,1.05212e+06,6063,359,143,9184,9000,8385
13,2502.31,1669.04,133.338,68745.7,983541,5441,391,112,7656,9000,8385
13,1935.26,1303.54,94.971,67545.5,923506,4287,259,110,5862,9000,8385
13,2697.82,2276.3,111.627,64614.7,1.1209e+06,7995,388,142,7430,9000,8385
13,1722.96,931.317,50.027,36881.5,370709,2962,162,81,2221,9000,8385
13,2437.27,2090.11,119.455,86433.1,684168,6166,333,113,4439,9000,8385
13,2224.48,1811.14,120.551,56674,863161,5244,322,141,6328,9000,8385
13,2440.91,2037.83,101.074,101628,596201,6354,352,117,5101,9000,8385
13,2563.51,1765.56,145.296,43911.8,1.67184e+06,6132,374,107,8856,9000,8385
13,2070.49,1189.06,87.667,43841.5,802398,3953,262,109,5673,9000,8385
13,2152.02,1747.9,105.303,51369.7,676656,4430,249,99,4031,9000,8385
13,2672.46,2431.17,117.223,69908.5,1.08933e+06,8057,425,132,6737,9000,8385
13,1924.24,1047.89,56.651,52103.7,211749,3807,203,107,2331,9000,8385
13,2091.99,1187.95,81.792,45867.6,435416,4180,284,96,2617,9000,8385
13,2635.74,1964.8,103.436,83003.3,615765,7579,365,147,5262,9000,8385
13,2960.7,2757.36,191.882,109865,2.24692e+06,9656,566,167,14350,9000,8385
13,2474.09,1901.47,100.411,98128.4,1.92245e+06,6410,299,127,7732,9000,8385
13,1635.56,1207.56,53.683,40774.1,220866,3300,179,87,2178,9000,8385
13,2103.85,1098.68,118.676,66060.8,2.15307e+06,3454,324,125,7830,9000,8385
13,2420.86,2228.77,123.472,93767.7,666464,6361,343,98,3936,9000,8385
13,2306.23,1954.08,86.694,27046.5,565675,5941,269,98,3138,9000,8385
13,2388.38,1954.64,132.209,41533.8,1.12879e+06,5946,321,117,4342,9000,8385
13,2369.99,1788.97,200.709,140659,1.93797e+06,5985,482,143,13428,9000,8385
13,2213.96,1737.01,103.261,240081,759749,6257,351,163,6312,9000,8385
13,2207.69,1577.37,114.927,67503.2,1.55218e+06,5620,330,120,8723,9000,8385
13,2036.43,1727.17,88.495,54290.1,959355,6032,274,87,4350,9000,8385
13,3506.57,3185.36,240.954,139275,1.66742e+06,9717,707,218,15751,9000,8385
13,2080.51,1620.26,57.829,111925,377486,5413,221,92,2266,9000,8385
13,2917.33,2255.53,128.197,128864,1.14129e+06,8346,441,137,6632,9000,8385
13,2791.78,2568.14,155.171,182627,1.22801e+06,8539,497,193,10111,9000,8385
13,2569.74,1856.2,114.208,79492.2,1.16134e+06,6743,370,129,7313,9000,8385
13,2412.4,2576.55,145.702,55611.5,763614,7201,357,102,4820,9000,8385
13,2967.66,2288.65,244.282,132084,1.56131e+06,8681,540,159,8943,9000,8385
13,1865.69,1501.31,68.948,90576,643702,5466,247,106,4437,9000,8385
13,1703.95,1087.49,30.387,36960.9,281008,3282,133,72,2075,9000,8385
13,2687,2276.53,153.324,110458,2.07826e+06,7736,443,144,10225,9000,8385
