K,order,dist,cost_ki,cost_edbt,vnum,density
4,1,549.684,38.045,185777,2,1.07335
4,2,606.993,38.045,185777,4,1.07335
4,3,1315.34,38.045,185777,7,1.07335
4,4,1390.44,38.045,185777,4,1.07335
4,1,511.595,12.263,29869.5,2,1.07335
4,2,562.441,12.263,29869.5,2,1.07335
4,3,592.98,12.263,29869.5,2,1.07335
4,4,701.53,12.263,29869.5,2,1.07335
4,1,702.82,14.761,126645,2,1.07335
4,2,754.054,14.761,126645,2,1.07335
4,3,824.04,14.761,126645,2,1.07335
4,4,947.837,14.761,126645,3,1.07335
4,1,1001.62,34.474,240550,2,1.07335
4,2,1055,34.474,240550,2,1.07335
4,3,1097.15,34.474,240550,2,1.07335
4,4,1156.78,34.474,240550,4,1.07335
4,1,274.361,34.685,186233,2,1.07335
4,2,715.883,34.685,186233,2,1.07335
4,3,1201.31,34.685,186233,3,1.07335
4,4,1428.36,34.685,186233,4,1.07335
4,1,146.659,33.85,315622,2,1.07335
4,2,397.271,33.85,315622,2,1.07335
4,3,763.997,33.85,315622,4,1.07335
4,4,825.204,33.85,315622,2,1.07335
4,1,145.726,14.184,132948,2,1.07335
4,2,552.522,14.184,132948,2,1.07335
4,3,563.077,14.184,132948,2,1.07335
4,4,726.746,14.184,132948,2,1.07335
4,1,433.319,32.682,252598,2,1.07335
4,2,724.2,32.682,252598,2,1.07335
4,3,781.407,32.682,252598,2,1.07335
4,4,1201.69,32.682,252598,2,1.07335
4,1,82.7103,16.31,77065.4,2,1.07335
4,2,154.457,16.31,77065.4,2,1.07335
4,3,416.001,16.31,77065.4,2,1.07335
4,4,720.458,16.31,77065.4,3,1.07335
4,1,634.527,57.035,294019,2,1.07335
4,2,740.554,57.035,294019,2,1.07335
4,3,1001.84,57.035,294019,2,1.07335
4,4,1413.52,57.035,294019,3,1.07335
4,1,1028.71,21.888,79935.5,3,1.07335
4,2,1282.51,21.888,79935.5,2,1.07335
4,3,1302.4,21.888,79935.5,2,1.07335
4,4,1311.35,21.888,79935.5,3,1.07335
4,1,453.194,33.582,113798,2,1.07335
4,2,569.919,33.582,113798,3,1.07335
4,3,594.895,33.582,113798,3,1.07335
4,4,964.009,33.582,113798,4,1.07335
4,1,533.518,41.436,215276,2,1.07335
4,2,1269.63,41.436,215276,3,1.07335
4,3,1452.65,41.436,215276,4,1.07335
4,4,1490.99,41.436,215276,3,1.07335
4,1,999.498,55.994,455229,2,1.07335
4,2,1237.59,55.994,455229,2,1.07335
4,3,1394.46,55.994,455229,3,1.07335
4,4,1419.36,55.994,455229,3,1.07335
4,1,316.191,21.71,82588.2,2,1.07335
4,2,1210.01,21.71,82588.2,4,1.07335
4,3,1248.14,21.71,82588.2,3,1.07335
4,4,1271.57,21.71,82588.2,4,1.07335
4,1,201.638,10.609,61221,2,1.07335
4,2,276.66,10.609,61221,3,1.07335
4,3,470.558,10.609,61221,2,1.07335
4,4,487.887,10.609,61221,2,1.07335
4,1,487.066,22.982,199518,2,1.07335
4,2,822.063,22.982,199518,3,1.07335
4,3,1192.06,22.982,199518,3,1.07335
4,4,1332.7,22.982,199518,2,1.07335
4,1,320.688,26.757,139705,2,1.07335
4,2,600.097,26.757,139705,3,1.07335
4,3,838.419,26.757,139705,3,1.07335
4,4,1102.71,26.757,139705,3,1.07335
4,1,297.405,11.977,43060.7,2,1.07335
4,2,371.797,11.977,43060.7,2,1.07335
4,3,478.569,11.977,43060.7,3,1.07335
4,4,635.814,11.977,43060.7,3,1.07335
4,1,396.565,25.836,120421,2,1.07335
4,2,742.707,25.836,120421,3,1.07335
4,3,943.998,25.836,120421,2,1.07335
4,4,1191.8,25.836,120421,3,1.07335
4,1,494.287,78.308,1.34797e+06,4,1.07335
4,2,1754.37,78.308,1.34797e+06,5,1.07335
4,3,1860.97,78.308,1.34797e+06,5,1.07335
4,4,1878.26,78.308,1.34797e+06,6,1.07335
4,1,936.395,34.507,174257,3,1.07335
4,2,961.767,34.507,174257,3,1.07335
4,3,1050.44,34.507,174257,3,1.07335
4,4,1140.69,34.507,174257,2,1.07335
4,1,135.945,38.773,257248,2,1.07335
4,2,225.894,38.773,257248,2,1.07335
4,3,1089.49,38.773,257248,3,1.07335
4,4,1391.7,38.773,257248,3,1.07335
4,1,648.917,21.813,75669.6,4,1.07335
4,2,809.851,21.813,75669.6,4,1.07335
4,3,940.676,21.813,75669.6,2,1.07335
4,4,953.501,21.813,75669.6,3,1.07335
4,1,450.877,53.715,337871,2,1.07335
4,2,986.25,53.715,337871,3,1.07335
4,3,1031.22,53.715,337871,3,1.07335
4,4,1368.85,53.715,337871,4,1.07335
4,1,1105.01,40.611,509263,2,1.07335
4,2,1441.12,40.611,509263,4,1.07335
4,3,1630.41,40.611,509263,6,1.07335
4,4,1729.06,40.611,509263,3,1.07335
4,1,743.636,30.582,126081,2,1.07335
4,2,928.027,30.582,126081,3,1.07335
4,3,1023.42,30.582,126081,5,1.07335
4,4,1111.43,30.582,126081,5,1.07335
4,1,445.217,16.076,59960.3,2,1.07335
4,2,506.968,16.076,59960.3,2,1.07335
4,3,763.406,16.076,59960.3,2,1.07335
4,4,801.969,16.076,59960.3,4,1.07335
4,1,542.023,30.966,96296.1,2,1.07335
4,2,571.822,30.966,96296.1,2,1.07335
4,3,779.083,30.966,96296.1,4,1.07335
4,4,1203.47,30.966,96296.1,2,1.07335
4,1,543.994,12.281,117132,2,1.07335
4,2,587.014,12.281,117132,2,1.07335
4,3,722.505,12.281,117132,2,1.07335
4,4,793.25,12.281,117132,2,1.07335
4,1,345.393,13.088,107876,2,1.07335
4,2,509.868,13.088,107876,2,1.07335
4,3,592.691,13.088,107876,3,1.07335
4,4,742.348,13.088,107876,2,1.07335
4,1,466.615,33.4,326809,2,1.07335
4,2,495.493,33.4,326809,2,1.07335
4,3,1095.36,33.4,326809,2,1.07335
4,4,1122.36,33.4,326809,6,1.07335
4,1,214.114,45.835,250750,2,1.07335
4,2,855.087,45.835,250750,2,1.07335
4,3,1078.23,45.835,250750,2,1.07335
4,4,1328.5,45.835,250750,2,1.07335
4,1,412.1,70.514,424137,2,1.07335
4,2,736.848,70.514,424137,2,1.07335
4,3,1519.66,70.514,424137,5,1.07335
4,4,1751.23,70.514,424137,4,1.07335
4,1,438.57,49.319,575572,3,1.07335
4,2,825.404,49.319,575572,3,1.07335
4,3,1292.96,49.319,575572,4,1.07335
4,4,1770.91,49.319,575572,7,1.07335
4,1,392.822,10.547,64306.2,2,1.07335
4,2,434.056,10.547,64306.2,2,1.07335
4,3,482.2,10.547,64306.2,2,1.07335
4,4,501.038,10.547,64306.2,4,1.07335
4,1,868.898,36.531,96999.7,3,1.07335
4,2,1062.15,36.531,96999.7,2,1.07335
4,3,1082.57,36.531,96999.7,3,1.07335
4,4,1319.18,36.531,96999.7,4,1.07335
4,1,526.295,46.739,149356,2,1.07335
4,2,1321.85,46.739,149356,4,1.07335
4,3,1431.78,46.739,149356,6,1.07335
4,4,1456.33,46.739,149356,4,1.07335
4,1,402.349,9.02,57014.5,2,1.07335
4,2,528.05,9.02,57014.5,2,1.07335
4,3,577.603,9.02,57014.5,2,1.07335
4,4,712.018,9.02,57014.5,2,1.07335
4,1,981.267,30.834,118909,3,1.07335
4,2,1178.14,30.834,118909,3,1.07335
4,3,1304.11,30.834,118909,2,1.07335
4,4,1383.96,30.834,118909,3,1.07335
4,1,650.928,33.285,354179,3,1.07335
4,2,865.697,33.285,354179,3,1.07335
4,3,1038.85,33.285,354179,4,1.07335
4,4,1272.93,33.285,354179,3,1.07335
4,1,1081.24,45.127,417152,4,1.07335
4,2,1326.47,45.127,417152,4,1.07335
4,3,1448.14,45.127,417152,4,1.07335
4,4,1517.64,45.127,417152,4,1.07335
4,1,999.844,64.904,510179,2,1.07335
4,2,1370.68,64.904,510179,4,1.07335
4,3,1537.62,64.904,510179,5,1.07335
4,4,1651.14,64.904,510179,4,1.07335
4,1,959.287,46.686,353407,4,1.07335
4,2,1003.91,46.686,353407,2,1.07335
4,3,1145.03,46.686,353407,3,1.07335
4,4,1300.28,46.686,353407,2,1.07335
4,1,373.841,28.843,294102,2,1.07335
4,2,992.561,28.843,294102,2,1.07335
4,3,1062.37,28.843,294102,2,1.07335
4,4,1108.9,28.843,294102,2,1.07335
4,1,375.458,18.459,154528,2,1.07335
4,2,681.435,18.459,154528,2,1.07335
4,3,860.028,18.459,154528,2,1.07335
4,4,960.838,18.459,154528,4,1.07335
4,1,39.0512,75.433,348572,2,1.07335
4,2,574.933,75.433,348572,4,1.07335
4,3,821.56,75.433,348572,8,1.07335
4,4,1335.64,75.433,348572,3,1.07335
4,1,1037.94,53.367,652081,2,1.07335
4,2,1107.47,53.367,652081,2,1.07335
4,3,1360.29,53.367,652081,6,1.07335
4,4,1584.8,53.367,652081,3,1.07335
4,1,646.483,41.435,223994,3,1.07335
4,2,885.204,41.435,223994,2,1.07335
4,3,912.967,41.435,223994,2,1.07335
4,4,1147,41.435,223994,4,1.07335
4,1,29.4279,11.984,66604.7,2,1.07335
4,2,273.148,11.984,66604.7,2,1.07335
4,3,455.053,11.984,66604.7,2,1.07335
4,4,489.312,11.984,66604.7,3,1.07335
4,1,22.3607,28.272,240613,2,1.07335
4,2,895.894,28.272,240613,3,1.07335
4,3,1093.78,28.272,240613,3,1.07335
4,4,1269.49,28.272,240613,3,1.07335
4,1,656.808,69.496,283498,2,1.07335
4,2,922.7,69.496,283498,3,1.07335
4,3,1089.32,69.496,283498,5,1.07335
4,4,1357.23,69.496,283498,2,1.07335
4,1,409.871,20.245,122247,2,1.07335
4,2,486.597,20.245,122247,2,1.07335
4,3,509.318,20.245,122247,2,1.07335
4,4,933.454,20.245,122247,2,1.07335
4,1,607.543,60.35,298811,2,1.07335
4,2,764.003,60.35,298811,2,1.07335
4,3,1171.73,60.35,298811,4,1.07335
4,4,1346.25,60.35,298811,3,1.07335
