k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
12,2087.48,1665.83,118.88,74585,1.08421e+06,4587,321,133,6400,9000,8385
12,2796.2,2576.39,242.36,60702.9,2.00765e+06,7256,540,138,8783,9000,8385
12,1961.16,1323.72,80.48,45220.1,419975,4287,260,107,3959,9000,8385
12,2844.36,3391.15,174.564,89504.7,1.7588e+06,9997,550,209,16385,9000,8385
12,2738.86,2303.99,146.625,112826,1.567e+06,8301,439,178,10169,9000,8385
12,1831.43,1489.2,87.519,47614.4,560090,4582,258,110,3421,9000,8385
12,2216.84,1790.64,121.569,56520,1.20295e+06,6116,310,124,7247,9000,8385
12,2374.35,2018.74,142.013,70269.3,696690,6904,389,119,7206,9000,8385
12,2347.4,1546.04,95.872,136405,1.03685e+06,4948,304,142,5703,9000,8385
12,2623.74,2504.29,206.479,73472.9,1.16346e+06,7384,595,197,13237,9000,8385
12,1957.15,1528.47,123.47,70031.7,544873,3973,308,131,5865,9000,8385
12,2633.31,2147.22,129.944,64365.7,486029,7973,426,156,6200,9000,8385
12,2645.35,1799.63,146.75,86182.6,627602,6399,385,161,5374,9000,8385
12,1867.05,1162.87,48.965,18896.8,301082,3788,179,81,1957,9000,8385
12,2241.19,1756.8,92.088,88592.2,450669,6536,302,117,4217,9000,8385
12,2064.37,1669.31,89.679,72978.1,1.03917e+06,6272,283,123,4059,9000,8385
12,2084.36,1313.98,92.971,40136,614199,4451,265,95,4573,9000,8385
12,2039.33,1497.26,83.241,52812.4,420058,5235,295,103,3387,9000,8385
12,2234.55,1485.03,98.4,94310.7,875325,5841,332,122,5623,9000,8385
12,2324.66,1829.27,111.509,116425,416561,6516,357,137,4664,9000,8385
12,2171.12,1554.42,98.976,76330.9,1.14313e+06,5420,299,99,5916,9000,8385
12,2402.96,2050.3,125.496,116920,1.1468e+06,7827,393,151,8671,9000,8385
12,2518.23,2363.79,173.178,189053,863269,8408,507,165,8088,9000,8385
12,2357.89,1679.29,111.396,111328,1.00359e+06,5923,385,144,5317,9000,8385
12,1863.93,1296.54,82.358,42285.4,952918,4647,247,104,6809,9000,8385
12,1886.16,1727.09,102.754,56687.7,720664,4801,223,91,3477,9000,8385
12,2286.86,1980.33,138.408,55282.9,943853,6320,358,123,6763,9000,8385
12,2808.77,2673.15,247.834,99581.3,978813,8813,536,194,11926,9000,8385
12,2290.24,1640.1,73.968,53719.9,695894,6034,248,91,2433,9000,8385
12,2363.84,1623.79,96.363,102232,378024,6357,366,139,5240,9000,8385
12,2875.72,2510.35,200.006,118445,1.78068e+06,8434,609,208,15384,9000,8385
12,2156.18,1533.89,91.523,40084.8,531128,4138,248,104,3701,9000,8385
12,2852.46,2345.68,187.43,111335,1.27476e+06,8108,516,151,7666,9000,8385
12,2097.83,1322.99,93.475,67512.4,504551,3851,272,109,4761,9000,8385
12,2103.46,1277.02,78.444,51873.4,566658,4484,266,90,2671,9000,8385
12,2079.55,1828.57,72.478,78542.1,669738,5947,256,108,3581,9000,8385
12,2379.55,2120.5,153.111,79127.4,2.05254e+06,6652,413,154,7856,9000,8385
12,2622.58,2058.5,137.005,52648.1,1.07532e+06,7221,441,148,5109,9000,8385
12,2753.03,2376.28,128.749,123920,1.55369e+06,7197,416,145,7644,9000,8385
12,2521.11,1809.26,91.799,59285.1,581057,6713,322,96,4510,9000,8385
12,1906.1,1183.5,55.978,32502.6,411973,3187,182,84,2810,9000,8385
12,2457.46,2011.67,159.295,118354,2.26219e+06,7079,466,174,10804,9000,8385
12,2454.18,1975.39,138.444,38229.7,1.0353e+06,6743,393,148,9616,9000,8385
12,2625.44,1998.42,158.67,205462,1.47563e+06,7139,489,172,9998,9000,8385
12,2112.16,1504.62,95.223,63515.1,569614,5398,309,116,5186,9000,8385
12,1627.5,1139.29,68.504,72714.5,601548,3364,171,101,2494,9000,8385
12,2158.22,1524.64,96.463,20749.7,1.30151e+06,5045,316,131,8906,9000,8385
12,2249.11,1803.58,94.26,89446.9,974148,6286,291,123,4292,9000,8385
12,2075.86,1328.26,62.717,37337.3,243055,4229,215,88,2568,9000,8385
12,1613.2,1457.08,92.025,42185,1.11723e+06,3859,194,71,4638,9000,8385
12,2108.54,1310.32,72.007,63241.6,749199,4555,253,98,3385,9000,8385
12,2486.91,1560.05,91.911,61786.4,1.43271e+06,5603,304,124,7062,9000,8385
12,2038.12,1183.58,99.512,52804.7,386372,3872,248,102,3464,9000,8385
12,1864.66,1017.18,54.012,55798.9,379606,3726,196,76,1938,9000,8385
12,2634.36,2135.69,137.164,64422.3,881737,6572,398,93,4832,9000,8385
12,2339.08,1897.16,95.423,51502.8,1.17639e+06,6551,344,136,7426,9000,8385
12,1599.86,1291.04,71.254,39206.6,446256,3655,196,80,2171,9000,8385
12,3542.87,3445.19,305.735,193391,1.8713e+06,12191,801,224,15659,9000,8385
12,1942.04,1218.64,71.423,14517.6,454384,3521,189,61,2792,9000,8385
12,2176.27,1732.39,79.77,133154,377442,6307,289,120,3262,9000,8385
12,2264.89,1387.46,92.174,111782,1.09823e+06,4899,297,125,5541,9000,8385
12,3466.69,3238.16,241.486,112505,1.58682e+06,11428,625,164,13154,9000,8385
12,1885.92,1185.71,68.552,78297.2,504542,4085,260,102,4153,9000,8385
12,1894.04,1150.23,78.891,82592.5,391355,4035,292,128,3421,9000,8385
12,2307.08,1185.46,170.305,106735,983364,3718,440,115,3483,9000,8385
12,2502.19,2270.59,150.428,183063,943256,7775,414,166,6555,9000,8385
12,2175.32,1709.04,102.524,36584,1.39999e+06,5465,292,116,5843,9000,8385
12,1456.89,788.202,43.909,71217.5,195417,2365,144,72,1005,9000,8385
12,2110.23,1256.83,98.437,22359.7,794467,4135,284,87,4496,9000,8385
12,2221.29,1538.16,103.2,55015.4,811383,5510,334,136,6891,9000,8385
12,2208.22,1223.23,81.509,86061.1,989875,4331,271,116,4006,9000,8385
12,2564.49,2187.87,127.277,91545.3,1.73365e+06,7624,388,140,9341,9000,8385
12,2241.21,1622.87,147.706,134295,3.72896e+06,5175,364,138,9715,9000,8385
12,2364.32,2088.48,123.973,25269.6,572278,7533,372,121,7368,9000,8385
12,2616.08,2173.78,119.975,88031.3,899423,6923,402,121,6612,9000,8385
12,2634.86,2061.83,114.5,61678.3,586798,7937,373,104,6618,9000,8385
12,2446.19,1891.69,106.016,68657.6,823929,6584,371,135,8583,9000,8385
12,2240.13,1974.22,118.173,28323.2,1.25207e+06,5744,346,118,7067,9000,8385
12,2684.56,2087.77,137.457,79906.9,547196,7121,374,141,6690,9000,8385
12,1558.27,1025.49,56.803,52282.2,362458,3241,182,100,3443,9000,8385
12,1827.57,1094.82,62.376,69316.7,217819,3924,213,88,2300,9000,8385
12,2694.51,1937.76,161.871,123499,936546,7745,499,154,8882,9000,8385
12,1912,1308.35,68.718,48727.7,811572,4506,215,107,4232,9000,8385
12,2127.54,1391,81.794,80644,856516,4644,247,121,6098,9000,8385
12,2522.66,1806.12,114.868,162051,1.16643e+06,5598,337,108,5328,9000,8385
12,1223.45,485.607,22.853,24550.8,216756,1558,82,56,664,9000,8385
12,2488.88,2134.59,125.665,118378,1.34886e+06,7299,410,136,8384,9000,8385
12,2257.15,1847.66,95.755,72898,558341,6594,292,112,3984,9000,8385
12,2049,1355.54,85.72,100240,957920,5206,284,102,4551,9000,8385
12,2298.33,1796.93,236.285,83833.1,2.31263e+06,4914,377,118,8849,9000,8385
12,2412,1588.24,159.397,170470,3.07075e+06,5834,429,172,15463,9000,8385
12,2624.94,1858.53,130.613,68507.3,2.24048e+06,6819,390,104,9576,9000,8385
12,1927.03,1137.07,92.423,44060.9,656594,3780,260,110,3104,9000,8385
12,2268.19,1897.73,106.842,51624.7,1.00134e+06,4775,349,100,4760,9000,8385
12,2586.88,1736.58,110.522,98071.2,830112,5808,370,123,5623,9000,8385
12,1716.84,1402.47,87.103,94317.7,401671,3745,228,102,2543,9000,8385
12,2330.55,1638.5,116.473,154868,1.66924e+06,5346,359,133,6750,9000,8385
12,2061.54,1501.34,115.833,56860.6,332144,4313,243,97,3471,9000,8385
12,2324.92,1602.1,108.626,85382.5,721057,5528,279,89,4139,9000,8385
12,2343.45,1550.25,146.448,136286,1.9385e+06,4703,424,145,9842,9000,8385
12,2704.68,2315.23,148.827,87578,952724,7748,401,152,6170,9000,8385
12,2527.28,2229.53,121.97,93986.5,777012,8259,414,169,7902,9000,8385
12,2185.69,1454.28,83.433,100900,362204,4982,298,124,5264,9000,8385
12,2235.05,1472.32,137.757,82886.9,717674,4444,310,106,4736,9000,8385
12,2202.38,1423.83,77.828,26672,470942,5374,288,117,3337,9000,8385
12,2166.8,1382.99,90.529,87099,743615,4870,288,102,5493,9000,8385
12,1791.15,1107.64,55.546,62144.7,494199,4101,185,76,2700,9000,8385
12,2247.99,1629.99,141.139,55022.9,1.60531e+06,5797,345,131,6366,9000,8385
12,2356.42,1054.03,79.342,68872.4,131661,3651,189,109,1913,9000,8385
