k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
14,2741.16,3494.4,243.416,218885,2.50126e+06,8918,521,243,12996,9000,8385
14,2703.58,1951.13,105.394,128548,795669,7186,393,165,6884,9000,8385
14,2413.39,2092.57,119.476,76231.1,1.94926e+06,7219,401,171,11508,9000,8385
14,2030.5,1267.96,65.319,41327.9,335953,2999,185,89,2431,9000,8385
14,2215.68,1720.92,112.113,185986,1.954e+06,5805,348,138,6746,9000,8385
14,2443.08,1697.36,104.755,75472.3,719476,6369,334,138,6791,9000,8385
14,1956.85,1349.79,72.732,37445.2,487189,3995,237,133,3097,9000,8385
14,2399.67,1810.54,157.352,55906.9,1.45721e+06,5530,413,133,11115,9000,8385
14,1707.45,967.734,43.723,20391.6,513669,2883,153,80,1880,9000,8385
14,2177.5,1397.31,110.455,67210.2,1.68975e+06,4601,320,120,6094,9000,8385
14,1913.44,1201.78,77.995,28211.2,707714,3269,194,62,2089,9000,8385
14,2225.24,1648.95,82.94,84602.5,471969,5765,303,148,5084,9000,8385
14,2844.03,2080.64,172.836,108365,1.0787e+06,7492,533,176,9413,9000,8385
14,2192.55,1561.54,115.896,15866.4,724384,4125,302,105,4735,9000,8385
14,1977.05,1568.1,104.261,111940,857248,4800,274,141,4329,9000,8385
14,2465.57,1594.83,202.814,162691,1.62058e+06,5832,520,208,13158,9000,8385
14,2254.11,2014.15,92.254,68824.3,1.26805e+06,5583,311,120,6657,9000,8385
14,3149.13,2433.49,215.901,178489,1.54195e+06,9303,525,181,8374,9000,8385
14,2338.91,2348.97,121.838,97140,1.42059e+06,6071,378,132,7616,9000,8385
14,2352.07,1723.19,104.628,71416.3,1.09006e+06,5124,336,159,6284,9000,8385
14,2310.49,1898.25,121.743,47577,1.15231e+06,5986,362,156,9515,9000,8385
14,1968.61,1291.5,59.27,90831.2,533279,3682,180,118,2440,9000,8385
14,1918.73,1411.77,86.209,42448.9,728847,4131,252,100,4023,9000,8385
14,1654.84,841.602,49.152,22951.6,564117,2789,164,72,2464,9000,8385
14,2172.18,1593.49,94.4,73194,641667,5328,307,162,7414,9000,8385
14,2357.66,1775.09,122.398,144717,1.30533e+06,6047,385,118,6945,9000,8385
14,2640.25,2444.89,196.962,50946.1,1.62396e+06,7644,509,156,11879,9000,8385
14,2628.96,2460.8,201.786,59224.4,2.3228e+06,7806,507,194,12768,9000,8385
14,2204.51,1914.64,125.442,112569,952914,5483,341,128,5639,9000,8385
14,2525.65,2073.15,114.006,56528.1,933563,7434,332,127,6050,9000,8385
14,1877.79,1200.15,63.052,16368,422719,3766,210,90,2394,9000,8385
14,2247.23,1711.75,94.741,66418.8,1.23696e+06,5943,297,115,3933,9000,8385
14,2988.96,2419.75,186.109,82390.7,1.20591e+06,9135,524,146,9176,9000,8385
14,1729.26,806.691,68.842,79376.6,549933,2588,191,125,4522,9000,8385
14,2134.1,1342.49,70.132,66268.3,545677,4851,227,103,3019,9000,8385
14,3054.64,2495.93,171.53,91071.5,947109,8700,519,192,8029,9000,8385
14,2444.82,1947.85,107.566,128029,1.16365e+06,7066,347,111,5357,9000,8385
14,2673.96,1991.72,134.482,67599.7,2.0669e+06,7208,392,177,9699,9000,8385
14,2300.59,1896.32,243.544,155014,2.60091e+06,6615,586,239,13044,9000,8385
14,2322.78,1971.56,73.384,57060.9,780625,6038,278,119,4405,9000,8385
14,1504.33,736.253,40.197,34881.6,357046,2692,142,74,1265,9000,8385
14,2823.75,2160.39,129.002,171407,1.80848e+06,7803,456,155,11002,9000,8385
14,2173.9,1397.27,90.435,133907,575638,5023,318,141,5205,9000,8385
14,2228.51,1292.54,136.416,225007,1.61073e+06,4447,422,173,9608,9000,8385
14,2600.44,1968.41,139.326,124473,1.01122e+06,7111,435,180,5699,9000,8385
14,2025.52,1317.87,96.38,61151.9,773076,4545,265,105,5191,9000,8385
14,2429.87,1985.01,189.355,84751.9,2.80657e+06,6142,460,137,12236,9000,8385
14,2186.62,1635.72,110.729,62420.3,1.47814e+06,4836,246,129,8338,9000,8385
14,1966.98,1131.89,113.989,42350.7,527209,3652,221,109,3984,9000,8385
14,1932.43,1215.16,78.651,95820.3,1.11862e+06,4061,231,90,5899,9000,8385
14,2319.15,2091.01,104.34,48454.4,720597,6852,317,118,5015,9000,8385
14,2893.46,2686.04,132.811,224014,1.15228e+06,9632,447,152,5918,9000,8385
14,2273.69,1422.84,92.855,56536.5,639836,5182,327,112,4435,9000,8385
14,2377.32,1922.34,159.363,86906.5,1.31591e+06,6107,349,130,6414,9000,8385
14,2616.41,1996.34,193.248,139364,1.40569e+06,6166,444,177,8851,9000,8385
14,2353.17,1943.03,141.948,85998.1,1.79041e+06,6345,359,127,7571,9000,8385
14,2475.14,2240.64,164.621,164461,1.81601e+06,8046,468,207,10137,9000,8385
14,2366.62,2032.57,119.414,189273,1.10963e+06,6918,389,146,8398,9000,8385
14,2334.08,1735.62,106.385,44525.8,925865,5779,340,129,7629,9000,8385
14,2177.09,1568.24,104.795,82908.4,837234,5155,315,117,4761,9000,8385
14,2376.31,2313.22,174.911,76899.7,2.74069e+06,7290,535,170,11306,9000,8385
14,1902.82,1127.28,44.065,82311.9,355450,3886,160,83,2144,9000,8385
14,2493.26,2200.72,133.756,107651,1.35516e+06,8386,424,164,6577,9000,8385
14,1830.82,1405.32,84.309,60608.4,1.37724e+06,3877,240,126,5115,9000,8385
14,2092.11,1500.06,112.944,101862,2.5211e+06,5316,361,158,9872,9000,8385
14,2568.39,2031.22,148.452,50239.8,1.03813e+06,6293,468,183,9197,9000,8385
14,2244.86,1682.58,113.507,84666,974623,5705,397,168,6188,9000,8385
14,3265.69,2403.88,143.127,136828,727095,8196,379,140,3807,9000,8385
14,2139.8,1472.05,167.841,109657,934231,5809,701,213,6437,9000,8385
14,2940.2,2495.06,158.423,46736.6,3.38181e+06,9580,523,171,14702,9000,8385
14,2316.94,1282.57,77.716,40489.6,805468,3751,296,96,2011,9000,8385
14,2440.02,1967.97,152.275,116083,1.89408e+06,6494,585,183,11706,9000,8385
14,2092.92,1627.09,77.805,84027.4,646254,5339,242,116,3924,9000,8385
14,1854.21,1475.02,122.849,121484,1.35569e+06,4430,340,183,7622,9000,8385
14,2252.71,1889.16,106.342,73313.6,680579,6242,294,115,4098,9000,8385
14,2138.54,1417.85,126.352,66277.1,842973,4240,312,129,6956,9000,8385
14,2887.5,2297.59,168.38,174616,2.10659e+06,8347,531,188,13027,9000,8385
14,2012.74,1142.75,77.929,54416.1,711054,4072,278,122,4472,9000,8385
14,2245.61,1476.7,102.259,122573,762470,5279,323,159,7798,9000,8385
14,1989.33,1270.09,62.852,74421.6,578219,3702,198,82,2501,9000,8385
14,2273.25,1868.85,121.694,155422,1.37955e+06,6601,386,164,11920,9000,8385
14,2641.99,1881.4,131.758,113200,1.83183e+06,5596,340,152,7421,9000,8385
