k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
11,1971.61,1815.07,77.735,46280.1,359092,4569,197,95,2261,9000,8385
11,1770.12,1251.61,46.925,42416.6,334557,3987,157,91,2096,9000,8385
11,2204.77,2418.8,126.344,122101,470758,6280,287,111,2877,9000,8385
11,2354.12,1977.3,113.578,71966.6,715313,5718,311,106,4527,9000,8385
11,2727.16,2321.39,158.166,67891,1.23425e+06,8133,455,131,5479,9000,8385
11,1986.3,1392.46,66.262,20870.4,312704,4429,242,81,1852,9000,8385
11,2371.02,1183.47,71.312,50702.2,312590,3216,230,91,1662,9000,8385
11,2293.59,1873.53,124.971,53086,1.1466e+06,6164,325,127,5923,9000,8385
11,1696.91,1486.25,57.835,44278.7,479750,4574,181,94,2828,9000,8385
11,2133.27,1926.13,81.515,49216.3,464948,6620,276,107,2917,9000,8385
11,1862.54,1277.5,80.214,40395,515979,4310,255,98,3505,9000,8385
11,2683.76,2173.91,128.176,17654.7,853986,7312,359,76,6424,9000,8385
11,2406.04,1931.1,95.35,40632.6,715176,6673,304,94,3163,9000,8385
11,2222.11,1784.94,82.281,80840.6,623448,5581,278,118,3924,9000,8385
11,2045.87,1821.33,89.607,46071.4,688636,5782,277,112,6018,9000,8385
11,2103.99,1553.98,64.427,65443.1,552262,5538,216,92,2714,9000,8385
11,2390.1,2109.88,170.872,63768.7,2.08985e+06,6982,418,131,8737,9000,8385
11,2189.77,1375.22,107.841,62257.6,580791,4092,310,95,4768,9000,8385
11,1855.15,1272.54,78.296,65212.8,494219,3923,226,82,2130,9000,8385
11,2246.87,1713.52,128.229,96808.9,898743,5082,331,109,6691,9000,8385
11,1949.98,1174.87,70.885,21367,558240,3431,182,72,2933,9000,8385
11,1551.73,1077.51,57.481,32436.2,257913,3427,155,82,1655,9000,8385
11,1912.8,1219.5,64.602,50629.2,842260,4253,206,79,3487,9000,8385
11,1789.83,1033.55,60.541,60066.8,346174,3083,159,58,1692,9000,8385
11,2235.35,1708.24,107.15,23695.4,663277,6187,325,83,5024,9000,8385
