K,order,dist,cost_ki,cost_edbt,vnum,density
10,1,179.602,97.968,516514,2,1.07836
10,2,1008.84,97.968,516514,2,1.07836
10,3,1462.6,97.968,516514,3,1.07836
10,4,1655.02,97.968,516514,2,1.07836
10,5,2363.1,97.968,516514,3,1.07836
10,6,2912.98,97.968,516514,3,1.07836
10,7,3308.67,97.968,516514,3,1.07836
10,8,3583.21,97.968,516514,5,1.07836
10,9,3787.2,97.968,516514,5,1.07836
10,10,3891.15,97.968,516514,6,1.07836
10,1,635.02,63.928,489508,2,1.07836
10,2,1059.96,63.928,489508,2,1.07836
10,3,1267.77,63.928,489508,2,1.07836
10,4,2211.93,63.928,489508,3,1.07836
10,5,2278.59,63.928,489508,2,1.07836
10,6,2492.07,63.928,489508,2,1.07836
10,7,3176.33,63.928,489508,3,1.07836
10,8,3294.15,63.928,489508,4,1.07836
10,9,3424.61,63.928,489508,4,1.07836
10,10,3762.81,63.928,489508,5,1.07836
10,1,382.758,86.914,507367,2,1.07836
10,2,1035.12,86.914,507367,3,1.07836
10,3,1546.81,86.914,507367,3,1.07836
10,4,1637.12,86.914,507367,2,1.07836
10,5,1661.95,86.914,507367,3,1.07836
10,6,1989.58,86.914,507367,4,1.07836
10,7,2124.24,86.914,507367,3,1.07836
10,8,2819.4,86.914,507367,4,1.07836
10,9,3457.18,86.914,507367,4,1.07836
10,10,3516.31,86.914,507367,4,1.07836
10,1,471.542,103.373,699083,2,1.07836
10,2,1575.92,103.373,699083,4,1.07836
10,3,2259.35,103.373,699083,2,1.07836
10,4,2331.15,103.373,699083,5,1.07836
10,5,2528.58,103.373,699083,4,1.07836
10,6,2564.99,103.373,699083,6,1.07836
10,7,2600.85,103.373,699083,5,1.07836
10,8,2673.81,103.373,699083,4,1.07836
10,9,3023.25,103.373,699083,2,1.07836
10,10,3039.46,103.373,699083,2,1.07836
10,1,528.923,54.072,261228,2,1.07836
10,2,911.162,54.072,261228,2,1.07836
10,3,1156.56,54.072,261228,2,1.07836
10,4,2022.24,54.072,261228,3,1.07836
10,5,2204.83,54.072,261228,2,1.07836
10,6,2221.12,54.072,261228,2,1.07836
10,7,2329.67,54.072,261228,3,1.07836
10,8,2454.91,54.072,261228,2,1.07836
10,9,2952.42,54.072,261228,3,1.07836
10,10,3045.59,54.072,261228,3,1.07836
10,1,7.07107,52.293,328638,2,1.07836
10,2,363.536,52.293,328638,3,1.07836
10,3,789.195,52.293,328638,2,1.07836
10,4,1392.72,52.293,328638,3,1.07836
10,5,2093.33,52.293,328638,2,1.07836
10,6,2211.63,52.293,328638,3,1.07836
10,7,2268.07,52.293,328638,3,1.07836
10,8,2426.42,52.293,328638,3,1.07836
10,9,2538.08,52.293,328638,4,1.07836
10,10,3262.31,52.293,328638,4,1.07836
10,1,727.154,106.102,871720,3,1.07836
10,2,1278.69,106.102,871720,3,1.07836
10,3,1432.71,106.102,871720,4,1.07836
10,4,1539.84,106.102,871720,4,1.07836
10,5,2251.17,106.102,871720,3,1.07836
10,6,2525.56,106.102,871720,3,1.07836
10,7,2588.41,106.102,871720,3,1.07836
10,8,3551.11,106.102,871720,3,1.07836
10,9,3700.78,106.102,871720,5,1.07836
10,10,3846.51,106.102,871720,6,1.07836
10,1,304.818,59.851,350752,2,1.07836
10,2,1412.31,59.851,350752,2,1.07836
10,3,1565.66,59.851,350752,3,1.07836
10,4,1590.87,59.851,350752,2,1.07836
10,5,1724.3,59.851,350752,2,1.07836
10,6,2153.24,59.851,350752,4,1.07836
10,7,2273.38,59.851,350752,2,1.07836
10,8,2758.55,59.851,350752,2,1.07836
10,9,3745.8,59.851,350752,7,1.07836
10,10,3854.46,59.851,350752,9,1.07836
10,1,439.739,182.923,1.45417e+06,2,1.07836
10,2,2056.02,182.923,1.45417e+06,4,1.07836
10,3,2243.58,182.923,1.45417e+06,4,1.07836
10,4,2875.68,182.923,1.45417e+06,4,1.07836
10,5,3135.45,182.923,1.45417e+06,6,1.07836
10,6,3412.75,182.923,1.45417e+06,4,1.07836
10,7,3859.76,182.923,1.45417e+06,5,1.07836
10,8,4182.89,182.923,1.45417e+06,5,1.07836
10,9,4211.58,182.923,1.45417e+06,5,1.07836
10,10,4394.12,182.923,1.45417e+06,5,1.07836
10,1,617.12,39.21,141005,2,1.07836
10,2,757.733,39.21,141005,2,1.07836
10,3,2272.28,39.21,141005,2,1.07836
10,4,2467.44,39.21,141005,4,1.07836
10,5,2878.13,39.21,141005,3,1.07836
10,6,2883.2,39.21,141005,6,1.07836
10,7,2977.14,39.21,141005,4,1.07836
10,8,2997.36,39.21,141005,5,1.07836
10,9,3020.3,39.21,141005,4,1.07836
10,10,3058.64,39.21,141005,4,1.07836
10,1,257.701,124.416,912365,2,1.07836
10,2,1386.53,124.416,912365,3,1.07836
10,3,1477.82,124.416,912365,3,1.07836
10,4,2735.51,124.416,912365,5,1.07836
10,5,2757.72,124.416,912365,5,1.07836
10,6,3314.83,124.416,912365,4,1.07836
10,7,3389.16,124.416,912365,3,1.07836
10,8,3693.16,124.416,912365,8,1.07836
10,9,3847.97,124.416,912365,5,1.07836
10,10,3873.68,124.416,912365,6,1.07836
10,1,1387.84,80.281,332078,2,1.07836
10,2,1876.46,80.281,332078,3,1.07836
10,3,2394.53,80.281,332078,2,1.07836
10,4,2704.95,80.281,332078,6,1.07836
10,5,2925.81,80.281,332078,3,1.07836
10,6,2962.61,80.281,332078,4,1.07836
10,7,3099.02,80.281,332078,5,1.07836
10,8,3419.45,80.281,332078,3,1.07836
10,9,3471.74,80.281,332078,2,1.07836
10,10,3546.82,80.281,332078,4,1.07836
10,1,2164.68,97.58,909246,3,1.07836
10,2,2920.94,97.58,909246,3,1.07836
10,3,3313.41,97.58,909246,3,1.07836
10,4,3417.54,97.58,909246,5,1.07836
10,5,3457.53,97.58,909246,3,1.07836
10,6,3940.67,97.58,909246,7,1.07836
10,7,4006.35,97.58,909246,4,1.07836
10,8,4175.52,97.58,909246,5,1.07836
10,9,4328.95,97.58,909246,4,1.07836
10,10,4368.64,97.58,909246,4,1.07836
10,1,1261.32,88.825,813716,3,1.07836
10,2,1419.8,88.825,813716,2,1.07836
