         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,   48715.7,         1,         1,        64,        50,         0,         0,    302720,    308067,    194272,    544704,         4,    194154,    544704,         6,    545150,     10570,    532765,      9075,      1163,         0,         0,         0,   417.649,       332,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   41206.9,   52994.4
         5,   48980.9,         4,         5,       319,        50,         0,         0,    299141,    311380,    192201,    544704,         3,    190455,    544704,         4,    613657,     10612,    600768,     10201,      1166,      1110,         0,         0,   1991.42,      2401,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   41206.9,   52994.4
        10,     49330,        10,        12,       640,        50,         0,         0,    288537,    315765,    196831,    544704,         3,    191597,    544704,         4,    736257,     11092,    721503,     12386,      1203,      2876,         0,         0,    5100.7,      6123,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   41206.9,   52994.4
        25,   50079.9,        28,        31,      1611,        50,         0,         0,    301858,    325525,    190988,    544704,         4,    191613,    544704,         3,    942355,     12180,    922255,     17086,      1316,      6709,         0,         0,   11509.6,     11970,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   41206.9,   52994.4
        50,   51211.7,        49,        50,      3266,        50,         0,         0,    324708,    339508,    190484,    544704,         3,    191386,    544704,         4,1.03204e+06,     13944,1.00832e+06,     22966,      1465,     11213,         0,         0,     16970,     18707,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   41206.9,   52994.4
         1,     34422,         1,         1,        51,        43,         0,         0,   93421.5,    141549,   55630.7,    193430,         3,   55190.7,    193430,         3,    229521,      4508,    224820,      3822,       510,         0,         0,         0,    181.97,       235,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     55862,   56572.5
         5,   34687.2,         5,         5,       225,        49,         0,         0,   98760.6,    144182,   63336.3,    220823,         3,   63673.9,    220823,         3,    264683,      4537,    260089,      4482,       513,       651,         0,         0,   1396.57,      1796,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     55862,   56572.5
        10,   35024.2,         8,        10,       450,        50,         0,         0,    103385,    147336,     65428,    225674,         3,   66709.5,    225674,         3,    319621,      4719,    314060,      5473,       532,      1489,         0,         0,   2413.16,      3217,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     55862,   56572.5
        25,   35781.3,        35,        35,      1143,        50,         0,         0,    110298,    155168,   65894.6,    225674,         3,   64591.6,    225674,         3,    446883,      5798,    438841,      8359,       625,      3558,         0,         0,   4815.75,      6440,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     55862,   56572.5
        50,   36805.6,        50,        50,      2317,        50,         0,         0,    113622,    165837,   65159.3,    225674,        38,   64572.8,    225674,         3,    493020,      6323,    481999,     11107,       660,      5934,         0,         0,   9248.12,     10296,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     55862,   56572.5
         1,   45407.1,         1,         1,        66,        50,         0,         0,    241342,    273337,    148001,    441360,         3,    148290,    441360,         4,    451968,      8805,    442766,      7570,       970,         0,         0,         0,   248.208,       306,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47217.2,   50297.7
         5,   45672.4,         5,         5,       324,        50,         0,         0,    244597,    277191,    149597,    441360,         3,    147830,    441360,         4,    508611,      8836,    498717,      8550,       973,       969,         0,         0,   1106.43,      1479,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47217.2,   50297.7
        10,   46009.3,         8,        11,       645,        50,         0,         0,    243599,    281953,    149070,    441360,         3,    150727,    441360,         4,    595585,      9100,    584139,     10147,      1002,      2352,         0,         0,   3242.03,      4185,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47217.2,   50297.7
        25,   46786.1,        36,        36,      1626,        50,         0,         0,    259578,    293607,    152323,    441360,         3,    153582,    441360,         4,    800283,     10732,    784722,     14711,      1153,      5614,         0,         0,   9718.16,     10287,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47217.2,   50297.7
        50,   47810.5,        50,        50,      3287,        50,         0,         0,    282241,    308870,    149036,    441360,         4,    146184,    441360,         4,    860794,     11428,    841598,     18786,      1200,      9175,         0,         0,   14306.2,     16467,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47217.2,   50297.7
         1,   45752.2,         1,         1,        75,        50,         0,         0,    249822,    277250,    154215,    457785,         3,    157943,    457785,         4,    487101,      9393,    476773,      8112,       988,         0,         0,         0,   288.977,       353,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   48308.2,   48820.7
         5,   45990.6,         6,         6,       343,        50,         0,         0,    250601,    280630,    154464,    457785,         3,    159887,    457785,         3,    536905,      9410,    526457,      8950,       991,       833,         0,         0,   1710.31,      2223,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   48308.2,   48820.7
        10,   46354.4,         8,        10,       702,        50,         0,         0,    248278,    286026,    160183,    457785,         3,    158077,    457785,         4,    614244,      9610,    602364,     10418,      1010,      2146,         0,         0,    4203.5,      5133,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   48308.2,   48820.7
        25,   47048.3,        34,        34,      1773,        50,         0,         0,    280918,    296429,    161574,    457785,         3,    152904,    457785,         3,    803551,     11134,    787295,     14584,      1152,      5101,         0,         0,   9892.36,     10300,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   48308.2,   48820.7
        50,   48072.6,        50,        50,      3572,        50,         0,         0,    282441,    311988,    155923,    457785,         3,    154669,    457785,         4,    879643,     11689,    859701,     18889,      1208,      9001,         0,         0,   15855.5,     16512,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   48308.2,   48820.7
         1,   42103.9,         1,         1,        56,        44,         0,         0,    178098,    225488,    100296,    313671,         3,   99740.8,    313671,         4,    355549,      7011,    348614,      5986,       793,         0,         0,         0,   256.793,       303,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47211.8,   54923.4
         5,   42369.1,         4,         5,       279,        50,         0,         0,    188818,    228999,    118797,    359881,         2,    120904,    359881,         3,    404869,      7053,    397282,      6830,       796,       828,         0,         0,   1748.02,      2295,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47211.8,   54923.4
        10,   42718.2,        10,        11,       560,        50,         0,         0,    184267,    233556,    120989,    359881,         3,    118477,    359881,         3,    499073,      7339,    489842,      8430,       821,      2191,         0,         0,   3524.37,      4539,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47211.8,   54923.4
        25,     43468,        31,        31,      1411,        50,         0,         0,    196617,    243866,    115370,    359881,         3,    118918,    359881,         3,    659700,      8255,    647422,     12080,       913,      5140,         0,         0,   7632.67,      8752,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47211.8,   54923.4
        50,   44599.9,        50,        50,      2866,        50,         0,         0,    213141,    258893,    117337,    359881,         3,    113893,    359881,         4,    727673,      9586,    711353,     16380,      1015,      8430,         0,         0,   12971.1,     14004,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   47211.8,   54923.4
         1,   42456.6,         1,         1,        48,        49,         0,         0,    192933,    230134,    100083,    313084,         3,    100245,    313084,         4,    321271,      6251,    314420,      5324,       723,         0,         0,         0,   206.864,       255,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   59931.8,   43683.8
         5,   42680.3,         5,         5,       240,        50,         0,         0,    185388,    232739,    101687,    319405,         3,    100721,    319405,         4,    359802,      6270,    352664,      5994,       724,       660,         0,         0,   1316.63,      1648,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   59931.8,   43683.8
        10,   43044.7,        10,        10,       488,        50,         0,         0,    194005,    237051,    102715,    319405,         3,    100220,    319405,         4,    448682,      6785,    440122,      7534,       777,      1788,         0,         0,   3366.88,      3954,    395846,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,   59931.8,   43683.8
