         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,   90908.7,         1,         1,       117,        50,         0,         0,    638332,    497201,1.03657e+06,1.91154e+06,         3,1.02956e+06,1.91154e+06,         5,2.14107e+06,     38835,2.07761e+06,     33988,      3801,         0,         0,         0,   598.248,       611,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     20533,     15751
         5,   91147.1,         6,         6,       553,        50,         0,         0,    584059,    498631,1.06206e+06,1.91154e+06,        14,1.07607e+06,1.91154e+06,         4,2.29255e+06,     38852,2.22904e+06,     36299,      3804,      2306,         0,         0,   3567.11,      3848,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     20533,     15751
        10,   91510.9,         9,        10,      1122,        50,         0,         0,    628975,    500760,1.03679e+06,1.91154e+06,         3,1.05483e+06,1.91154e+06,         4,2.49622e+06,     39117,2.42921e+06,     40110,      3837,      5912,         0,         0,   8595.04,      9724,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     20533,     15751
        25,   92204.8,        31,        31,      2823,        50,         0,         0,    616281,    504947,1.03629e+06,1.91154e+06,         4,1.04039e+06,1.91154e+06,         4,3.04304e+06,     42368,2.96339e+06,     51541,      4119,     14574,         0,         0,   24941.2,     24250,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     20533,     15751
        50,   93229.1,        50,        50,      5672,        50,         0,         0,    605059,    510967,1.04752e+06,1.91154e+06,         5,1.04365e+06,1.91154e+06,         4,3.2613e+06,     43326,3.17143e+06,     63613,      4166,     25832,         0,         0,   47868.1,     39637,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,     20533,     15751
         1,   98699.9,         1,         1,       118,        50,         0,         0,    625032,    521603,1.34077e+06,2.37381e+06,         3,1.3304e+06,2.37381e+06,         4,2.61709e+06,     47185,2.54141e+06,     41513,      4480,         0,         0,         0,   641.446,       626,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      2653,     24734
         5,   98965.1,         4,         5,       593,        50,         0,         0,    607436,    523567,1.35503e+06,2.37381e+06,         3,1.33149e+06,2.37381e+06,         4,2.81343e+06,     47228,2.73471e+06,     44743,      4485,      3214,         0,         0,   3375.57,      4032,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      2653,     24734
        10,   99302.1,         8,        13,      1189,        50,         0,         0,    622740,    526114,1.31671e+06,2.37381e+06,         4,1.3299e+06,2.37381e+06,         5,3.12958e+06,     48267,3.04638e+06,     50643,      4564,      8186,         0,         0,   10635.3,     11335,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      2653,     24734
        25,    100049,        35,        35,      3005,        50,         0,         0,    640155,    531386,1.32549e+06,2.37381e+06,        12,1.3191e+06,2.37381e+06,         5,3.76064e+06,     50698,3.66077e+06,     64001,      4778,     19472,         0,         0,   23748.5,     24965,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      2653,     24734
        50,    101188,        49,        50,      6070,        50,         0,         0,    651756,    539128,1.33132e+06,2.37381e+06,         3,1.33733e+06,2.37381e+06,         4,4.02256e+06,     55055,3.90722e+06,     80418,      5110,     32146,         0,         0,   57722.1,     47894,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      2653,     24734
         1,   73920.6,         1,         1,        42,        43,         0,         0,    358612,    361425,    303469,    725840,         2,    314572,    725840,        14,    803661,     15223,    782372,     13094,      1668,         0,         0,         0,   423.515,       457,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      7964,     66775
         5,   74284.4,         2,         6,       211,        50,         0,         0,    358405,    364413,    347099,    841476,         3,    376976,    841476,         4,1.01919e+06,     17206,    993307,     16729,      1913,      1970,         0,         0,   5729.82,      5957,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      7964,     66775
        10,   74477.2,         7,        12,       424,        50,         0,         0,    366004,    365931,    368713,    841476,         4,    352307,    841476,         4,1.16874e+06,     18200,1.13951e+06,     19353,      1975,      3711,         0,         0,   9193.05,      9277,    418126,    421267,    188905,    383585,    134320,         0,         0,        50,      8385,    109171,      7964,     66775
