vertices: 3940, polygons: 4498
       idx,    K,order,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        15,    5,    2,             2408.11,             2408.11,               27.33,             36745.2,         4,         4
        15,    5,    3,             3444.71,             3444.71,               27.33,             36745.2,         3,         3
        15,    5,    4,             4200.18,             4200.18,               27.33,             36745.2,         4,         4
        16,    5,    0,                   0,                   0,               6.089,             5196.87,         1,         2
        16,    5,    1,             813.499,             813.499,               6.089,             5196.87,         2,         2
        16,    5,    2,             1786.98,             1786.98,               6.089,             5196.87,         2,         2
        16,    5,    3,             1899.89,             1899.89,               6.089,             5196.87,         2,         2
        16,    5,    4,             2029.02,             2029.02,               6.089,             5196.87,         2,         2
        17,    5,    0,                   0,                   0,              22.709,             42425.5,         1,         2
        17,    5,    1,             1975.83,             1975.83,              22.709,             42425.5,         2,         2
        17,    5,    2,             4280.28,             4280.28,              22.709,             42425.5,         4,         4
        17,    5,    3,             4759.11,             4759.11,              22.709,             42425.5,         3,         3
        17,    5,    4,             6636.68,             6636.68,              22.709,             42425.5,         3,         3
        18,    5,    0,                   0,                   0,              18.734,             80212.1,         1,         2
        18,    5,    1,             1799.11,             1799.11,              18.734,             80212.1,         2,         2
        18,    5,    2,             4855.39,             4855.39,              18.734,             80212.1,         3,         3
        18,    5,    3,             4900.46,             4900.46,              18.734,             80212.1,         3,         3
        18,    5,    4,             5543.41,             5543.41,              18.734,             80212.1,         3,         3
        19,    5,    0,                   0,                   0,              29.758,              890215,         1,         2
        19,    5,    1,             5003.95,             5003.95,              29.758,              890215,         3,         3
        19,    5,    2,             5170.96,             5170.96,              29.758,              890215,         3,         3
        19,    5,    3,             5432.26,             5432.26,              29.758,              890215,         2,         2
        19,    5,    4,             5989.96,             5989.96,              29.758,              890215,         2,         2
        20,    5,    0,                   0,                   0,               5.337,             14632.4,         1,         2
        20,    5,    1,             2333.36,             2333.36,               5.337,             14632.4,         2,         2
        20,    5,    2,              2700.1,              2700.1,               5.337,             14632.4,         2,         2
        20,    5,    3,             2962.16,             2962.16,               5.337,             14632.4,         2,         2
