         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         4,   24150.1,   98705.9,    192024,   67156.6,      3642,     63129,      3724,       626,   28423.4,     47285,    199189,    327612,    453630,    413370,    188905,    374639,        15,      8385
         4,   25229.4,   91408.2,    190830,   84073.2,      4805,     78982,      4847,       799,   28296.8,     51355,    195360,    360747,    453630,    413370,    188905,    374639,        15,      8385
         4,   27852.2,   53631.3,    125278,   30587.1,      1665,     28939,      1735,       383,   54788.8,     85698,    294039,    485805,    453630,    413370,    188905,    374639,        15,      8385
         4,   22999.9,   67853.1,    141545,    105741,      5883,     99702,      5944,       906,   28343.1,     54894,    191826,    353681,    453630,    413370,    188905,    374639,        15,      8385
         4,   31031.7,   66038.1,    134534,   65812.7,      3972,     61591,      3881,       589,   78283.1,    110507,    373459,    594750,    453630,    413370,    188905,    374639,        15,      8385
         4,     15223,   93746.1,    181615,   22954.2,      1374,     21707,      1343,       225,   9338.27,     18939,   63521.3,    142541,    453630,    413370,    188905,    374639,        15,      8385
         4,   63129.4,    280829,    494074,    643965,     35077,    600091,     35313,      4888,    127254,    167495,    752680,1.19508e+06,    453630,    413370,    188905,    374639,        15,      8385
         4,   29276.5,   44306.4,    107207,   75587.7,      3880,     71371,      4160,       886,   60454.3,     95242,    304407,    533665,    453630,    413370,    188905,    374639,        15,      8385
         4,   21121.7,    113953,    219818,   29890.7,      1809,     28070,      1831,       307,   22047.8,     40849,    157751,    294959,    453630,    413370,    188905,    374639,        15,      8385
         4,   42899.3,     96084,    200395,    144868,      7620,    136600,      8237,      1776,     95533,    136105,    474723,    752483,    453630,    413370,    188905,    374639,        15,      8385
         4,   45705.1,    159883,    319026,    366419,     19994,    344397,     20381,      3247,   87136.1,    126446,    451578,    787435,    453630,    413370,    188905,    374639,        15,      8385
