K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
3,16527.6,3710.89,7602.29,6897,5,284,8364,7164,574,25330,30,877,643,2,1513,108,0.00411523
3,20889.1,3710.89,7602.29,6897,7,284,8364,7164,574,25330,30,877,643,2,1513,108,0.00411523
3,21311.6,3710.89,7602.29,6897,19,284,8364,7164,574,25330,30,877,643,2,1513,108,0.00411523
3,11220.1,20123,19033.8,17069,9,868,35619,32844,3540,147784,71,1842,1367,23,4216,81,0.00411523
3,14598.6,20123,19033.8,17069,4,868,35619,32844,3540,147784,71,1842,1367,23,4216,81,0.00411523
3,50674.8,20123,19033.8,17069,22,868,35619,32844,3540,147784,71,1842,1367,23,4216,81,0.00411523
3,23455.9,16560.9,26079.3,23554,5,761,32374,30065,3187,132131,103,3016,2437,53,6855,381,0.00411523
3,32155.8,16560.9,26079.3,23554,18,761,32374,30065,3187,132131,103,3016,2437,53,6855,381,0.00411523
3,49045.3,16560.9,26079.3,23554,27,761,32374,30065,3187,132131,103,3016,2437,53,6855,381,0.00411523
3,20042.9,26683.7,40189.2,35675,9,1182,47203,44007,4794,201177,168,4419,3297,65,9996,269,0.00411523
3,43254.4,26683.7,40189.2,35675,8,1182,47203,44007,4794,201177,168,4419,3297,65,9996,269,0.00411523
3,50226.1,26683.7,40189.2,35675,42,1182,47203,44007,4794,201177,168,4419,3297,65,9996,269,0.00411523
3,8779.81,13623.9,5196.06,4722,6,604,25056,23119,2432,100804,32,623,440,0,871,115,0.00411523
3,15821.1,13623.9,5196.06,4722,9,604,25056,23119,2432,100804,32,623,440,0,871,115,0.00411523
3,39310,13623.9,5196.06,4722,8,604,25056,23119,2432,100804,32,623,440,0,871,115,0.00411523
3,23138,7493.89,9575.91,8778,6,468,16873,14947,1383,56641,45,1048,767,3,1733,160,0.00411523
3,25077.6,7493.89,9575.91,8778,9,468,16873,14947,1383,56641,45,1048,767,3,1733,160,0.00411523
