k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
5,5,29979.5,5467.15,24655.6,22618.3,15021.6,19848,12435,6,15552,14972,40696,39667,3757,2424,2998,15,2666,0,2424,2996,15,1782,666,186021,217392,87168,199904,8,3894
5,5,57956.1,19250.5,41860.6,141177,92400.9,124028,75430,45,51562,49878,69143,67772,7313,13479,16466,432,15079,0,13824,16902,494,10634,3514,186021,217392,87168,199904,8,3894
5,5,40392.2,11736.8,36344.7,47886.6,33113.6,42914,27920,34,30851,29900,63177,61901,6449,4951,6146,96,5506,0,4951,6146,96,3760,1366,186021,217392,87168,199904,8,3894
5,5,43309.1,9747.81,40797.6,44459.4,37651.8,38999,31698,27,26843,26054,70313,68881,7183,5737,6556,77,5830,0,5737,6556,77,4597,995,186021,217392,87168,199904,8,3894
5,5,56374.4,11506,66215.7,98388.2,83515.2,86521,70652,36,34485,33399,102844,100856,10710,10767,12534,313,11309,0,10767,12534,313,9842,2091,186021,217392,87168,199904,8,3894
5,5,62137.3,17964.5,71004.5,136916,121099,119965,101699,53,48534,47110,107731,105716,11164,14820,17334,484,15722,0,14820,17334,484,13789,2927,186021,217392,87168,199904,8,3894
5,5,52763.5,18416.2,52891.5,88307.3,77175.7,78435,66069,43,49959,48453,75721,74251,7897,9817,12117,249,10915,0,9817,12117,249,9296,2599,186021,217392,87168,199904,8,3894
5,5,55798.7,14347.4,45419.5,102800,82601.3,90621,70237,30,40011,38715,74496,72957,7601,10951,13635,239,12356,0,10951,13635,239,9344,3037,186021,217392,87168,199904,8,3894
5,5,32706.5,3915.91,29119.7,35355.9,28256.8,31605,24328,6,12977,12563,53529,52402,4836,3534,4542,46,4086,0,3613,4613,55,3275,1117,186021,217392,87168,199904,8,3894
5,5,33397.2,6231.83,24559.9,21834.4,17629.6,19231,14893,15,18863,18164,47201,46038,4541,2727,3117,39,2776,0,2727,3115,39,2215,500,186021,217392,87168,199904,8,3894
5,5,48588.5,10994.5,44258.3,114222,72212.4,101753,59988,33,31875,30957,78377,76849,8142,11489,13966,281,12565,0,11497,13958,285,7888,2780,186021,217392,87168,199904,8,3894
5,5,51830.7,20480.2,42274,90700.9,74038.2,80261,62901,43,49179,47704,74635,73175,7772,9501,11771,232,10613,0,9501,11771,232,8996,2560,186021,217392,87168,199904,8,3894
5,5,58231.9,12850.6,58877.9,119093,101768,105499,86625,48,36759,35647,94580,92778,10040,12631,15180,354,13692,0,12631,15180,354,10799,2923,186021,217392,87168,199904,8,3894
5,5,47493.7,10622.6,48587.6,66560.6,57981.4,57912,48467,37,31351,30396,77217,75634,7861,8301,9606,282,8656,0,8301,9605,282,7329,1553,186021,217392,87168,199904,8,3894
5,5,40784.5,9108.92,30921.7,44476.9,33266.6,39883,28529,13,25547,24662,57386,56141,5804,4693,5714,99,5141,0,4693,5712,99,4332,1184,186021,217392,87168,199904,8,3894
5,5,60654.5,19878.3,48974.6,98304,96840.2,86438,82280,50,53909,52141,85218,83597,9082,11668,13519,340,12124,0,11668,13519,340,10851,2232,186021,217392,87168,199904,8,3894
5,5,73587.5,30570.7,69459.3,199182,145608,174111,119736,67,75580,73375,103936,102109,11179,20683,25000,728,22760,0,20683,25000,728,17663,4903,186021,217392,87168,199904,8,3894
5,5,42775.5,8977.36,39649.9,50900.4,44008.9,44343,36856,28,27006,26189,69788,68307,7065,6213,7321,215,6586,0,6213,7319,215,5462,1287,186021,217392,87168,199904,8,3894
5,5,53979.4,16220.5,46422.9,80964.1,63485.4,70831,52690,43,44267,42962,78625,77116,8278,9170,10556,218,9439,0,9170,10552,218,7384,1660,186021,217392,87168,199904,8,3894
5,5,48954.1,22015.9,40404,79800.4,57462.4,72039,49298,3,45061,43774,70563,69170,7315,6740,8993,101,8158,0,6740,8993,101,6072,2463,186021,217392,87168,199904,8,3894
5,5,53023.6,12046.6,49960.5,68413.9,57642.4,60706,49339,27,35158,34062,84775,83101,8841,7289,8891,185,8002,0,7289,8891,185,7108,1840,186021,217392,87168,199904,8,3894
