         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         8,   43613.9,     48012,    117181,    286447,     17304,    265890,     19153,      4519,    171138,    194682,    676617,    920166,    457320,    413370,    188905,    374639,        15,      8385
         8,   61180.3,    103351,    200999,    410386,     27313,    376058,     30327,      7062,    157573,    206887,    742425,1.14427e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   61338.4,    119560,    241739,    654584,     37727,    605482,     43807,     11249,    216601,    250034,    817033,1.24129e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   54728.9,     84702,    183031,    441377,     30690,    405200,     33018,      6468,    196684,    235380,    774894,1.09748e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   56341.2,    125843,    252128,    424193,     29960,    388941,     30865,      5096,    153653,    203954,    655568,1.04149e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   38878.4,   46153.3,    111175,    298143,     20727,    275001,     21053,      3457,    137968,    179028,    523711,    851218,    457320,    413370,    188905,    374639,        15,      8385
         8,   41853.6,   54404.5,    127450,    280893,     18393,    259649,     20244,      4490,    167314,    200944,    614860,    898999,    457320,    413370,    188905,    374639,        15,      8385
         8,   54068.6,   98481.5,    207533,    688828,     41543,    632968,     44822,      8970,    178006,    211504,    693088,1.09501e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   56842.9,   93882.1,    206325,    558313,     29597,    514388,     34598,      9188,    219298,    245529,    781940,1.12902e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   35768.9,   46200.4,    108349,    210199,     12806,    196184,     14364,      3528,    114088,    155951,    503258,    756810,    457320,    413370,    188905,    374639,        15,      8385
         8,   40561.6,   61461.9,    135002,    286417,     18530,    265258,     20507,      4663,    148991,    188788,    586305,    864421,    457320,    413370,    188905,    374639,        15,      8385
         8,   45415.7,   69681.6,    153023,    301303,     17898,    277473,     19617,      4360,    140805,    173464,    578053,    930390,    457320,    413370,    188905,    374639,        15,      8385
         8,   52757.4,   54218.6,    112747,    352661,     24200,    322717,     25712,      5074,    193828,    235803,    730660,1.05308e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   48829.6,   91968.6,    182567,    455827,     25398,    418410,     29059,      7153,    191308,    207802,    673054,1.04166e+06,    457320,    413370,    188905,    374639,        15,      8385
         8,   47124.9,     77583,    167958,    228490,     15768,    210916,     17502,      4217,    138386,    174603,    602577,    982842,    457320,    413370,    188905,    374639,        15,      8385
         8,   36809.2,   61303.9,    133745,    140337,      9572,    129631,     10268,      2209,    117209,    151937,    499517,    755505,    457320,    413370,    188905,    374639,        15,      8385
         8,   41303.9,   43864.2,    105868,    212793,     12800,    197415,     14869,      3952,    159645,    193983,    600569,    893163,    457320,    413370,    188905,    374639,        15,      8385
         8,   40852.2,   35229.1,     92220,    375718,     24367,    347710,     25511,      4698,    177484,    211410,    621082,    951919,    457320,    413370,    188905,    374639,        15,      8385
         8,   39933.6,   75897.3,    149714,    271571,     16243,    251533,     18083,      4345,    117862,    146444,    481349,    780407,    457320,    413370,    188905,    374639,        15,      8385
