K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
7,35225.2,319886,472728,416544,20,5351,310073,296635,32027,1945839,1322,53830,46299,1477,150114,10725,0.00149388
7,49483.8,319886,472728,416544,16,5351,310073,296635,32027,1945839,1322,53830,46299,1477,150114,10725,0.00149388
7,58432.5,319886,472728,416544,19,5351,310073,296635,32027,1945839,1322,53830,46299,1477,150114,10725,0.00149388
7,61322.3,319886,472728,416544,62,5351,310073,296635,32027,1945839,1322,53830,46299,1477,150114,10725,0.00149388
7,75227.5,319886,472728,416544,34,5351,310073,296635,32027,1945839,1322,53830,46299,1477,150114,10725,0.00149388
7,77246.8,319886,472728,416544,11,5351,310073,296635,32027,1945839,1322,53830,46299,1477,150114,10725,0.00149388
7,86557.4,319886,472728,416544,89,5351,310073,296635,32027,1945839,1322,53830,46299,1477,150114,10725,0.00149388
7,7400.32,197675,278195,242602,10,4249,222854,211864,22836,1258702,980,35397,30214,955,110391,4837,0.00149388
7,20438.8,197675,278195,242602,29,4249,222854,211864,22836,1258702,980,35397,30214,955,110391,4837,0.00149388
7,26409,197675,278195,242602,4,4249,222854,211864,22836,1258702,980,35397,30214,955,110391,4837,0.00149388
7,43901.4,197675,278195,242602,32,4249,222854,211864,22836,1258702,980,35397,30214,955,110391,4837,0.00149388
7,47851.9,197675,278195,242602,31,4249,222854,211864,22836,1258702,980,35397,30214,955,110391,4837,0.00149388
7,51805.8,197675,278195,242602,54,4249,222854,211864,22836,1258702,980,35397,30214,955,110391,4837,0.00149388
7,55030.7,197675,278195,242602,59,4249,222854,211864,22836,1258702,980,35397,30214,955,110391,4837,0.00149388
7,5806.66,222682,284838,248477,10,4582,243081,231331,24430,1389224,940,37116,31696,887,116243,5021,0.00149388
7,14180.9,222682,284838,248477,12,4582,243081,231331,24430,1389224,940,37116,31696,887,116243,5021,0.00149388
7,28560.5,222682,284838,248477,26,4582,243081,231331,24430,1389224,940,37116,31696,887,116243,5021,0.00149388
7,34360.7,222682,284838,248477,29,4582,243081,231331,24430,1389224,940,37116,31696,887,116243,5021,0.00149388
7,54033.4,222682,284838,248477,47,4582,243081,231331,24430,1389224,940,37116,31696,887,116243,5021,0.00149388
7,57056.8,222682,284838,248477,35,4582,243081,231331,24430,1389224,940,37116,31696,887,116243,5021,0.00149388
7,60866.9,222682,284838,248477,70,4582,243081,231331,24430,1389224,940,37116,31696,887,116243,5021,0.00149388
7,30267.3,306067,531317,472502,29,5142,305758,292782,31535,1942504,1362,58180,50482,1789,177411,11123,0.00149388
7,44200.6,306067,531317,472502,15,5142,305758,292782,31535,1942504,1362,58180,50482,1789,177411,11123,0.00149388
7,61270,306067,531317,472502,54,5142,305758,292782,31535,1942504,1362,58180,50482,1789,177411,11123,0.00149388
7,63353.8,306067,531317,472502,39,5142,305758,292782,31535,1942504,1362,58180,50482,1789,177411,11123,0.00149388
7,71022.4,306067,531317,472502,5,5142,305758,292782,31535,1942504,1362,58180,50482,1789,177411,11123,0.00149388
7,76844.3,306067,531317,472502,20,5142,305758,292782,31535,1942504,1362,58180,50482,1789,177411,11123,0.00149388
7,85138.6,306067,531317,472502,102,5142,305758,292782,31535,1942504,1362,58180,50482,1789,177411,11123,0.00149388
