K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
2,20736.5,7276.69,8849.26,8049,4,442,14638,12837,1181,48523,56,985,715,16,1959,43,0.00411523
2,26630.4,7276.69,8849.26,8049,22,442,14638,12837,1181,48523,56,985,715,16,1959,43,0.00411523
2,16865.6,2947.47,4980.65,4582,6,199,7031,6186,530,22857,20,578,434,6,1116,49,0.00411523
2,23643.2,2947.47,4980.65,4582,8,199,7031,6186,530,22857,20,578,434,6,1116,49,0.00411523
2,29229.6,19624.6,25749.6,23275,13,839,36764,33949,3823,164595,99,2695,2027,28,6221,160,0.00411523
2,67417.3,19624.6,25749.6,23275,12,839,36764,33949,3823,164595,99,2695,2027,28,6221,160,0.00411523
2,12765.6,6240.8,6041.02,5549,9,370,11902,10356,899,38717,27,617,484,1,1262,41,0.00411523
2,24447.9,6240.8,6041.02,5549,14,370,11902,10356,899,38717,27,617,484,1,1262,41,0.00411523
2,16228.3,5949.89,10786,9963,12,291,9089,7870,634,28603,42,1002,750,14,2217,61,0.00411523
2,22459.1,5949.89,10786,9963,11,291,9089,7870,634,28603,42,1002,750,14,2217,61,0.00411523
2,25637.9,15612.3,17307.5,15787,26,801,30452,28181,3059,123501,74,1864,1397,12,4011,147,0.00411523
2,45187.7,15612.3,17307.5,15787,27,801,30452,28181,3059,123501,74,1864,1397,12,4011,147,0.00411523
2,13419.2,8642.99,15861.8,14533,13,514,18857,16787,1847,72199,62,1664,1254,43,3880,54,0.00411523
2,38746.3,8642.99,15861.8,14533,26,514,18857,16787,1847,72199,62,1664,1254,43,3880,54,0.00411523
2,13396.3,11650,11113.9,10119,7,631,23544,21163,2106,87201,61,1231,912,36,2769,39,0.00411523
2,33255.6,11650,11113.9,10119,27,631,23544,21163,2106,87201,61,1231,912,36,2769,39,0.00411523
2,23508.9,7257.16,12449,11381,5,423,16483,15066,1482,64229,50,1339,999,17,2611,110,0.00411523
2,32025,7257.16,12449,11381,18,423,16483,15066,1482,64229,50,1339,999,17,2611,110,0.00411523
2,15859.2,9052.62,8666.02,7943,4,529,20379,18500,1876,77639,37,847,616,7,1713,23,0.00411523
2,32452.9,9052.62,8666.02,7943,28,529,20379,18500,1876,77639,37,847,616,7,1713,23,0.00411523
2,26422.7,14796.2,19869.3,18046,10,750,29362,27195,2911,121722,89,2153,1656,37,5809,115,0.00411523
2,50675.7,14796.2,19869.3,18046,15,750,29362,27195,2911,121722,89,2153,1656,37,5809,115,0.00411523
2,27033.1,8509.12,17310.2,15738,21,410,15394,13746,1295,52751,64,1781,1377,22,3930,164,0.00411523
2,32594.5,8509.12,17310.2,15738,22,410,15394,13746,1295,52751,64,1781,1377,22,3930,164,0.00411523
2,17011.7,4387.87,7060.52,6493,10,249,10490,9516,792,37927,32,752,571,11,1400,93,0.00411523
2,26712.7,4387.87,7060.52,6493,18,249,10490,9516,792,37927,32,752,571,11,1400,93,0.00411523
2,8940.19,1212.88,2582.06,2385,3,130,3274,2692,149,9167,15,293,218,0,491,26,0.00411523
2,13420,1212.88,2582.06,2385,5,130,3274,2692,149,9167,15,293,218,0,491,26,0.00411523
2,7157.01,15870.9,6680.59,6127,6,822,32829,29920,3085,126837,32,728,523,0,1565,23,0.00411523
2,41123,15870.9,6680.59,6127,13,822,32829,29920,3085,126837,32,728,523,0,1565,23,0.00411523
2,1716.78,467.803,810.992,741,3,58,1504,1180,40,4093,11,96,64,0,142,6,0.00411523
2,9748.49,467.803,810.992,741,10,58,1504,1180,40,4093,11,96,64,0,142,6,0.00411523
2,16010.9,15714.2,3269.62,2985,4,856,31615,28858,3137,125003,27,364,246,0,680,36,0.00411523
2,39032.3,15714.2,3269.62,2985,4,856,31615,28858,3137,125003,27,364,246,0,680,36,0.00411523
2,19638.9,6202.72,3838.39,3535,6,414,14665,12952,1161,48229,16,432,305,0,769,51,0.00411523
2,26909.1,6202.72,3838.39,3535,9,414,14665,12952,1161,48229,16,432,305,0,769,51,0.00411523
2,11463.3,20581.6,7631.64,6928,4,990,38454,34680,3738,146544,47,842,593,4,1923,35,0.00411523
2,40899.1,20581.6,7631.64,6928,14,990,38454,34680,3738,146544,47,842,593,4,1923,35,0.00411523
2,18150.2,14082.7,24223.5,22011,17,703,29068,26850,2851,118567,91,2669,2096,50,6471,81,0.00411523
2,45724.3,14082.7,24223.5,22011,31,703,29068,26850,2851,118567,91,2669,2096,50,6471,81,0.00411523
2,22488.6,10037.3,18518.8,16939,22,550,21148,19064,1913,76553,69,1905,1473,29,4573,129,0.00411523
2,37908,10037.3,18518.8,16939,18,550,21148,19064,1913,76553,69,1905,1473,29,4573,129,0.00411523
2,6168.08,21689.2,3562.44,3214,8,982,39875,36302,3877,157686,37,420,261,0,729,16,0.00411523
2,42923.8,21689.2,3562.44,3214,7,982,39875,36302,3877,157686,37,420,261,0,729,16,0.00411523
2,25338.9,19674.8,16358.4,14864,18,965,37483,34702,3748,153537,71,1768,1331,24,3846,135,0.00411523
2,44342,19674.8,16358.4,14864,43,965,37483,34702,3748,153537,71,1768,1331,24,3846,135,0.00411523
2,5818,1761.19,1285.76,1189,4,140,4115,3490,218,13893,13,148,91,0,197,15,0.00411523
2,14870,1761.19,1285.76,1189,8,140,4115,3490,218,13893,13,148,91,0,197,15,0.00411523
2,7974.82,1452.91,1308.42,1209,6,176,4310,3544,212,11963,10,147,95,0,193,17,0.00411523
2,15852.4,1452.91,1308.42,1209,12,176,4310,3544,212,11963,10,147,95,0,193,17,0.00411523
2,21007.7,9527.81,6345.42,5809,11,595,21263,18657,1889,71387,31,649,457,3,1105,77,0.00411523
2,31276.7,9527.81,6345.42,5809,7,595,21263,18657,1889,71387,31,649,457,3,1105,77,0.00411523
2,15192.4,18609.3,4753.09,4373,11,860,33340,30832,3286,137225,20,399,272,0,729,42,0.00411523
2,42675,18609.3,4753.09,4373,5,860,33340,30832,3286,137225,20,399,272,0,729,42,0.00411523
2,1496.06,1372.14,1855.08,1702,2,111,3470,2851,174,9198,15,205,132,1,361,5,0.00411523
2,14241.1,1372.14,1855.08,1702,12,111,3470,2851,174,9198,15,205,132,1,361,5,0.00411523
2,24080.1,4930.52,8186.92,7512,8,332,11338,9929,884,36287,29,833,601,5,1656,57,0.00411523
2,24442.5,4930.52,8186.92,7512,8,332,11338,9929,884,36287,29,833,601,5,1656,57,0.00411523
2,11916.7,7784.72,10047,9200,6,479,17255,15298,1590,64289,45,1065,785,20,2311,57,0.00411523
2,32954.3,7784.72,10047,9200,16,479,17255,15298,1590,64289,45,1065,785,20,2311,57,0.00411523
2,21176.3,5128.95,7482.04,6996,6,352,11796,10227,900,37944,25,532,384,2,934,64,0.00411523
2,24368.4,5128.95,7482.04,6996,6,352,11796,10227,900,37944,25,532,384,2,934,64,0.00411523
2,21529.4,5490.53,1201.25,1093,3,344,11497,10000,908,35405,9,173,105,0,213,35,0.00411523
2,23942.1,5490.53,1201.25,1093,4,344,11497,10000,908,35405,9,173,105,0,213,35,0.00411523
2,30015.3,12563.9,37865.8,34743,27,618,26607,24513,2691,110397,109,3272,2569,68,7915,228,0.00411523
2,50994.1,12563.9,37865.8,34743,27,618,26607,24513,2691,110397,109,3272,2569,68,7915,228,0.00411523
2,24260.8,4929.75,7033.45,6477,21,342,11426,10074,874,39289,35,731,541,4,1189,104,0.00411523
2,25506.2,4929.75,7033.45,6477,4,342,11426,10074,874,39289,35,731,541,4,1189,104,0.00411523
2,19700.9,2501.74,5864,5395,16,209,6214,5380,452,21430,26,630,470,1,1280,72,0.00411523
2,21877.9,2501.74,5864,5395,7,209,6214,5380,452,21430,26,630,470,1,1280,72,0.00411523
2,19224.5,5701.36,10391.4,9509,12,300,13086,11892,1049,47734,41,1095,820,13,2309,109,0.00411523
2,29686.1,5701.36,10391.4,9509,23,300,13086,11892,1049,47734,41,1095,820,13,2309,109,0.00411523
2,7400.32,823.508,2010.28,1852,5,92,2567,2178,155,7606,16,224,150,1,336,14,0.00411523
