k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
3,3,49162.6,4711.67,59927.8,44728.2,28302.5,34338,18330,31,13595,13167,83905,82208,8446,9527,10360,267,9199,0,9527,10358,267,4827,1119,152177,165201,68511,151202,4,3062
3,3,56178.9,5394.44,38129.3,27417.4,17745.8,20976,11988,30,13995,13554,69733,68372,6842,6080,6268,150,5536,0,6080,6268,150,3999,385,152177,165201,68511,151202,4,3062
3,3,57808.8,4249.76,41871.3,40104.1,32836.6,30139,21596,46,12674,12266,73462,72019,7399,10500,10770,311,9552,0,10500,10770,311,5833,612,152177,165201,68511,151202,4,3062
3,3,90181.5,15351.8,77774.5,83922.5,68534.9,63453,46071,75,35560,34534,119935,117858,12191,19135,20288,693,18187,0,19135,20288,693,14025,1687,152177,165201,68511,151202,4,3062
3,3,57652.3,2528.54,55321.2,23933.4,17622.5,18216,11919,30,7616,7395,92356,90505,9364,6221,6497,127,5722,0,6221,6497,127,3981,457,152177,165201,68511,151202,4,3062
3,3,58928.9,7792.75,87755.4,30377.1,24128.8,23072,16421,28,18661,18104,117299,114956,11966,6849,7139,168,6307,0,6849,7139,168,4353,493,152177,165201,68511,151202,4,3062
3,3,72180.6,9003.24,86552,30700.6,25550.4,23623,18026,17,22638,22014,124366,122060,12742,7385,8021,141,7115,0,7385,8021,141,5489,844,152177,165201,68511,151202,4,3062
3,3,64996.9,8365.45,79468.3,27891.5,22499,21421,15555,28,21164,20542,123713,121312,12854,7360,7662,187,6789,0,7360,7662,187,5079,522,152177,165201,68511,151202,4,3062
3,3,47944.4,4424.48,61850,19418.5,11497.4,15415,7990,9,12073,11703,92928,90973,9224,3967,4527,82,4034,0,3967,4527,82,2300,683,152177,165201,68511,151202,4,3062
3,3,96979.3,24323.8,101547,83211.8,65500.8,64205,45224,80,51762,50219,146093,143626,15158,17797,19510,580,17527,0,17797,19510,580,12574,2267,152177,165201,68511,151202,4,3062
3,3,96315.8,23546.1,98904.3,84658.6,70525,65222,46745,71,50643,49161,146124,143645,15327,18361,19792,637,17780,0,18361,19792,637,13762,1986,152177,165201,68511,151202,4,3062
3,3,85923.3,10224.6,79374.2,69386.2,52540,53060,35779,70,25285,24526,114966,112910,12114,15206,16119,597,14508,0,15206,16119,597,11351,1343,152177,165201,68511,151202,4,3062
3,3,70784.6,7026.97,81239.3,25181.4,21499.6,19575,15714,4,17523,17014,119711,117482,12457,4999,5786,121,5164,0,4999,5786,121,4084,942,152177,165201,68511,151202,4,3062
3,3,54891.2,7493.41,67090.5,28150.8,20446.6,21670,14320,46,18554,18033,98419,96379,9889,6333,6613,179,5889,0,6333,6613,179,4347,479,152177,165201,68511,151202,4,3062
3,3,64400.5,7376.11,68210.7,62825.3,50300.2,47167,34181,52,20298,19704,105485,103441,10979,14361,15214,535,13545,0,14361,15214,535,9849,1235,152177,165201,68511,151202,4,3062
3,3,34316.4,2204.28,23601.8,14703.1,6063.96,12119,4077,11,6682,6491,46506,45442,4321,2511,2797,14,2473,0,2511,2797,14,1048,356,152177,165201,68511,151202,4,3062
3,3,59359.7,11104.8,80308.4,29612.5,22609.5,22798,15517,33,19923,19339,116269,113938,11934,6902,7222,163,6370,0,6902,7222,163,4424,530,152177,165201,68511,151202,4,3062
3,3,52748.2,4285.23,38924.3,19774.7,14431.1,14976,9739,26,12218,11834,67671,66346,6545,5042,5279,97,4633,0,5042,5278,97,3174,400,152177,165201,68511,151202,4,3062
3,3,59882.8,2829.96,61816.8,29226.8,21670.2,22326,14965,33,8623,8355,94361,92481,9529,6896,7149,171,6338,0,6896,7149,171,4637,460,152177,165201,68511,151202,4,3062
3,3,60146,4544.78,41894.3,37342.7,26388.6,28143,17304,49,13177,12758,72942,71527,7499,9105,9460,248,8433,0,9105,9460,248,5293,646,152177,165201,68511,151202,4,3062
3,3,42974.7,1003.55,31717.6,9812.07,7284.98,7692,5226,6,3418,3287,58005,56751,5597,2029,2365,10,2093,0,2029,2365,10,1454,413,152177,165201,68511,151202,4,3062
3,3,47675.1,4811.64,43377,43851,23260.8,35886,15883,28,12678,12304,76479,74914,7617,8134,9000,188,7967,0,8134,9000,188,3629,1111,152177,165201,68511,151202,4,3062
3,3,37898.9,1864.84,30102.7,7930.01,5282.16,6153,3555,17,5464,5291,57315,55998,5610,1993,2159,24,1874,0,2172,2403,24,1038,307,152177,165201,68511,151202,4,3062
3,3,41094.6,4577.38,37567.8,30361.4,19186.6,24252,13252,26,12731,12365,66588,65068,6302,5835,6119,140,5461,0,5835,6119,140,3604,463,152177,165201,68511,151202,4,3062
3,3,78565.7,11085.7,87507.5,101322,82187.3,76317,55149,25,28019,27182,125052,122733,12878,22292,23436,758,20931,0,22292,23436,758,16322,1777,152177,165201,68511,151202,4,3062
3,3,63308.2,5719.87,57179.4,38177.2,33629.4,28849,23537,51,15794,15285,93330,91483,9612,9291,9842,239,8766,0,9291,9842,239,7259,855,152177,165201,68511,151202,4,3062
3,3,45696.1,2528,24621.3,29237.2,22539,22990,15772,39,6703,6478,46664,45639,4641,6021,6266,150,5520,0,6021,6266,150,4017,441,152177,165201,68511,151202,4,3062
3,3,54819.3,7629.63,65585.3,22282.8,16759.5,17060,11536,45,19084,18528,102747,100635,10301,5666,5972,144,5281,0,5666,5972,144,3739,494,152177,165201,68511,151202,4,3062
3,3,44090.2,3997.96,43020.8,30568.3,14500.6,24829,9915,19,11794,11424,77371,75703,7743,5313,5920,107,5266,0,5313,5920,107,2724,785,152177,165201,68511,151202,4,3062
3,3,64239.1,8607.88,63289,71068.3,52718.6,54237,35527,62,22032,21410,100283,98384,10441,15086,15942,507,14222,0,15086,15942,507,10134,1248,152177,165201,68511,151202,4,3062
3,3,49088,6894.42,64538.1,20791.5,14699.8,16045,10221,8,12530,12170,93990,92023,9607,4283,4899,96,4395,0,4283,4899,96,2692,741,152177,165201,68511,151202,4,3062
3,3,64418.5,6702.6,55029.3,39146.1,35496.7,29750,25283,52,18423,17840,92748,90915,9769,9580,10208,283,9107,0,9580,10208,283,7815,940,152177,165201,68511,151202,4,3062
3,3,56910.7,3904.52,43213.6,22641.2,17898.4,16971,12212,22,11258,10918,76563,74999,8001,5651,5971,124,5251,0,5651,5971,124,3868,498,152177,165201,68511,151202,4,3062
3,3,60276.2,4822.59,38912.7,42529.4,31614.5,31868,21178,55,13968,13561,70412,69073,7418,10264,10749,310,9656,0,10264,10749,310,6338,777,152177,165201,68511,151202,4,3062
3,3,76081.6,15383.7,79622.6,51978.5,43160.4,40437,30019,65,36041,34983,117893,115636,12481,11520,12416,369,11135,0,11520,12416,369,8348,1253,152177,165201,68511,151202,4,3062
3,3,94509.5,29854.3,98825.3,73509.3,59877.1,55983,41130,79,51407,49869,142169,139701,14682,16158,17645,515,15877,0,16158,17645,515,11060,2005,152177,165201,68511,151202,4,3062
3,3,69895.4,5751.59,60643,24138.7,20012.5,17819,13403,18,13803,13389,101071,99193,10539,6373,6488,111,5700,0,6373,6486,111,4523,311,152177,165201,68511,151202,4,3062
