         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
        12,   55171.5,   51567.3,    124002,    610812,     47354,    549035,     53044,     12174,    336552,    338129,1.0351e+06,1.28814e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   60877.4,   57651.1,    140485,    700126,     51892,    635705,     60506,     15820,    338303,    354239,    970337,1.36254e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   76611.6,   77626.3,    166419,    559155,     46604,    501520,     55907,     15671,    420490,    414484,1.23416e+06,1.62117e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   65651.2,   58756.6,    142515,    706255,     51891,    640845,     61417,     16678,    324639,    345657,    989302,1.38699e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   67760.9,   61616.2,    142266,    538571,     43639,    483796,     51480,     13961,    405027,    409276,1.12547e+06,1.47308e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   73861.5,   75309.8,    173617,    729865,     66543,    649014,     72848,     15258,    276588,    325818,    994192,1.47171e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   65954.5,   71713.2,    166169,    766908,     60661,    688097,     69687,     17116,    343373,    367819,1.00495e+06,1.42658e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     69012,   69276.8,    139681,    536964,     46807,    481343,     53290,     13063,    384030,    396388,1.09691e+06,1.46207e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   59408.5,   42776.5,    107503,    466795,     43305,    417856,     48024,     10871,    367313,    378404,1.05067e+06,1.37232e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   77977.2,   64000.5,    142071,    668506,     54901,    595593,     64727,     17292,    355604,    378253,1.19043e+06,1.65295e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     69779,   52966.9,    123348,    675164,     47352,    605020,     56511,     15824,    395306,    367394,1.08424e+06,1.48036e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     79604,    143807,    295757,1.27224e+06,     90256,1.1544e+06,    103466,     24602,    343290,    363647,1.18266e+06,1.7075e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   46372.2,   43806.7,    106876,    584377,     39732,    536543,     45430,     11252,    238986,    280573,    813794,1.15447e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   78671.1,   85672.8,    190764,    784057,     64667,    701872,     75177,     18884,    416172,    421417,1.21569e+06,1.61679e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   84505.3,   88070.4,    190162,    733778,     60402,    654093,     72421,     20174,    401411,    417239,1.33183e+06,1.77053e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   59230.2,   41101.6,    105728,    491900,     42534,    443482,     47452,     10946,    347092,    360895,1.01631e+06,1.35193e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   64733.9,   64111.3,    147737,    726684,     53748,    658637,     63039,     16567,    295986,    329371,    956958,1.34614e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   75337.4,   91652.5,    208434,    745861,     59155,    673634,     70210,     19055,    379568,    390458,1.15259e+06,1.57872e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   78869.8,     75251,    167743,    613656,     53720,    544625,     63752,     17357,    378600,    396854,1.19921e+06,1.6197e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   57350.9,   49342.8,    119645,    517368,     39766,    468269,     46585,     12376,    311268,    337597,    936474,1.29738e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     51941,   46435.3,    116049,    621450,     46518,    563147,     52661,     12682,    318787,    322407,    912124, 1.238e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   68110.9,   60556.4,    142510,    663894,     58370,    592359,     63994,     13645,    272783,    310991,    923019,1.35484e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   70860.2,   90519.7,    199398,    913298,     71616,    820468,     81816,     19467,    356041,    376059,1.08109e+06,1.52224e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   61619.2,   52200.2,    125090,    520045,     40983,    469237,     48042,     12839,    417013,    395051,1.09209e+06,1.39262e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     57572,     58585,    129330,    538683,     40277,    489605,     48053,     13414,    293079,    314145,    878291,1.23593e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     52619,   43899.4,    108555,    478559,     38363,    434422,     44109,     11182,    334814,    348421,    973715,1.30093e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   77954.1,   80531.6,    176008,    747280,     63655,    664189,     73006,     17768,    296248,    343310,1.11797e+06,1.61683e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   85673.8,    131153,    258736,    790606,     62483,    710434,     76709,     22555,    379068,    410593,1.28844e+06,1.78836e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   81534.3,    110257,    241542,    953710,     80264,    849346,     91627,     21746,    307606,    343048,1.1188e+06,1.65899e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   72648.9,   82122.4,    177468,    570849,     48646,    510916,     55922,     14054,    389300,    409919,1.13037e+06,1.54011e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     74289,    102581,    198837,    679346,     50382,    613457,     61323,     17901,    349596,    377857,1.08579e+06,1.53746e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   76040.3,   91867.7,    186003,    645493,     57516,    571916,     64740,     15113,    426994,    428119,1.22261e+06,1.59638e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   47928.3,   34118.2,     91592,    498246,     38379,    453473,     42650,      9818,    267294,    293446,    838027,1.17349e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   70658.2,   71564.4,    157743,    639537,     50010,    575841,     58967,     15766,    397384,    399955,1.14988e+06,1.48361e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   59755.9,   47530.4,    117507,    534189,     42746,    481256,     48700,     11983,    231365,    280804,    806125,1.19308e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   73381.4,    129941,    255866,1.02335e+06,     81197,    917789,     92874,     22014,    301524,    343785,1.02936e+06,1.50734e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   68030.6,   66602.8,    152866,    705607,     55322,    634001,     65092,     17149,    376628,    391389,1.08171e+06,1.4233e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   69513.6,   84489.6,    186625,    910542,     65495,    826037,     77364,     20791,    337215,    371584,1.02587e+06,1.44881e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   91867.7,    208268,    393885,1.26914e+06,    102879,1.12806e+06,    115451,     25254,    373221,    402626,1.40415e+06,2.01007e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   92633.3,    166434,    326875,1.0118e+06,     81497,    904130,     93389,     22171,    456662,    461165,1.43251e+06,1.93794e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   81313.8,    123798,    266448,1.04265e+06,     74605,    944115,     90814,     26022,    374015,    393261,1.25716e+06,1.73588e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   85200.3,    148633,    292645,    855801,     74970,    757277,     85273,     19954,    363997,    395948,1.25649e+06,1.79976e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     48546,   35384.2,     91839,    504613,     35277,    460724,     41029,     10780,    282802,    317652,    902720,1.2384e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   80048.5,    118147,    249910,1.02574e+06,     75305,    922403,     89067,     23572,    292398,    342822,1.10129e+06,1.64655e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   87697.6,    188954,    368037,1.25737e+06,    102034,1.12091e+06,    115609,     26146,    362477,    389575,1.29757e+06,1.88743e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   59608.2,   53177.3,    126244,    452668,     39021,    406380,     44982,     11511,    342769,    356168,1.01692e+06,1.35100e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   68896.9,   78727.4,    180885,    750340,     56744,    680933,     68070,     19019,    345246,    363372,1.08859e+06,1.47773e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   74029.8,   92362.6,    211156,    808007,     59205,    730108,     72412,     21202,    351751,    374930,1.11474e+06,1.53396e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   76916.1,    114465,    241983,1.10095e+06,     80951,    994772,     94790,     24090,    359069,    384192,1.13457e+06,1.62361e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   72623.7,    108729,    228606,    999439,     73127,    902650,     85375,     21622,    328987,    358767,1.06794e+06,1.53572e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   74838.6,   80033.4,    170806,    637530,     52481,    567174,     61012,     15664,    429859,    417261,1.17325e+06,1.51339e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   76074.7,    133440,    283176,1.36729e+06,     96683,1.2347e+06,    111427,     27160,    358414,    380302,1.16937e+06,1.66914e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   47969.2,   35519.3,     91560,    504308,     40493,    456418,     44602,      9884,    280469,    296694,    907839,1.17641e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   75598.7,   99378.8,    214900,    711339,     56957,    639865,     66615,     17390,    338847,    372501,1.07907e+06, 1.558e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   72386.9,   91330.1,    208543,1.0142e+06,     71769,    918391,     84981,     22665,    319054,    344766,1.05573e+06,1.50839e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   55673.8,   45027.2,    111125,    485283,     39187,    438278,     45073,     11409,    363234,    372511,1.0428e+06,1.34347e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,     72229,   76583.8,    174730,    818110,     60651,    740504,     68210,     15555,    374254,    391565,1.08729e+06,1.48275e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   62870.5,   44923.4,    114719,    569766,     47050,    513344,     55088,     14749,    333263,    352786,1.01428e+06,1.37619e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   69176.6,   67970.5,    156608,    746035,     59586,    670954,     69528,     17888,    371138,    394089,1.09379e+06,1.44031e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   79158.8,    110890,    240378,    986009,     79531,    882639,     91048,     21873,    299393,    339948,1.0772e+06,1.5961e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   84068.4,    137703,    275145,    801519,     68706,    713788,     80276,     20440,    371793,    397535,1.21787e+06,1.76693e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   51430.3,   45928.6,    115622,    594961,     46316,    541452,     51448,     11530,    280370,    313612,    896884,1.23317e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   70334.7,   74351.8,    162091,    636071,     50296,    572156,     59468,     15942,    404806,    403760,1.12288e+06,1.49893e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   48440.3,   38863.5,     98870,    555386,     41595,    505243,     46481,     10658,    292955,    312413,    902314,1.22339e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   88617.7,    131870,    261516,    785829,     61701,    700849,     75633,     21927,    448749,    458096,1.40409e+06,1.83392e+06,    432538,    413370,    188905,    374639,        15,      8385
        12,   78809.6,    112824,    237538,    728115,     60786,    653075,     71546,     18884,    339070,    383930,1.15306e+06,1.6394e+06,    432538,    413370,    188905,    374639,        15,      8385
