K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
4,4,70266.1,42138.2,177625,146104,126916,78,94063,91426,76438,193032,189864,180715,19528,1089635,16402,18412,15759,658,57355,16613,2465,8,5576
4,4,30424.8,14909.7,37693.8,41490.7,36594,27,37923,36730,29771,68022,66525,60277,6239,279144,4991,5565,4453,116,13842,4981,752,8,5576
4,4,34140.4,28639.9,55054.1,55171.6,48902,29,56696,54949,45568,86057,84138,77279,8464,376216,6405,7038,5693,154,18205,6302,873,8,5576
4,4,58418.2,31922.7,113578,209724,184965,38,79695,77442,63784,148056,145456,137542,15732,772978,21361,24163,20519,754,69731,21806,3412,8,5576
4,4,49970.4,19848.7,120710,147674,129454,44,52937,51343,41545,152766,149979,141910,15885,786519,16507,18121,14980,436,51397,16223,2125,8,5576
4,4,36775.6,16732.8,47464.1,24096.6,21210,21,39080,37919,30867,79206,77556,72454,8050,381001,2598,2802,2155,40,6812,2450,306,8,5576
4,4,68315.4,60689.9,106523,333767,286380,62,121601,118350,99505,156045,153425,144933,16671,838102,34794,36625,31659,1311,130862,32997,2737,8,5576
4,4,67444.7,54215.3,131017,295874,256871,45,105605,102683,85534,164078,161313,152463,17862,892786,27858,31626,26905,864,95288,28629,4567,8,5576
4,4,30977.8,11708,42526.5,22777.4,20177,34,28355,27438,22003,70172,68620,62089,6774,285359,2705,2985,2295,22,6893,2643,368,8,5576
4,4,48525.9,22825,68937.7,55249.5,47433,24,49258,47777,39065,98982,97053,91162,10547,504809,6164,6804,5465,141,18149,6057,841,8,5576
4,4,72246,78048.5,131922,166391,142161,47,121125,117882,100250,148523,146017,137630,15665,822059,17509,19094,15933,591,57255,17087,2129,8,5576
4,4,48921.7,22296,91163,39703.5,34983,13,49530,48017,39398,117428,115106,108470,12793,592756,4367,4935,3812,61,11226,4401,734,8,5576
4,4,53918.6,18718.6,128791,159989,141023,67,49984,48530,39116,150372,147733,139566,16094,776635,18270,19980,16369,627,54915,17889,2255,8,5576
4,4,31996.8,20641.5,35778.3,36467.6,32041,24,49111,47595,39354,64347,62909,57649,6204,276932,4660,5042,4027,115,12571,4485,560,8,5576
4,4,73134.6,78788.3,122254,185468,158999,73,129684,126286,107461,150140,147647,139327,15941,826549,20094,21705,18430,678,66728,19449,2174,8,5576
4,4,52656,34479.1,90405.8,183067,160411,35,72206,70116,58057,125340,123037,115326,13144,626863,18837,21427,18232,574,60762,19228,3162,8,5576
4,4,70839.1,42953.2,144076,180229,158448,14,87780,85135,70382,182998,179939,170423,18668,995510,18936,22165,18705,610,62028,20116,3821,8,5576
4,4,56573.2,61666.2,69452.6,195739,172370,53,126877,123312,103634,96228,94456,88634,10318,504265,20058,22774,19322,761,69698,20653,3334,8,5576
4,4,32894.5,12080.3,54174,25532,22802,15,29492,28578,23000,79327,77630,71063,7757,343988,2645,3167,2437,15,6046,2827,624,8,5576
4,4,42613.2,15847,106077,56699.9,49916,47,40215,39017,31278,130321,127871,119691,13475,629765,6648,7260,5689,149,17326,6468,837,8,5576
4,4,55300.5,27883.6,111519,163055,143858,64,59793,58018,47077,143438,140889,132494,15489,740120,17904,20435,17195,495,58064,18424,3052,8,5576
4,4,62910.9,37749.5,128518,172051,151149,8,76735,74436,61094,170043,167116,158216,17431,902167,15326,18463,15642,468,49742,16789,3600,8,5576
4,4,53358.1,25555.1,94921,65984.8,57235,14,57018,55317,45717,128638,126209,119198,14072,662711,8062,8538,6734,186,22851,7549,755,8,5576
4,4,59012.2,35782.1,71289.1,129325,113505,64,76467,74376,61798,109250,107267,100690,11622,571542,13822,15166,12594,424,46410,13681,1728,8,5576
4,4,40719.1,21896.7,75216.4,87156.7,77317,39,53727,52159,42943,99407,97404,90963,10241,456649,9437,10550,8587,191,26172,9402,1442,8,5576
4,4,57881,30426.8,115547,198044,174759,32,68360,66374,54118,148553,145992,137683,16150,784871,19330,21019,17290,547,59863,18854,2271,8,5576
4,4,50433.4,25322.6,61751.6,108179,95432,44,59229,57508,47232,90370,88602,82851,9413,452883,11835,13675,11304,317,36001,12346,2217,8,5576
4,4,32538.8,17221.7,47080.5,45421.2,40515,27,42261,41003,33398,76404,74755,68508,7223,325738,5140,5800,4586,87,13708,5185,833,8,5576
4,4,41550,17791.1,72436,28579.1,25249,20,37588,36452,29585,89602,87790,82478,9259,447336,3144,3522,2707,32,7879,3101,485,8,5576
4,4,52921.4,26269.6,113713,135265,119767,26,56555,54892,44515,142057,139487,131927,15085,730772,13518,15490,12732,381,38892,13937,2409,8,5576
4,4,39348.2,15330.6,79910.2,44636.7,38634,29,34050,32988,26619,107784,105607,98510,11253,504643,5521,5863,4681,88,15397,5199,542,8,5576
4,4,50196,24983,126410,148869,130633,13,51602,50025,40438,151750,148979,140935,15714,780303,15417,17011,14042,383,46233,15181,2096,8,5576
4,4,49971.3,30749.9,80430.6,148676,130549,52,68728,66666,54937,114507,112357,105364,11815,561224,15999,18046,15119,479,49254,16158,2549,8,5576
4,4,36656.8,10161.8,50760.4,54874.2,49198,10,24639,23812,18364,72273,70723,65221,7203,313442,4838,5656,4497,49,12235,5027,1008,8,5576
4,4,78823.1,75359.5,156813,362221,313915,38,144574,140645,118580,176515,173661,164070,18064,978622,36728,40654,35243,1507,137275,36861,4917,8,5576
4,4,38691.3,13999,69275.7,26425.2,23666,4,29459,28560,22966,91870,89975,84245,9461,450181,2600,3292,2626,35,6460,2957,777,8,5576
4,4,62343.8,32382.5,130594,225482,196264,72,75978,73909,61086,158453,155814,147187,17562,859824,25617,28195,23775,950,84364,25286,3299,8,5576
4,4,38980.8,11877.8,82312.7,46098.6,40660,41,31060,30056,23980,120506,118058,108251,11976,534518,5518,6069,4806,84,15944,5438,736,8,5576
4,4,54737.4,29498.2,78467.2,85213,74643,42,57314,55708,46033,106842,104822,98496,11418,549708,9266,10202,8333,210,27932,9100,1208,8,5576
4,4,34399.9,9119.52,63928.6,34652.3,30329,33,20429,19784,15527,77785,76138,70018,7862,335608,3731,4007,3141,75,9253,3515,417,8,5576
4,4,45070.8,32011.8,73919.6,93063.3,82135,34,69661,67574,56056,94465,92539,85996,9767,465151,9302,10501,8655,249,27833,9420,1501,8,5576
4,4,35807.4,12000.8,80030.5,65079.8,56260,24,31673,30612,24241,99599,97497,88831,9892,426898,7588,8337,6783,164,22755,7418,1022,8,5576
4,4,40176.3,13777.9,87250.2,79832.3,71337,15,36134,34948,27794,121278,118897,110127,12563,557915,7885,9276,7509,226,22284,8360,1667,8,5576
