K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
1,1,27143.7,20015.9,44020.7,6600.06,6012,10,41582,40296,32532,61585,60235,54409,5731,242229,674,649,456,2,1457,548,0,8,6412
1,1,25755.9,19342.4,32856.2,11651.1,10504,19,45979,44578,36175,53773,52594,47310,4990,208823,1136,1096,801,14,2779,944,0,8,6412
1,1,18245.1,41548.5,13167.7,8816.48,8020,18,80484,78346,65558,24243,23734,21190,2084,87142,847,819,602,7,2162,713,0,8,6412
1,1,5583.99,32785.5,855.098,1008.26,943,5,63844,62028,50890,1740,1698,1338,54,4121,84,84,52,0,127,63,0,8,6412
1,1,10316.9,63791.9,3423.81,2773.38,2527,12,110613,107509,90881,6598,6427,5380,433,22067,280,264,175,3,467,213,0,8,6412
1,1,21300.4,49261,11649,8802.64,7982,14,95603,92819,77597,21995,21447,19234,1895,85696,859,817,586,6,2070,718,0,8,6412
1,1,10434,47428.2,1600.26,1279.14,1182,10,92986,90354,75236,4297,4165,3568,254,12384,134,126,70,0,184,101,0,8,6412
1,1,18335.6,47723.3,6211,9646.85,8799,25,97069,94469,79274,13428,13118,11743,1017,47184,867,846,630,16,1918,723,0,8,6412
1,1,2659.41,38367.3,106.438,265.934,240,5,78266,76025,63477,295,282,178,0,510,39,36,16,0,32,24,0,8,6412
1,1,18895.8,34336.8,14859.4,4888.1,4399,6,70351,68230,56510,24052,23446,20974,1962,93959,501,485,318,1,996,406,0,8,6412
1,1,18617.3,63450.8,10667.9,10920.7,9921,19,112794,109743,92892,19649,19173,17185,1659,73542,1059,1022,742,16,2411,885,0,8,6412
1,1,25837.2,17202.7,33765,16926.8,15347,27,41589,40329,32562,54757,53561,48413,4878,219192,1585,1536,1166,22,3962,1331,0,8,6412
1,1,26704,69595.2,21665.6,17409.8,15748,18,121873,118705,101521,37100,36330,33615,3651,159542,1665,1608,1190,25,4119,1406,0,8,6412
1,1,18548.7,17010.5,14911.9,1839.19,1666,4,38194,37025,29687,25676,25075,22169,2085,92961,213,203,123,0,382,170,0,8,6412
1,1,19655.8,28889.4,14718.7,14240.8,12879,18,62741,60956,50497,26890,26215,23587,2282,97618,1234,1203,923,27,3323,1053,0,8,6412
1,1,18664.2,30150.7,14384.5,12603,11524,30,63127,61327,50565,26005,25378,22484,2304,89232,1262,1224,935,10,3054,1051,0,8,6412
1,1,15230.3,51624,6830.77,6943.41,6327,22,102219,99383,82925,13793,13436,11903,1059,46329,677,646,437,7,1307,555,0,8,6412
1,1,14447,23868.6,6303.61,7394.79,6712,16,51708,50173,41214,13987,13614,11735,1072,42630,675,658,506,10,1546,547,0,8,6412
1,1,10279.6,26427.7,2743.44,3323.14,3034,9,55660,54069,43948,6334,6169,5218,360,16939,312,298,210,1,632,253,0,8,6412
1,1,12650.7,79307.8,4088.28,7248.1,6579,10,138386,134746,114558,8059,7867,6835,577,28185,693,675,500,9,1706,585,0,8,6412
1,1,11618.2,28668.2,3461.16,3147.24,2884,14,60360,58520,47905,8780,8518,7245,599,26364,322,308,201,4,526,259,0,8,6412
1,1,24236,106583,8528.47,26397.1,23751,24,168933,164408,139999,16261,15899,14170,1546,69732,2466,2378,1850,65,6758,2109,0,8,6412
1,1,13250.5,58693.2,5172.5,3217.82,2894,8,109353,106261,89044,10165,9918,8738,804,34478,327,317,210,1,692,272,0,8,6412
1,1,4134.01,25791.9,323.371,241.513,219,6,56092,54512,44974,807,778,569,16,1805,32,31,13,0,49,21,0,8,6412
1,1,8048.61,34085.5,1355.61,1627.32,1488,12,68691,66728,55359,3804,3698,3087,174,10131,182,172,107,0,270,145,0,8,6412
1,1,13329.9,41562.9,3359.51,5222.67,4790,18,83915,81410,67749,7009,6818,5915,490,23803,523,500,358,6,1062,436,0,8,6412
1,1,26149.4,15178.3,36600.9,16710.8,14999,14,36248,35090,28073,57345,56088,50617,5248,225942,1626,1570,1195,36,4276,1353,0,8,6412
1,1,23841.1,17893.9,26479.6,20563.2,18719,16,42350,41083,33315,46174,45118,40489,4151,175793,1933,1890,1457,50,4971,1632,0,8,6412
1,1,30405.4,69508.7,28829.4,14084.6,12791,9,119415,116451,100086,46296,45374,41940,4615,202852,1383,1319,900,2,2981,1145,0,8,6412
1,1,20998.5,56963.9,9795.42,9962.97,9088,26,113446,110293,92368,17758,17309,15476,1554,62012,991,953,676,22,2002,817,0,8,6412
1,1,11349,61058.1,4120.56,1480.38,1361,4,107944,105063,89170,7861,7663,6618,513,26873,119,115,71,0,242,100,0,8,6412
1,1,29266.4,72234.3,21219.2,21283.3,19318,26,130712,127555,109477,35842,35095,32104,3488,150324,1924,1871,1433,44,5327,1622,0,8,6412
1,1,13560.9,66049,2580.81,4267.27,3910,18,118796,115500,97473,6281,6107,5309,472,19700,442,424,297,2,861,361,0,8,6412
1,1,7158.83,59331.2,1121.42,1531.39,1396,9,103631,100782,84976,2732,2642,2072,117,7132,161,152,88,0,270,126,0,8,6412
1,1,10075.5,59648.3,3214.94,1246.31,1143,7,109729,106743,90461,6811,6621,5692,316,21261,157,154,103,0,247,113,0,8,6412
1,1,17852.8,55003.9,5813.04,12263.8,11111,22,101257,98433,83141,12641,12302,10806,1009,45218,1180,1146,877,32,3205,1014,0,8,6412
1,1,5077.1,38056.1,362.078,987.725,904,11,74772,72589,60018,1185,1142,867,32,2718,105,101,61,0,176,80,0,8,6412
1,1,18641.8,25553.4,12719,5340.29,4875,12,55805,54159,44692,25681,25052,22091,2280,86697,525,505,342,0,1023,436,0,8,6412
