         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         1,   6332.88,         1,         1,         7,         0,         0,   10187.4,     31598,   1045.83,      3333,     25.59,       107,    18.797,       107,   1298.46,       107,      1213,        79,        21,         0,   1306.35,       107,      1226,        79,        21,    27.688,        38,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   1762.18,         1,         1,         4,         0,         0,    715.95,      1649,    27.823,       117,     6.012,        23,     2.564,        23,    289.39,        26,       272,        19,         2,         0,   284.668,        26,       267,        19,         2,     9.951,        17,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   15376.4,         1,         1,        14,         0,         0,   69424.4,    166509,   9346.49,     21476,   210.604,       793,   188.164,       793,   11205.3,       796,     10518,       679,        91,         0,   11267.8,       796,     10588,       679,        91,    67.344,        87,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   10073.4,         1,         1,        10,         0,         0,   25718.9,     72149,   3135.68,      8037,   103.976,       416,    89.202,       416,   5700.57,       429,      5362,       356,        48,         0,   5706.54,       429,      5377,       356,        48,    57.751,        58,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   35581.9,         1,         1,        15,         0,         0,    334648,    622112,   56124.5,     92721,   506.209,      1905,   473.514,      1905,   26586.9,      1907,     24852,      1590,       248,         0,   26339.3,      1907,     24738,      1590,       248,   167.504,       205,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   32452.8,         1,         1,        45,         0,         0,    305556,    548685,   54022.8,     84789,   2186.15,      6213,    2234.8,      6213,   90174.8,      6218,     84155,      5374,       647,         0,   89713.7,      6218,     84079,      5374,       647,   170.969,       234,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     20123,         1,         1,        13,         0,         0,    131573,    271474,   19328.6,     38545,   379.897,      1460,   352.217,      1460,   19953.7,      1462,     18778,      1199,       196,         0,   20014.3,      1462,     18901,      1199,       196,    94.247,       124,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     18423,         1,         1,        26,         0,         0,    100910,    222302,   14676.8,     31935,   319.512,      1274,    294.42,      1274,   17674.6,      1278,     16573,      1072,       151,         0,   17801.5,      1278,     16724,      1072,       151,     87.59,       119,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   18492.1,         1,         1,        25,         0,         0,    104650,    235626,   15033.6,     32059,    378.07,      1450,   351.535,      1450,   20727.6,      1452,     19448,      1239,       156,         0,   20280.4,      1452,     19044,      1239,       156,    97.241,       133,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   10066.8,         1,         1,        10,         0,         0,   31883.4,     87335,   3309.08,      8464,    65.909,       288,    52.503,       288,   3767.62,       292,      3538,       230,        44,         0,   3771.23,       292,      3553,       230,        44,    46.859,        66,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   4170.59,         1,         1,         5,         0,         0,   4823.59,     14156,   318.081,      1038,     12.01,        47,     7.369,        47,   558.305,        49,       526,        33,         9,         0,   572.377,        49,       538,        33,         9,    17.004,        28,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   17627.5,         1,         1,        22,         0,         0,   74580.4,    176888,     10222,     22071,   300.595,      1175,   280.174,      1175,   16481.1,      1178,     15493,       989,       140,         0,   16488.5,      1178,     15492,       989,       140,    102.97,       140,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   18958.1,         1,         1,        24,         0,         0,    114952,    251007,   18118.4,     36081,   404.692,      1482,   378.303,      1482,   21408.6,      1484,     20115,      1272,       161,         0,   21360.6,      1484,     20150,      1272,       161,    96.477,       127,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     12021,         1,         1,        13,         0,         0,   37496.6,    100157,   4990.45,     12105,   153.658,       614,    138.08,       614,   8453.65,       625,      7985,       523,        71,         0,   8391.06,       625,      7928,       523,        71,    49.842,        62,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   11052.7,         1,         1,        17,         0,         0,   33627.9,     97300,   3868.76,     10079,   145.286,       621,    123.31,       621,   5809.49,       418,      5471,       346,        50,         0,   5791.99,       418,      5467,       346,        50,    62.025,        86,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   7405.14,         1,         1,         9,         0,         0,   12970.4,     43206,   1171.77,      3978,    27.965,       120,    19.472,       120,   1605.47,       123,      1517,        95,        15,         0,   1730.76,       123,      1639,        95,        15,     37.17,        55,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   25221.6,         1,         1,        25,         0,         0,    199563,    387175,     34607,     62398,   821.873,      2865,    785.31,      2865,   41149.9,      2867,     38571,      2423,       349,         0,   40922.5,      2867,     38453,      2423,       349,   129.254,       158,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   31043.6,         1,         1,        15,         0,         0,    253269,    481885,   34299.6,     61467,   882.953,      2917,   846.395,      2917,   42114.5,      2920,     39370,      2496,       335,         0,   41886.5,      2920,     39268,      2496,       335,   125.446,       156,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   26066.3,         2,         2,         6,         0,         0,    234402,    433669,   41324.6,     73480,   1722.02,      5720,   1566.51,      5720,   31861.6,      2177,     29970,      1835,       268,         0,   31190.5,      2177,     29474,      1835,       268,   100.161,       130,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   8025.49,         1,         1,        14,         0,         0,   16601.2,     47917,   1738.54,      4945,    74.095,       318,     63.41,       318,   4332.22,       320,      4088,       257,        45,         0,   4413.79,       320,      4173,       257,        45,    51.362,        72,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     20999,         1,         1,        24,         0,         0,    104328,    246424,   15380.7,     31550,    232.13,       952,   207.317,       952,   13347.3,       955,     12551,       799,       110,         0,   13212.5,       955,     12438,       799,       110,    103.16,       134,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   21458.9,         1,         1,        18,         0,         0,    138555,    288193,   21100.5,     42446,   476.283,      1678,   407.796,      1678,   24127.7,      1680,     22690,      1418,       198,         0,   24006.4,      1680,     22623,      1418,       198,   101.274,       119,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   32415.8,         1,         1,        17,         0,         0,    157427,    357592,   16455.6,     33793,   632.161,      2197,   591.806,      2197,   30339.3,      2198,     28419,      1836,       286,         0,   30147.5,      2198,     28298,      1836,       286,   171.356,       181,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   24382.9,         1,         1,        34,         0,         0,    135914,    280665,   18841.9,     35274,    491.78,      1851,   443.615,      1851,     26887,      1853,     25232,      1553,       217,         0,   28302.4,      1853,     26474,      1553,       217,   122.762,       162,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     36021,         1,         1,        42,         0,         0,    226398,    478902,   28675.5,     52604,   2045.84,      5768,   1822.21,      5768,   82947.7,      5770,     77403,      4956,       628,         0,     82070,      5770,     76877,      4956,       628,   196.926,       245,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   5925.12,         1,         1,         9,         0,         0,   9356.01,     27969,   688.294,      2311,     34.14,       156,    25.242,       156,   2415.07,       159,      2298,       126,        23,         0,    2083.5,       159,      1978,       126,        23,    27.079,        43,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,    3635.4,         1,         1,         8,         0,         0,   3486.74,     10845,   208.056,       803,    13.018,        61,     7.822,        61,    811.96,        63,       768,        45,         8,         0,   797.777,        63,       757,        45,         8,    16.598,        31,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   6948.19,         1,         1,         6,         0,         0,   13157.9,     40863,   1604.06,      3969,    27.701,       107,    19.486,       107,   1513.18,       112,      1425,        89,        12,         0,   1431.99,       112,      1345,        89,        12,     28.27,        39,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   13096.1,         1,         1,        18,         0,         0,   47780.5,    119970,   5888.81,     14529,   134.689,       542,   118.615,       542,   7425.85,       545,      6999,       451,        64,         0,   7419.83,       545,      6996,       451,        64,    65.322,        90,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
