K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
2,15967.5,6382.01,4987.02,4129,7,329,11953,10806,1091,45542,38,1002,740,19,2252,44,0.00287563
2,37041.6,6382.01,4987.02,4129,20,329,11953,10806,1091,45542,38,1002,740,19,2252,44,0.00287563
2,8779.86,5298.29,3069.09,2538,4,322,11073,9996,963,42280,31,643,454,5,1410,10,0.00287563
2,33815.1,5298.29,3069.09,2538,19,322,11073,9996,963,42280,31,643,454,5,1410,10,0.00287563
2,16743.4,6935.91,2411.38,2059,11,393,12787,11128,979,40633,17,419,299,2,637,69,0.00287563
2,29581.9,6935.91,2411.38,2059,6,393,12787,11128,979,40633,17,419,299,2,637,69,0.00287563
2,14317.6,1188.46,1126.41,970,11,105,2940,2382,96,8064,17,224,149,0,325,28,0.00287563
2,15323.5,1188.46,1126.41,970,6,105,2940,2382,96,8064,17,224,149,0,325,28,0.00287563
2,24398.6,16936.5,4768.6,3973,15,696,28772,26723,2979,122647,38,879,613,1,1958,46,0.00287563
2,59295.9,16936.5,4768.6,3973,10,696,28772,26723,2979,122647,38,879,613,1,1958,46,0.00287563
2,24102.8,5770.82,4260.85,3634,9,357,10821,9439,827,35255,39,783,564,6,1432,90,0.00287563
2,28375.6,5770.82,4260.85,3634,16,357,10821,9439,827,35255,39,783,564,6,1432,90,0.00287563
2,21843.9,8478.51,8844.61,7375,18,488,17500,15958,1618,66617,56,1496,1143,27,3237,128,0.00287563
2,38606.4,8478.51,8844.61,7375,24,488,17500,15958,1618,66617,56,1496,1143,27,3237,128,0.00287563
2,32323,6662.07,4839.18,3954,6,375,12170,10870,1104,42529,42,874,628,3,1582,122,0.00287563
2,35421.1,6662.07,4839.18,3954,16,375,12170,10870,1104,42529,42,874,628,3,1582,122,0.00287563
2,19554.8,13088.1,12900,10441,7,646,26171,24129,2542,103661,90,2357,1844,68,6182,77,0.00287563
2,53916.9,13088.1,12900,10441,35,646,26171,24129,2542,103661,90,2357,1844,68,6182,77,0.00287563
2,23596.7,4720.42,4225.03,3571,19,256,7785,6685,566,25188,35,770,565,3,1627,65,0.00287563
2,24709.3,4720.42,4225.03,3571,9,256,7785,6685,566,25188,35,770,565,3,1627,65,0.00287563
2,23847.4,3366.18,3523.62,3065,9,274,8074,6857,582,24138,34,621,425,6,1038,54,0.00287563
2,24300.1,3366.18,3523.62,3065,11,274,8074,6857,582,24138,34,621,425,6,1038,54,0.00287563
2,42371.8,9138.67,11581.4,9468,16,474,18701,17132,1818,72164,86,2222,1698,17,5104,208,0.00287563
2,49484.4,9138.67,11581.4,9468,19,474,18701,17132,1818,72164,86,2222,1698,17,5104,208,0.00287563
2,12259.3,6439.4,4339.15,3681,9,344,12553,11342,1191,48473,46,948,690,17,2130,35,0.00287563
2,39076.7,6439.4,4339.15,3681,22,344,12553,11342,1191,48473,46,948,690,17,2130,35,0.00287563
2,15973.6,4041.04,2792.57,2348,4,300,9541,8202,663,29504,24,556,391,6,1185,23,0.00287563
2,25698,4041.04,2792.57,2348,12,300,9541,8202,663,29504,24,556,391,6,1185,23,0.00287563
2,21451.3,19689.6,17689.7,14436,12,687,29480,27285,3118,124098,119,3144,2540,103,8824,82,0.00287563
2,61745.8,19689.6,17689.7,14436,22,687,29480,27285,3118,124098,119,3144,2540,103,8824,82,0.00287563
2,19940.1,14688.7,6469.62,5423,11,510,21184,19492,2014,84104,45,1041,765,3,2205,107,0.00287563
2,50667.1,14688.7,6469.62,5423,9,510,21184,19492,2014,84104,45,1041,765,3,2205,107,0.00287563
2,25792.9,4596.14,4733.39,3932,11,366,11018,9449,828,34451,40,874,636,3,1865,72,0.00287563
2,27822.7,4596.14,4733.39,3932,20,366,11018,9449,828,34451,40,874,636,3,1865,72,0.00287563
2,18292.8,3730.04,2455.04,2097,11,279,8725,7684,713,28383,22,440,316,1,701,64,0.00287563
2,31233.3,3730.04,2455.04,2097,8,279,8725,7684,713,28383,22,440,316,1,701,64,0.00287563
2,18242,7664.53,3938.45,3411,7,448,15308,13488,1323,51754,35,629,444,1,1026,86,0.00287563
2,32795,7664.53,3938.45,3411,4,448,15308,13488,1323,51754,35,629,444,1,1026,86,0.00287563
2,21195.3,3740.76,2255.46,1953,11,266,7697,6514,514,22951,18,420,281,2,573,75,0.00287563
2,23957.2,3740.76,2255.46,1953,8,266,7697,6514,514,22951,18,420,281,2,573,75,0.00287563
2,4600.31,5602.88,2901.38,2369,5,413,13484,11682,1097,42557,37,567,388,8,1194,13,0.00287563
2,30632.5,5602.88,2901.38,2369,16,413,13484,11682,1097,42557,37,567,388,8,1194,13,0.00287563
2,15899.1,11500.1,4505.61,3672,9,486,19650,18022,1746,76312,37,763,549,0,1467,75,0.00287563
2,45376.4,11500.1,4505.61,3672,8,486,19650,18022,1746,76312,37,763,549,0,1467,75,0.00287563
2,9019.44,3229.76,1733.61,1457,5,240,7636,6533,522,23416,22,352,233,1,621,27,0.00287563
2,23755.9,3229.76,1733.61,1457,13,240,7636,6533,522,23416,22,352,233,1,621,27,0.00287563
2,22252,5987.55,5454.99,4743,14,371,12048,10420,932,37593,36,757,549,8,1425,99,0.00287563
2,28545.6,5987.55,5454.99,4743,17,371,12048,10420,932,37593,36,757,549,8,1425,99,0.00287563
2,20496.8,4113.69,2581.09,2190,16,304,8978,7669,656,27285,30,495,358,3,800,88,0.00287563
2,25879.8,4113.69,2581.09,2190,9,304,8978,7669,656,27285,30,495,358,3,800,88,0.00287563
2,10984.3,7936.44,2794.79,2320,4,385,13857,12229,1128,45335,29,591,413,2,1250,15,0.00287563
2,30617.1,7936.44,2794.79,2320,15,385,13857,12229,1128,45335,29,591,413,2,1250,15,0.00287563
2,24251.2,14226.5,3759.79,3073,5,614,23050,21027,2235,89038,32,685,476,4,1261,38,0.00287563
2,44399,14226.5,3759.79,3073,27,614,23050,21027,2235,89038,32,685,476,4,1261,38,0.00287563
2,16668.1,12252,6532.56,5503,8,570,21845,19941,1930,80073,46,1088,805,16,2448,42,0.00287563
2,39835.4,12252,6532.56,5503,25,570,21845,19941,1930,80073,46,1088,805,16,2448,42,0.00287563
2,12474.7,14513.7,3264.18,2731,5,567,23965,21914,2316,95752,31,680,467,3,1290,40,0.00287563
2,50958.1,14513.7,3264.18,2731,15,567,23965,21914,2316,95752,31,680,467,3,1290,40,0.00287563
2,21369.4,2990,2600.03,2225,14,252,7027,5919,457,20638,25,486,346,0,790,74,0.00287563
2,22897.5,2990,2600.03,2225,9,252,7027,5919,457,20638,25,486,346,0,790,74,0.00287563
2,16947.3,6837.33,5613.39,4701,5,359,12882,11637,1250,49251,44,1138,836,24,2743,33,0.00287563
2,39960.1,6837.33,5613.39,4701,22,359,12882,11637,1250,49251,44,1138,836,24,2743,33,0.00287563
2,31032.6,8887.02,2717.37,2277,4,454,17777,16255,1547,66727,31,580,389,0,1087,40,0.00287563
2,38397.3,8887.02,2717.37,2277,17,454,17777,16255,1547,66727,31,580,389,0,1087,40,0.00287563
2,1497.36,7415.6,1972.12,1646,2,423,13923,12083,1059,44228,26,421,272,1,829,4,0.00287563
2,31033.3,7415.6,1972.12,1646,15,423,13923,12083,1059,44228,26,421,272,1,829,4,0.00287563
2,32631.3,10830.6,2650.78,2251,4,503,20738,19186,2034,80133,22,561,396,0,871,92,0.00287563
2,50166.2,10830.6,2650.78,2251,4,503,20738,19186,2034,80133,22,561,396,0,871,92,0.00287563
2,5627.99,11660.2,3106.66,2589,3,583,22553,20752,2096,89929,26,599,401,5,1129,8,0.00287563
2,48984.9,11660.2,3106.66,2589,17,583,22553,20752,2096,89929,26,599,401,5,1129,8,0.00287563
2,16409.2,13670,2250.84,1899,10,515,21073,19328,1989,83067,21,470,322,1,690,77,0.00287563
2,49195.6,13670,2250.84,1899,4,515,21073,19328,1989,83067,21,470,322,1,690,77,0.00287563
2,8437.03,5469.38,3020.99,2503,10,333,11873,10718,1055,45429,39,581,398,6,1143,17,0.00287563
2,37358.7,5469.38,3020.99,2503,19,333,11873,10718,1055,45429,39,581,398,6,1143,17,0.00287563
2,20392.4,13026.7,9963.02,8080,5,637,24758,22877,2346,96299,75,1659,1246,26,4018,37,0.00287563
2,50112.4,13026.7,9963.02,8080,27,637,24758,22877,2346,96299,75,1659,1246,26,4018,37,0.00287563
2,14110.7,14849.8,5207.5,4273,4,604,25771,23705,2545,105283,43,1026,760,14,2340,20,0.00287563
2,54215.1,14849.8,5207.5,4273,20,604,25771,23705,2545,105283,43,1026,760,14,2340,20,0.00287563
2,25782.9,7761.83,8770.08,7317,14,357,14570,13177,1465,57234,71,1767,1308,41,4075,98,0.00287563
2,51978.2,7761.83,8770.08,7317,30,357,14570,13177,1465,57234,71,1767,1308,41,4075,98,0.00287563
2,9286.98,7021.89,2160.34,1775,7,397,14386,12721,1171,48201,22,453,307,1,782,23,0.00287563
2,31523.6,7021.89,2160.34,1775,12,397,14386,12721,1171,48201,22,453,307,1,782,23,0.00287563
2,18715.4,5459.38,2199.1,1839,9,373,12077,10469,988,39167,19,409,286,0,611,66,0.00287563
2,29331.7,5459.38,2199.1,1839,4,373,12077,10469,988,39167,19,409,286,0,611,66,0.00287563
2,24038.6,4072.08,2677.89,2218,10,252,7285,6349,510,22309,20,507,360,0,993,45,0.00287563
2,24707.2,4072.08,2677.89,2218,9,252,7285,6349,510,22309,20,507,360,0,993,45,0.00287563
2,3531.07,11426.7,6028.23,4979,4,548,22299,20160,2028,82610,45,1129,826,19,2491,8,0.00287563
2,43655.3,11426.7,6028.23,4979,22,548,22299,20160,2028,82610,45,1129,826,19,2491,8,0.00287563
2,20883.5,11258.4,5422.69,4609,9,550,20050,17988,1789,71561,40,767,535,2,1523,70,0.00287563
2,38028.8,11258.4,5422.69,4609,16,550,20050,17988,1789,71561,40,767,535,2,1523,70,0.00287563
2,38374,9978.86,19953,16628,18,517,20163,18522,2005,79939,109,3231,2519,57,7786,282,0.00287563
2,58288,9978.86,19953,16628,34,517,20163,18522,2005,79939,109,3231,2519,57,7786,282,0.00287563
2,27857.7,6143.44,5448.03,4567,15,355,12002,10768,1091,44787,49,1104,827,14,2069,153,0.00287563
2,34332.6,6143.44,5448.03,4567,13,355,12002,10768,1091,44787,49,1104,827,14,2069,153,0.00287563
2,17323.8,4485.77,2627.39,2169,7,328,10175,8711,722,31643,26,528,376,5,957,39,0.00287563
2,26966.6,4485.77,2627.39,2169,16,328,10175,8711,722,31643,26,528,376,5,957,39,0.00287563
2,19909.3,9095.31,7939.34,6654,11,481,17338,15743,1603,64755,60,1440,1090,27,3041,113,0.00287563
2,37042.8,9095.31,7939.34,6654,20,481,17338,15743,1603,64755,60,1440,1090,27,3041,113,0.00287563
2,20353.8,4216.45,3510.07,3027,12,309,9787,8604,884,32670,30,670,494,6,1111,117,0.00287563
2,34385.1,4216.45,3510.07,3027,8,309,9787,8604,884,32670,30,670,494,6,1111,117,0.00287563
2,34662,16719.9,10215.5,8591,17,656,27782,25647,2942,114595,66,1678,1263,23,3531,204,0.00287563
2,65445.6,16719.9,10215.5,8591,7,656,27782,25647,2942,114595,66,1678,1263,23,3531,204,0.00287563
2,33512.9,7094.94,3720.53,3246,18,377,12671,11344,1097,45116,30,583,396,3,992,49,0.00287563
2,33686.4,7094.94,3720.53,3246,2,377,12671,11344,1097,45116,30,583,396,3,992,49,0.00287563
2,22015.1,8005.94,8207.8,6783,15,373,14213,12895,1405,55595,61,1533,1156,25,3534,103,0.00287563
2,49819.9,8005.94,8207.8,6783,28,373,14213,12895,1405,55595,61,1533,1156,25,3534,103,0.00287563
2,32327.1,6339.28,10586.7,9023,25,377,13032,11572,1133,45023,64,1911,1467,37,4120,186,0.00287563
2,33766.4,6339.28,10586.7,9023,17,377,13032,11572,1133,45023,64,1911,1467,37,4120,186,0.00287563
2,26202.6,6952.68,6934.04,5954,11,381,14074,12641,1120,48288,47,1161,871,15,2173,140,0.00287563
2,31407.6,6952.68,6934.04,5954,20,381,14074,12641,1120,48288,47,1161,871,15,2173,140,0.00287563
2,13426.9,6735.87,2587.35,2154,7,448,13612,11837,1025,43518,36,549,383,10,1009,29,0.00287563
2,30517.9,6735.87,2587.35,2154,16,448,13612,11837,1025,43518,36,549,383,10,1009,29,0.00287563
2,1427.38,4073.49,1923.89,1602,2,282,9476,8342,734,32632,21,434,290,4,862,4,0.00287563
2,29010.3,4073.49,1923.89,1602,14,282,9476,8342,734,32632,21,434,290,4,862,4,0.00287563
2,40714.7,9331.62,6771.61,5570,5,462,18482,16986,1784,70612,47,1239,914,7,2679,75,0.00287563
2,50522.3,9331.62,6771.61,5570,18,462,18482,16986,1784,70612,47,1239,914,7,2679,75,0.00287563
2,16608.7,13893,1268.55,1066,11,637,25659,23526,2550,103302,12,281,181,0,464,47,0.00287563
2,51326.5,13893,1268.55,1066,3,637,25659,23526,2550,103302,12,281,181,0,464,47,0.00287563
2,22112.2,15824.7,17404.7,14240,17,700,29553,27264,3122,124004,114,2888,2294,89,8082,93,0.00287563
2,61187.9,15824.7,17404.7,14240,28,700,29553,27264,3122,124004,114,2888,2294,89,8082,93,0.00287563
2,43069.6,14541.1,14753,12266,12,531,22202,20471,2219,89466,71,2430,1861,23,5586,297,0.00287563
2,61075.3,14541.1,14753,12266,13,531,22202,20471,2219,89466,71,2430,1861,23,5586,297,0.00287563
2,44550.9,10644.8,18211.9,14948,9,472,18126,16599,1927,71274,121,3319,2510,47,7630,262,0.00287563
2,54340.6,10644.8,18211.9,14948,31,472,18126,16599,1927,71274,121,3319,2510,47,7630,262,0.00287563
2,31301.5,10583.6,7358.59,6322,9,470,19064,17579,1686,72754,43,1115,816,3,1963,179,0.00287563
2,41566.7,10583.6,7358.59,6322,10,470,19064,17579,1686,72754,43,1115,816,3,1963,179,0.00287563
2,14817,5919.33,2822.2,2341,7,380,11605,10007,829,36784,33,508,358,7,955,27,0.00287563
2,28353.7,5919.33,2822.2,2341,15,380,11605,10007,829,36784,33,508,358,7,955,27,0.00287563
2,23622.7,11241.9,8129.04,6937,10,485,19056,17555,1690,74103,52,1408,1046,6,2962,141,0.00287563
2,47290.2,11241.9,8129.04,6937,18,485,19056,17555,1690,74103,52,1408,1046,6,2962,141,0.00287563
2,7673.78,12733.2,6454.41,5309,3,608,20769,18252,1706,70228,62,1128,783,8,2366,12,0.00287563
2,36506.3,12733.2,6454.41,5309,17,608,20769,18252,1706,70228,62,1128,783,8,2366,12,0.00287563
2,38468.9,7250.98,16568.4,13915,27,425,16033,14256,1448,58341,94,2719,2097,57,6270,275,0.00287563
2,40595.3,7250.98,16568.4,13915,14,425,16033,14256,1448,58341,94,2719,2097,57,6270,275,0.00287563
2,15391,8929.94,1975.6,1659,7,495,16421,14337,1297,53846,28,406,271,1,634,45,0.00287563
2,33251,8929.94,1975.6,1659,7,495,16421,14337,1297,53846,28,406,271,1,634,45,0.00287563
2,32589.4,5834.72,5263.98,4440,17,369,13234,11885,1208,50483,50,1069,768,7,1680,175,0.00287563
2,38551.4,5834.72,5263.98,4440,8,369,13234,11885,1208,50483,50,1069,768,7,1680,175,0.00287563
2,15165,2124.28,1406.05,1187,9,164,5148,4253,301,14557,21,292,207,0,423,50,0.00287563
