K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
4,4,48290.1,46237,181030,97696.4,85624,22,94114,91530,76729,192900,189301,179045,19816,1033281,10655,12556,10363,254,32161,11312,2227,8,6974
4,4,60338.2,82076.1,193246,274383,243538,53,169580,165128,141429,233765,229613,218407,23454,1297708,27038,29956,25517,799,93289,27022,3698,8,6974
4,4,30710,23507.5,51783.8,46762.3,41380,24,54771,53227,44043,89616,87769,80097,8932,382583,5485,6158,4943,96,13700,5482,876,8,6974
4,4,37349.1,23879.2,64711.4,72770.9,64179,41,58534,56852,46907,104687,102566,95233,10650,481657,8278,9282,7663,175,24874,8331,1270,8,6974
4,4,72201.1,96982.9,165161,202654,176397,87,174292,169733,145370,216341,212793,201952,21875,1225113,24681,26734,23068,1029,90409,24089,2717,8,6974
4,4,34418.9,18236.9,71689.1,36111.2,31981,30,40757,39534,32434,111514,109330,100922,11036,498088,4249,4491,3533,88,10658,3961,409,8,6974
4,4,66740.1,76071.2,196186,321905,284166,48,160479,156261,132639,239735,235688,223551,25017,1382768,32102,36842,31914,1151,117989,33513,5598,8,6974
4,4,52233.7,58897.1,97483.2,40607.9,36487,5,118049,114927,98285,128927,126651,119176,13438,696063,3797,4956,3957,42,9181,4485,1320,8,6974
4,4,32883.2,30801.3,67988.3,30756.3,27661,6,59199,57486,47836,104770,102690,93745,10516,458891,3072,3685,2897,41,6801,3319,750,8,6974
4,4,42767.3,25464.4,60078.8,94186.2,84424,3,60589,58963,48869,99064,97141,89854,10056,475117,8366,10758,8960,199,23950,9691,2655,8,6974
4,4,35663.3,17966.1,71113.5,92240.8,82440,12,43309,42043,34281,103164,101091,94747,10405,495515,9576,10961,9029,269,27128,9842,1684,8,6974
4,4,40585.8,36364.8,116635,78963.1,70563,7,68990,67062,55687,162719,159504,147912,16364,771039,7505,8831,7152,109,19890,7942,1572,8,6974
4,4,52286,43016.8,140280,100666,89522,16,84573,82189,69105,175222,172045,162080,17736,966940,10026,11770,9585,167,28983,10652,2089,8,6974
4,4,41868.4,40641,69477.8,96035,84164,50,80665,78502,66360,106123,104129,96927,10673,495627,10836,11897,9715,259,30724,10575,1386,8,6974
4,4,68556.6,86851.6,180639,217104,188128,82,166048,161607,137371,222362,218634,207761,23047,1253530,24143,27233,23645,945,88349,24632,3732,8,6974
4,4,54721.7,70981,159906,187188,164823,48,141936,138177,117535,187789,184360,174673,19682,1030760,18940,21338,17929,576,63230,19178,2940,8,6974
