K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
1,1,6466.31,114268,1342.83,2003.94,1872,11,200075,194757,166716,2841,2739,2183,139,8743,187,175,107,3,349,150,0,10,8385
1,1,7320,151426,1910.23,4888.33,4629,17,268136,261158,224015,3667,3561,2967,185,14311,256,245,168,0,617,216,0,10,8385
1,1,22806.5,94804.1,21042.6,21707.1,19859,20,175250,170346,143902,36059,35210,32148,3488,161478,1845,1782,1350,39,5149,1567,0,10,8385
1,1,24857.7,158011,28415.1,8310.83,7828,8,278540,271434,234969,43152,42238,38873,4237,186216,472,459,292,0,813,360,0,10,8385
1,1,11684.2,134161,2485.7,4712.67,4413,14,217698,212233,184479,6190,6065,5273,361,19998,427,410,291,1,1046,353,0,10,8385
1,1,11838.6,32537.8,5646.88,2276.08,2117,6,75592,73335,59881,11404,11090,9453,867,34891,227,217,138,0,446,172,0,10,8385
1,1,31214.2,83578.3,65100.3,62305.8,57698,35,155929,151756,128783,92083,90136,83471,9173,412012,4397,4233,3357,145,12417,3736,0,10,8385
1,1,19908.2,51969.1,24443,15916.7,14795,32,98305,95541,80317,39758,38824,34745,3639,143219,1446,1395,1039,24,3361,1206,0,10,8385
1,1,13315.5,68689.3,6352.87,5740.29,5365,15,127019,123437,103977,14203,13799,12215,1176,45895,541,515,347,9,938,426,0,10,8385
1,1,1899.04,51924.5,60.669,526.315,502,5,99430,96566,81042,194,189,109,1,283,38,39,17,0,43,25,0,10,8385
1,1,5076.16,127036,732.417,1445.79,1361,12,224943,219188,188836,1613,1552,1199,43,3859,97,93,56,0,125,75,0,10,8385
1,1,10062.5,56085.8,3237.17,3375.91,3167,18,109514,106550,89958,7912,7689,6483,514,23415,322,306,195,1,560,254,0,10,8385
1,1,10532.8,80018.6,4106.91,7150.65,6673,15,149910,145961,124684,9015,8781,7520,613,28142,651,631,466,9,1581,546,0,10,8385
1,1,13251.5,90070.6,4649.42,7525.83,7060,18,169148,164781,141436,11100,10848,9612,797,38250,638,622,425,3,1331,539,0,10,8385
1,1,5305.62,66521.7,615.018,600.543,557,4,135533,131949,112284,1813,1754,1330,61,4519,68,63,36,0,107,47,0,10,8385
1,1,12636.4,136875,5341.13,8721.44,8095,24,235677,229517,195748,11280,10986,9687,810,49996,776,747,548,12,1743,654,0,10,8385
1,1,9125.45,52427.2,2542.71,2573.06,2411,9,114175,111061,93589,6394,6212,5227,403,18468,240,230,149,2,509,196,0,10,8385
1,1,31462.2,82971,48243.5,32812.4,29911,18,162722,158394,134704,73753,72216,66917,7251,345225,2894,2798,2144,32,8220,2434,0,10,8385
1,1,15714.1,117358,3900.86,2414.41,2249,4,216217,210361,180095,9322,9085,7889,803,37569,228,217,151,0,476,179,0,10,8385
1,1,21027.6,165072,15647.1,784.042,713,3,278223,271242,234978,29740,29109,26487,2764,119500,114,115,53,0,173,60,0,10,8385
1,1,24255.2,117978,31910.9,23239.4,21529,17,220636,214933,184287,59247,57970,53389,5649,251890,2014,1956,1530,57,5447,1707,0,10,8385
1,1,1221.34,95116.5,24.519,183.905,172,4,178223,173353,148484,67,64,39,0,107,21,21,8,0,16,13,0,10,8385
1,1,21206.8,81149.4,18579.2,8244.74,7596,13,164514,159929,134685,35940,35091,31803,3188,150709,778,750,516,3,1599,643,0,10,8385
1,1,1943.32,140713,53.932,178.06,165,3,259386,252719,218789,142,140,79,0,307,22,23,9,0,21,12,0,10,8385
1,1,8638.2,80749,2233.14,3006.16,2805,10,150722,146771,125435,5664,5483,4509,339,15183,290,279,184,0,576,236,0,10,8385
