         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         1,   3586.91,         1,         1,         7,         0,         0,   4745.83,     11154,   273.307,       833,    21.744,        63,    10.935,        63,   559.835,        65,       511,        47,         9,         0,   545.257,        65,       495,        47,         9,    24.084,        34,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   31455.8,         1,         1,        11,         0,         0,    409981,    625923,   78525.9,    117311,   552.059,      1695,   403.251,      1695,   17252.5,      1697,     15609,      1424,       213,         0,   17130.1,      1697,     15610,      1424,       213,   143.276,       169,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   14570.2,         1,         1,        19,         0,         0,   53613.6,    133007,   5497.16,     12946,   253.203,      1046,   226.043,      1046,   9876.98,       943,      9102,       798,       108,         0,   9793.11,       943,      9039,       798,       108,    74.938,       100,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   44168.3,         1,         1,        55,         0,         0,    455817,    780211,   95376.4,    141267,   4350.97,      9209,      3359,      9209,   98939.9,      9211,     88685,      7974,       995,         0,   97098.3,      9211,     87299,      7974,       995,   264.662,       305,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   9480.14,         1,         1,        13,         0,         0,   23970.6,     67035,    2789.9,      7315,    58.308,       253,    46.632,       253,   2353.76,       255,      2163,       196,        43,         0,    2354.2,       255,      2166,       196,        43,    48.112,        71,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   22841.2,         1,         1,        36,         0,         0,    177424,    354759,   30218.4,     55914,   484.006,      1708,   450.406,      1708,   17545.4,      1710,     15894,      1438,       203,         0,   17086.2,      1710,     15524,      1438,       203,   107.882,       141,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   13169.5,         1,         1,         4,         0,         0,   53509.3,    132170,    6720.2,     15417,    14.861,        80,     9.414,        80,   493.519,        82,       444,        46,        31,         0,   485.702,        82,       441,        46,        31,    53.441,        80,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,      6638,         1,         1,         5,         0,         0,   11653.4,     33884,   1130.59,      3236,    24.094,        98,      16.9,        98,   1007.33,       100,       928,        80,        10,         0,   947.295,       100,       871,        80,        10,    28.523,        43,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   32840.9,         1,         1,        35,         0,         0,    277865,    536170,   52165.7,     86655,   1352.79,      3537,    1144.1,      3537,     36659,      3539,     32975,      3015,       413,         0,   37809.6,      3539,     34098,      3015,       413,    234.55,       234,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
         1,   11911.8,         1,         1,        12,         0,         0,   40544.4,    103517,   5338.25,     12598,   117.165,       435,   100.422,       435,   4288.97,       437,      3927,       366,        56,         0,   4289.52,       437,      3940,       366,        56,     62.76,        78,    411693,    415171,    188905,    376437,    134320,         0,         0,         9,      8385
