k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
3,3,84329.8,31633.2,89570.2,130766,94339.5,111478,71364,44,69748,67821,126111,123957,13215,18056,19593,381,17438,0,18056,19593,381,11487,2043,174264,204112,99899,186483,6,3894
3,3,47533.4,9647.58,67127.3,28570.6,15500.9,24873,11863,42,25507,24695,109322,107193,11114,4783,4841,101,4268,0,4783,4841,101,2066,222,174264,204112,99899,186483,6,3894
3,3,41991.4,4440.88,54027.4,34421.5,18108.6,30016,14241,9,13701,13227,94304,92276,9115,4398,5083,55,4497,0,4398,5083,55,2167,828,174264,204112,99899,186483,6,3894
3,3,36308.1,7439.8,30127.7,37605.2,24481,32266,19469,23,21343,20578,57885,56554,5651,5367,5857,162,5234,0,5367,5857,162,3284,694,174264,204112,99899,186483,6,3894
3,3,53409.8,12547.5,59416.3,59300.2,26530.7,52455,20870,8,31713,30787,89322,87566,9354,6328,7380,108,6601,0,6328,7380,108,3103,1246,174264,204112,99899,186483,6,3894
3,3,49041,24850.5,39973.8,38688.2,30541.6,33646,25032,35,57287,55673,70369,68985,7315,6036,6298,144,5582,0,6036,6298,144,4169,440,174264,204112,99899,186483,6,3894
3,3,49900.4,27410.7,36530.1,35589.4,28280.5,31097,23370,30,60388,58675,67000,65673,6896,5443,5708,103,5098,0,5443,5708,103,3810,446,174264,204112,99899,186483,6,3894
3,3,59349.2,36191.7,40702.5,34558.5,24828.6,29710,20241,20,76650,74514,68454,67150,7072,4769,5198,49,4575,0,4769,5198,49,3340,607,174264,204112,99899,186483,6,3894
3,3,26559.4,8544.1,17048.9,18922.9,9970.81,16497,7801,21,22448,21714,33498,32725,2930,2698,2941,58,2636,0,2698,2938,58,1267,357,174264,204112,99899,186483,6,3894
3,3,49179.7,11257.4,42105.9,34575.2,19644.4,30117,15813,5,28923,27939,68419,66945,7137,4431,5080,69,4498,0,4431,5080,69,2528,832,174264,204112,99899,186483,6,3894
3,3,61911.7,15279.3,63331.5,51220.5,40020.4,44210,32296,38,37157,36086,102805,100855,10911,7761,8239,151,7289,0,7761,8239,151,5623,705,174264,204112,99899,186483,6,3894
3,3,30819.8,14355.8,15792.6,17144.4,11652.6,14606,9148,22,35694,34540,32141,31390,2997,2709,2836,43,2523,0,2709,2836,43,1610,219,174264,204112,99899,186483,6,3894
3,3,39449.7,23588.7,26511.7,32056.4,26939.1,27920,22176,25,52428,50876,49939,48900,4960,4686,5043,95,4491,0,4686,5043,95,3319,517,174264,204112,99899,186483,6,3894
3,3,59013,10221.1,65178.9,59739.4,45811.4,50871,36872,5,27368,26480,94162,92299,9828,9489,9940,247,8837,0,9489,9942,247,6507,773,174264,204112,99899,186483,6,3894
3,3,62273.9,13727.3,54699.9,63621.1,46020.3,54440,37099,11,34654,33605,94227,92395,10075,8946,9489,181,8460,0,8945,9486,181,6373,814,174264,204112,99899,186483,6,3894
3,3,71329.3,23431.4,70168.7,83545.6,41961.2,72893,32535,21,55220,53640,113476,111405,11757,10309,11751,168,10515,0,10309,11751,168,5152,1742,174264,204112,99899,186483,6,3894
3,3,43148.6,9684.74,56362.5,34178.8,21191.3,30167,17291,33,26266,25452,95920,93985,9381,4500,5060,94,4517,0,4500,5060,94,2751,720,174264,204112,99899,186483,6,3894
3,3,62968.9,23516,65748.6,54998.8,44087.9,47273,35957,50,54850,53319,106892,104944,11121,8350,8513,280,7604,0,8350,8513,280,6360,395,174264,204112,99899,186483,6,3894
3,3,60685.4,16542.4,77255.8,55828.2,40136.4,48362,32438,48,40443,39322,123392,121154,13013,8202,8464,193,7463,0,8202,8464,193,5394,493,174264,204112,99899,186483,6,3894
3,3,33298.6,13160.1,23881.3,10909.5,8965.82,9622,7434,33,32608,31607,44392,43415,4220,1828,1856,29,1638,0,1828,1856,29,1282,109,174264,204112,99899,186483,6,3894
3,3,54727,16251.2,63755,40405,42609.8,35036,35252,45,40730,39545,103168,101140,10367,6467,6686,142,5910,0,6467,6685,142,4804,399,174264,204112,99899,186483,6,3894
3,3,44496.7,23074.4,26996.5,33307.7,29231.9,29026,24094,29,53396,51909,47772,46803,4845,4775,5252,119,4734,0,4775,5252,119,3388,643,174264,204112,99899,186483,6,3894
3,3,29236.8,19320.6,13299.4,13963.4,9635.51,12299,7957,17,45565,44258,27012,26395,2545,2068,2244,33,1992,0,2068,2244,33,1334,254,174264,204112,99899,186483,6,3894
3,3,61057.9,14510.6,59062.1,69305.9,59354,58401,47381,12,32015,31027,95803,93929,10141,11035,11355,283,10087,0,10929,11238,282,7752,656,174264,204112,99899,186483,6,3894
3,3,47033.4,8198.28,68946.2,75279.3,55809.4,64732,44735,24,23920,23164,110688,108510,11441,10606,11153,289,9907,0,10606,11152,289,6809,894,174264,204112,99899,186483,6,3894
3,3,51261.5,11885,47188.5,35418.8,26201,30158,20792,45,30120,29166,82571,80842,8485,5183,5299,118,4719,0,5183,5299,118,3087,326,174264,204112,99899,186483,6,3894
3,3,50171.4,9617.5,57999.6,44397.9,26720.2,38769,21133,42,26353,25553,95893,94004,9809,6571,7080,120,6265,0,6571,7080,120,3411,704,174264,204112,99899,186483,6,3894
3,3,30691.3,27360.7,11846.4,12487.9,8781.76,10958,7246,10,52597,51055,24394,23843,2373,1837,2028,21,1797,0,1837,2028,21,1231,275,174264,204112,99899,186483,6,3894
3,3,55660,10994.1,66820,41617,21869.1,36300,17199,10,27272,26482,104107,102080,10832,5005,5697,49,5053,0,5005,5697,49,2673,843,174264,204112,99899,186483,6,3894
3,3,49259.5,35122.6,27206.8,22244.9,18150.4,19575,15506,6,67809,65813,48868,47894,5132,2576,3191,23,2855,0,2576,3191,23,1917,719,174264,204112,99899,186483,6,3894
3,3,54339.3,12264.9,78402.1,42545.8,27351.7,36777,21422,45,31590,30644,117089,114911,12465,6162,6381,119,5578,0,6162,6381,119,3592,404,174264,204112,99899,186483,6,3894
3,3,44797.4,8419.97,55214.2,33656,15321.9,29114,11473,34,22314,21623,93970,92100,9576,4690,4873,82,4251,0,4690,4873,82,2009,339,174264,204112,99899,186483,6,3894
3,3,38577.5,6085.85,45354.5,45993.7,17118.9,40528,12739,31,18007,17438,77739,76096,7239,5716,6072,88,5323,0,5716,6071,88,1920,542,174264,204112,99899,186483,6,3894
3,3,60109.1,18846.6,55195.4,67753.6,52848.1,58086,42628,19,45842,44577,93986,92242,10045,9656,10509,187,9316,0,9656,10509,187,6781,1127,174264,204112,99899,186483,6,3894
3,3,40451.7,5451.28,47306.4,36034.9,24110,31035,19212,31,16209,15580,79554,77810,7756,5241,5620,122,4986,0,5241,5620,122,3304,576,174264,204112,99899,186483,6,3894
3,3,76107.1,20984.4,70591.6,81655,59007.3,70477,47499,44,50581,49180,113838,111816,12175,11705,12691,210,11254,0,11705,12691,210,7992,1328,174264,204112,99899,186483,6,3894
3,3,34465.2,7558.84,30550,25708.8,20188.5,22300,16634,29,20573,19892,57436,56171,5509,3760,4096,85,3666,0,3760,4096,85,2706,475,174264,204112,99899,186483,6,3894
3,3,49874.5,20630.4,51764.9,31211,24361,26860,19720,49,45452,44168,87675,85930,8792,5029,5261,87,4625,0,5029,5261,87,3471,376,174264,204112,99899,186483,6,3894
3,3,44247.2,25786.4,20998.4,27388.5,19543.9,23944,16201,23,57288,55652,40158,39328,4136,3617,3932,53,3489,0,3617,3932,53,2690,455,174264,204112,99899,186483,6,3894
3,3,27609.3,7350.91,17097.9,17512.5,9902.83,15562,8051,30,20094,19425,36527,35697,3194,2546,2752,51,2441,0,2546,2752,51,1334,311,174264,204112,99899,186483,6,3894
3,3,40504.1,25029.3,23523.9,32928.4,25996,28740,21345,39,59598,57888,45614,44686,4588,5085,5267,115,4626,0,5085,5267,115,3446,341,174264,204112,99899,186483,6,3894
3,3,57551.1,16528,54737.4,89660.9,48091.6,78037,37673,21,41229,40097,86209,84549,8876,11013,12195,188,10857,0,11013,12195,188,5767,1482,174264,204112,99899,186483,6,3894
3,3,42587.3,4267.02,56608.4,33279.7,24305.9,29088,20038,32,12927,12482,96023,93999,9468,4959,5292,100,4672,0,4959,5292,100,3414,493,174264,204112,99899,186483,6,3894
3,3,28976.3,18935.9,13491.5,14141.4,10051.4,12465,8307,17,45147,43849,26877,26262,2537,2109,2287,39,2037,0,2109,2287,39,1373,258,174264,204112,99899,186483,6,3894
3,3,46905.7,23812.2,36545.8,41469.2,31707.5,36176,26007,32,55901,54298,65745,64429,6867,6359,6678,148,5920,0,6359,6678,148,4324,501,174264,204112,99899,186483,6,3894
