         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         1,   20029.6,         1,         1,         8,         0,         0,    139782,    262342,   20332.3,     36436,   216.338,       620,   131.615,       620,   5298.69,       622,      4792,       507,        89,         0,   5318.71,       622,      4818,       507,        89,    95.647,       113,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   6866.96,         1,         1,         9,         0,         0,   12224.2,     39519,   1188.15,      3327,    29.964,       130,    21.213,       130,   1037.63,       134,       939,       104,        17,         0,   1137.39,       134,      1031,       104,        17,    30.471,        45,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   16711.8,         1,         1,        27,         0,         0,   70026.2,    165797,   7467.72,     16632,   312.142,      1109,   251.897,      1109,   9998.06,      1111,      9053,       914,       145,         0,   9824.37,      1111,      8910,       914,       145,    88.618,       123,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   8242.51,         1,         1,         3,         0,         0,     17666,     55750,    1978.2,      5260,     10.43,        48,     5.748,        48,   296.151,        51,       266,        28,        17,         0,    286.57,        51,       258,        28,        17,    30.979,        46,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   22274.5,         1,         1,        44,         0,         0,    169373,    333738,     27097,     50202,   846.129,      2618,   714.108,      2618,   25180.1,      2622,     22601,      2258,       280,         0,   25058.4,      2622,     22625,      2258,       280,   142.329,       174,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,     16888,         2,         2,         6,         0,         0,   90517.9,    202784,   12658.5,     27380,   349.333,      1365,   314.052,      1365,   8969.42,      1010,      8157,       823,       137,         0,   8921.73,      1010,      8091,       823,       137,    63.528,        83,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   24755.9,         2,         2,        27,         0,         0,    194052,    372749,   30750.7,     58390,   1307.82,      4367,    1145.9,      4367,   26290.8,      2842,     23593,      2393,       363,         0,   26513.3,      2842,     24085,      2393,       363,   123.979,       155,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   14824.4,         1,         1,         6,         0,         0,   68052.9,    165303,   8310.97,     19569,    64.675,       297,     53.73,       297,   2537.59,       299,      2286,       244,        37,         0,   2602.12,       299,      2368,       244,        37,     65.59,        90,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   15055.9,         1,         1,         8,         0,         0,   67399.8,    161118,   8213.53,     19746,    88.812,       398,    71.612,       398,   3358.51,       400,      3051,       323,        55,         0,   3478.36,       400,      3186,       323,        55,    83.843,       107,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   18347.5,         1,         1,         6,         0,         0,   79382.5,    192781,   8137.36,     18043,    71.337,       294,    59.591,       294,   2717.93,       296,      2482,       252,        30,         0,   2648.36,       296,      2427,       252,        30,   105.969,       135,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,     11419,         1,         1,        17,         0,         0,   39539.5,    104804,   4250.99,     11168,   144.717,       533,   117.767,       533,   4770.49,       534,      4312,       442,        63,         0,   5086.74,       534,      4650,       442,        63,    68.521,        93,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   52153.1,         1,         1,        63,         0,         0,    501242,    862379,   88510.1,    130417,   5414.97,     12134,   4598.41,     12134,    118617,     12137,    105159,     10543,      1279,         0,    118157,     12137,    104692,     10543,      1279,   345.434,       412,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   8781.74,         1,         1,        20,         0,         0,   22289.1,     63775,   2513.89,      6531,   161.946,       639,   146.161,       639,    5813.1,       640,      5282,       546,        66,         0,   5796.77,       640,      5277,       546,        66,    49.861,        75,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   13868.1,         1,         1,         9,         0,         0,   56123.7,    139853,   7187.46,     16624,    76.914,       338,    63.541,       338,   2837.22,       340,      2577,       267,        51,         0,   2818.15,       340,      2569,       267,        51,    66.099,        92,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   25676.8,         1,         1,        44,         0,         0,    219610,    433922,   41309.5,     72486,   807.832,      2594,    712.43,      2594,     24318,      2598,     21743,      2189,       324,         0,   24771.5,      2598,     22305,      2189,       324,   149.231,       205,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   47919.3,         1,         1,        39,         0,         0,    432384,    789209,     81457,    127111,   2811.64,      8099,   2701.11,      8099,   76606.9,      8099,     68338,      6926,       946,         0,   76113.1,      8099,     68327,      6926,       946,   235.425,       309,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   34486.2,         1,         1,        53,         0,         0,    342937,    612759,   67973.5,    108577,   2112.35,      6128,   2070.86,      6128,   57299.3,      6130,     51319,      5240,       668,         0,     57571,      6130,     51846,      5240,       668,   168.348,       232,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,     13751,         1,         1,        16,         0,         0,   39573.7,    104428,   4295.29,     10799,   260.793,       974,   241.401,       974,   8963.49,       975,      8114,       819,       124,         0,   8895.97,       975,      8042,       819,       124,    73.258,       103,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,     43408,         1,         1,        60,         0,         0,    383846,    719407,   68583.8,    109862,   3201.17,      8569,   2913.67,      8569,   82356.8,      8571,     73612,      7422,       911,         0,     81281,      8571,     73023,      7422,       911,   213.909,       280,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   4273.35,         1,         1,         6,         0,         0,   4952.24,     14883,    273.31,      1035,    14.412,        60,     8.747,        60,   485.289,        63,       442,        44,        10,         0,   473.186,        63,       430,        44,        10,    24.612,        37,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   9369.34,         1,         1,        14,         0,         0,   20667.9,     64607,   2342.14,      6605,    37.115,       179,      28.3,       179,   1883.97,       181,      1729,       145,        23,         0,   1646.95,       181,      1510,       145,        23,    46.995,        68,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
         1,   6219.35,         1,         1,        11,         0,         0,   8250.83,     27650,   722.909,      2514,    24.708,       117,     17.73,       117,   1065.87,       120,       972,        98,        13,         0,   1067.91,       120,       975,        98,        13,    32.038,        48,    406659,    408960,    188905,    369928,    134320,         0,         0,         8,      8385
