K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
1,43767.7,82849.2,15290.5,13299,19,2202,105339,98710,10794,518273,80,1949,1456,28,5010,0,0.00126689
1,32305.3,25355.8,13224.4,11646,13,913,39991,37238,4075,177360,48,1654,1295,5,5028,0,0.00126689
1,30469.5,15856.1,9945.29,8858,9,687,29423,27066,2836,125646,47,1273,897,6,2969,0,0.00126689
1,41831.6,31063.6,782.694,669,3,1093,52317,48785,5542,240810,7,165,77,0,201,0,0.00126689
1,32543,37182.9,17690.4,15707,15,1388,61937,56456,6086,261235,103,2210,1623,38,5295,0,0.00126689
1,16592.3,5872.04,661.455,587,5,380,13329,11597,1019,43353,8,99,53,0,158,0,0.00126689
1,51864.6,67947.3,20889.2,18473,12,2005,102418,95743,10911,518543,83,2226,1659,17,5557,0,0.00126689
1,37893.5,20629.9,17761.9,15682,29,844,37891,35177,3847,164919,87,2257,1661,35,5704,0,0.00126689
1,23797,15082.9,15580.5,14024,25,692,28826,25973,2680,112499,59,1521,1157,42,3705,0,0.00126689
1,52921.1,86371,30168.6,26531,27,2373,121094,114247,12673,622670,125,3428,2668,56,9597,0,0.00126689
1,44803.7,33769.5,29108,25439,24,1052,50276,46919,5452,231415,105,3585,2854,72,11082,0,0.00126689
1,8507.82,1216.75,899.064,808,8,99,3188,2615,153,8965,8,127,80,0,237,0,0.00126689
1,55148.8,85787.4,48272.3,42446,34,2383,122414,115581,12604,634736,178,5599,4435,98,17249,0,0.00126689
1,22599.8,16423.6,8478.64,7545,23,685,27752,24473,2387,99851,39,948,684,10,2129,0,0.00126689
1,20652.1,13016,14462.3,12900,27,509,20472,18499,1821,79789,52,1553,1187,47,3936,0,0.00126689
1,7215.16,1239.38,688.089,638,7,78,1877,1450,78,4373,8,54,26,0,64,0,0.00126689
