         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         9,   41472.2,   36995.3,     84661,    360053,     23792,    327138,     24514,      4321,    201199,    209003,    729967,    946292,    463291,    413370,    188905,    374639,        15,      8385
         9,   50166.4,    133340,    246830,    462254,     28886,    423646,     30115,      5288,    141271,    176478,    593347,    912991,    463291,    413370,    188905,    374639,        15,      8385
         9,   67675.9,    171460,    300266,    633609,     42402,    566044,     45122,      8442,    248968,    248805,    900772,1.32983e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,     67824,    108363,    215127,    656988,     47043,    588090,     50132,      9105,    363241,    327973,1.09755e+06,1.48972e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   60681.2,   57099.9,    119893,    320759,     19763,    295452,     24153,      7366,    201530,    232716,    815939,1.23771e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   45208.9,   41515.3,    100131,    411232,     27823,    376137,     30284,      6402,    232526,    261151,    670171,1.08987e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   56805.2,   87431.9,    193241,    517420,     30735,    477164,     36594,     10163,    230207,    256070,    817368,1.21664e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   48014.7,   68158.9,    149046,    337103,     22454,    310310,     25544,      6330,    236127,    249833,    770748,1.06345e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   56777.4,   87909.4,    189456,    720226,     43610,    661286,     49440,     11795,    206164,    245191,    790642,1.19728e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   59515.3,    120564,    248293,    727405,     42510,    670881,     49159,     12350,    201928,    242983,    866734,1.30962e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   47144.2,   53194.3,    112954,    407062,     25901,    377156,     28974,      6809,    246523,    275944,    815866,1.13786e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,     45241,   36251.3,     81041,    371390,     23420,    339638,     26144,      6203,    234327,    245456,    724733,1.05215e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   71015.8,    133008,    270995,    903597,     56804,    825416,     63961,     14594,    294856,    301154,    967526,1.43531e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   81801.8,    155960,    311525,    844744,     54451,    765778,     62016,     14437,    367893,    375153,1.20399e+06,1.7014e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   40497.5,   57089.1,    122195,    286343,     15564,    267818,     18767,      5599,    147574,    189343,    574361,    870410,    463291,    413370,    188905,    374639,        15,      8385
         9,   61502.6,    112557,    199615,    384624,     24923,    348586,     28864,      7427,    275479,    299581,    951907,1.34833e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   65758.8,    138086,    278429,1.03202e+06,     60501,    941580,     67016,     14588,    318810,    309026,    955538,1.49537e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   64460.7,    108782,    234426,    824140,     51138,    755523,     57723,     13543,    207494,    252833,    846231,1.28469e+06,    463291,    413370,    188905,    374639,        15,      8385
         9,   52579.3,   62437.4,    139005,    303425,     20658,    277356,     23344,      5665,    233292,    267786,    800288,1.14116e+06,    463291,    413370,    188905,    374639,        15,      8385
