K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
3,23239,8706.11,11061.8,9866,14,416,14441,12769,1164,48317,51,1162,868,12,1876,208,0.00503235
3,29269.4,8706.11,11061.8,9866,12,416,14441,12769,1164,48317,51,1162,868,12,1876,208,0.00503235
3,31141.1,8706.11,11061.8,9866,6,416,14441,12769,1164,48317,51,1162,868,12,1876,208,0.00503235
3,42214.6,18182.2,58948.7,51388,18,731,30476,28037,3302,130789,210,6514,5219,134,15880,946,0.00503235
3,52712,18182.2,58948.7,51388,32,731,30476,28037,3302,130789,210,6514,5219,134,15880,946,0.00503235
3,68976.1,18182.2,58948.7,51388,25,731,30476,28037,3302,130789,210,6514,5219,134,15880,946,0.00503235
3,15996.6,10282.8,16974.5,15142,9,541,19823,18166,1917,77663,68,1882,1476,22,3558,380,0.00503235
3,32028.8,10282.8,16974.5,15142,24,541,19823,18166,1917,77663,68,1882,1476,22,3558,380,0.00503235
3,42660.8,10282.8,16974.5,15142,6,541,19823,18166,1917,77663,68,1882,1476,22,3558,380,0.00503235
3,31747.4,10166.9,20815.5,18390,9,515,19543,17858,1872,74355,89,2264,1689,23,4938,224,0.00503235
3,32219.2,10166.9,20815.5,18390,7,515,19543,17858,1872,74355,89,2264,1689,23,4938,224,0.00503235
3,45526.7,10166.9,20815.5,18390,13,515,19543,17858,1872,74355,89,2264,1689,23,4938,224,0.00503235
3,8855.55,7706.16,5512.89,4873,5,428,14915,13347,1343,51165,36,728,531,0,1258,107,0.00503235
3,32592.2,7706.16,5512.89,4873,7,428,14915,13347,1343,51165,36,728,531,0,1258,107,0.00503235
3,36236.1,7706.16,5512.89,4873,8,428,14915,13347,1343,51165,36,728,531,0,1258,107,0.00503235
3,3907.3,6141.41,7642.25,6757,3,404,13265,11701,1028,45374,44,950,699,20,1831,105,0.00503235
3,28202.1,6141.41,7642.25,6757,15,404,13265,11701,1028,45374,44,950,699,20,1831,105,0.00503235
3,30498.9,6141.41,7642.25,6757,14,404,13265,11701,1028,45374,44,950,699,20,1831,105,0.00503235
3,30738.7,15741.2,23269.8,20621,25,659,27125,24975,2788,114331,77,2672,2130,42,5380,474,0.00503235
3,34469.3,15741.2,23269.8,20621,5,659,27125,24975,2788,114331,77,2672,2130,42,5380,474,0.00503235
3,53490,15741.2,23269.8,20621,14,659,27125,24975,2788,114331,77,2672,2130,42,5380,474,0.00503235
3,10527,10289.5,5519.81,4955,9,564,19168,17142,1736,66429,35,612,439,0,1099,108,0.00503235
3,25206.7,10289.5,5519.81,4955,7,564,19168,17142,1736,66429,35,612,439,0,1099,108,0.00503235
3,38186.3,10289.5,5519.81,4955,8,564,19168,17142,1736,66429,35,612,439,0,1099,108,0.00503235
3,22057.5,12817.9,19954.3,17645,10,566,22197,20489,2099,84344,81,2289,1796,36,4697,307,0.00503235
3,30034.2,12817.9,19954.3,17645,19,566,22197,20489,2099,84344,81,2289,1796,36,4697,307,0.00503235
3,44919,12817.9,19954.3,17645,21,566,22197,20489,2099,84344,81,2289,1796,36,4697,307,0.00503235
3,10851.7,3468.8,4438.98,3973,6,244,7406,6259,478,22398,26,555,388,5,971,52,0.00503235
3,22362.1,3468.8,4438.98,3973,5,244,7406,6259,478,22398,26,555,388,5,971,52,0.00503235
3,22877.9,3468.8,4438.98,3973,14,244,7406,6259,478,22398,26,555,388,5,971,52,0.00503235
3,24839.4,12654.9,12820.1,11612,17,621,21861,20093,2121,86789,54,1259,960,6,1987,298,0.00503235
